,fips,relevant_naics,YEAR,estab,emp,payann
1,12,1141,2018,172,258,9020
2,12,1142,2018,4,15,391
4,12,1133,2018,150,1423,79119
6,12,1152,2018,328,899,32964
8,12,1151,2018,203,3928,110560
10,12,1153,2018,26,142,5867
13,12,2123,2018,90,2347,186148
15,12,2111,2018,6,70,3096
17,12,2131,2018,44,147,7246
19,12,2211,2018,459,22348,2576240
21,12,2212,2018,14,503,38558
23,12,2213,2018,261,2805,148649
25,12,2382,2018,14039,144383,7117038
27,12,2383,2018,13075,58159,2296170
29,12,2381,2018,6833,67830,2902611
31,12,2373,2018,437,18332,1013671
33,12,2372,2018,442,2090,142718
35,12,2362,2018,2894,38150,2501673
37,12,2379,2018,410,7176,400453
39,12,2389,2018,5148,42931,2010720
41,12,2361,2018,12083,50394,2836911
43,12,2371,2018,1080,20742,1168699
45,12,3111,2018,24,321,12503
47,12,3116,2018,29,932,35975
49,12,3159,2018,18,435,13990
52,12,3118,2018,549,9652,322570
54,12,3121,2018,271,8244,397411
56,12,3152,2018,146,2856,65899
58,12,3115,2018,50,1328,56651
60,12,3132,2018,13,242,8239
64,12,3114,2018,54,3339,186537
66,12,3112,2018,5,62,3468
68,12,3119,2018,143,3433,192638
70,12,3169,2018,24,439,19894
72,12,3149,2018,281,2288,77628
74,12,3117,2018,11,937,43410
76,12,3113,2018,61,2374,108628
78,12,3133,2018,23,296,11554
80,12,3141,2018,114,695,23712
82,12,3122,2018,6,168,22955
84,12,3251,2018,42,886,69019
86,12,3273,2018,512,12266,596760
88,12,3271,2018,20,49,1667
90,12,3222,2018,80,3552,259478
92,12,3272,2018,110,2250,105331
94,12,3274,2018,3,18,756
96,12,3259,2018,54,500,27352
98,12,3279,2018,149,2563,131091
100,12,3219,2018,383,5437,227761
102,12,3255,2018,53,790,57935
104,12,3253,2018,62,2798,223539
106,12,3241,2018,40,1383,83162
108,12,3254,2018,123,5947,368718
110,12,3261,2018,367,11766,507578
112,12,3231,2018,1540,19400,906233
113,12,3221,2018,4,233,9352
115,12,3252,2018,30,2170,180245
117,12,3262,2018,43,1026,49962
119,12,3211,2018,21,1164,46265
121,12,3256,2018,124,3514,187397
123,12,3212,2018,39,3028,110013
125,12,3364,2018,125,11012,1028876
127,12,3331,2018,75,1235,70245
129,12,3313,2018,8,135,3429
131,12,3323,2018,696,16812,831866
133,12,3343,2018,18,464,25985
135,12,3324,2018,29,1064,67307
137,12,3328,2018,147,1522,67819
139,12,3333,2018,98,4364,465907
141,12,3342,2018,71,7053,629264
143,12,3341,2018,37,1378,122713
145,12,3322,2018,20,138,5888
147,12,3351,2018,48,983,40773
149,12,3353,2018,60,2551,142311
151,12,3336,2018,15,758,60093
153,12,3321,2018,38,1172,60945
155,12,3315,2018,10,230,13077
157,12,3325,2018,14,151,6210
159,12,3371,2018,675,5062,192858
161,12,3352,2018,6,39,2405
163,12,3332,2018,84,1873,112802
165,12,3327,2018,545,6024,285962
167,12,3346,2018,28,85,2961
169,12,3391,2018,740,15920,1025316
171,12,3335,2018,112,1722,83667
173,12,3362,2018,35,1124,45413
175,12,3363,2018,126,2583,142256
177,12,3345,2018,227,18429,1672497
179,12,3314,2018,11,396,26067
181,12,3372,2018,165,3801,171722
183,12,3359,2018,81,2761,139772
185,12,3329,2018,210,5524,324729
187,12,3379,2018,68,1960,69964
189,12,3339,2018,247,6177,358878
191,12,3399,2018,915,11050,502204
193,12,3369,2018,19,152,6871
195,12,3344,2018,124,5789,480630
197,12,3366,2018,252,9319,489277
199,12,3326,2018,19,139,6905
201,12,3312,2018,6,12,405
203,12,3334,2018,79,2502,127296
205,12,4243,2018,956,8807,394964
207,12,4248,2018,248,11269,770689
209,12,4246,2018,746,5451,330417
211,12,4242,2018,854,12252,847626
213,12,4245,2018,83,620,47564
215,12,4232,2018,972,8238,442538
217,12,4244,2018,2791,48923,2559694
219,12,4237,2018,1433,14188,881380
221,12,4236,2018,2435,26196,2195781
223,12,4233,2018,1398,17480,988546
225,12,4238,2018,3967,37851,2637357
227,12,4235,2018,453,5473,343046
229,12,4239,2018,2812,17756,893938
231,12,4249,2018,2273,21758,1092297
233,12,4231,2018,1770,18540,956091
