,fips,relevant_naics,YEAR,estab,emp,payann
0,15,114111,2017,16,23,1112
2,15,115210,2017,9,11,284
4,15,115310,2017,3,0,0
6,15,221122,2017,8,0,0
8,15,221112,2017,10,0,0
10,15,221210,2017,4,0,0
12,15,221320,2017,19,29,1630
14,15,221310,2017,12,128,8493
16,15,238990,2017,86,819,46345
18,15,236220,2017,221,5081,432694
20,15,238310,2017,69,1472,97735
22,15,238210,2017,353,4284,307729
24,15,238350,2017,111,955,57091
26,15,238330,2017,74,443,22185
28,15,238130,2017,18,540,38358
30,15,238150,2017,39,376,24581
32,15,237310,2017,42,1292,117517
34,15,236210,2017,3,0,0
36,15,237210,2017,26,145,12802
38,15,238140,2017,68,381,18814
40,15,236117,2017,35,357,35246
42,15,236116,2017,6,68,7016
44,15,236115,2017,267,1580,101119
46,15,237120,2017,4,55,4481
48,15,238290,2017,22,536,53784
50,15,238390,2017,30,242,14411
52,15,238190,2017,15,58,3206
54,15,237990,2017,9,258,25664
56,15,238320,2017,152,1393,80415
58,15,238220,2017,373,4355,314568
60,15,238110,2017,53,679,39516
62,15,237130,2017,12,141,11472
64,15,236118,2017,408,1405,63744
66,15,238160,2017,101,1229,60728
68,15,238170,2017,12,89,5008
70,15,238910,2017,109,1567,115568
72,15,238120,2017,23,654,47017
74,15,238340,2017,71,574,38965
76,15,237110,2017,35,375,29639
78,15,311999,2017,3,21,403
80,15,314999,2017,5,11,152
82,15,311611,2017,6,28,865
84,15,312112,2017,5,184,8989
87,15,311920,2017,14,93,2745
89,15,311812,2017,30,980,29953
91,15,311352,2017,12,430,16005
93,15,311821,2017,7,0,0
95,15,314120,2017,3,48,1406
97,15,315210,2017,20,120,2354
99,15,312140,2017,3,18,490
101,15,311824,2017,5,25,571
103,15,311421,2017,15,167,4497
105,15,311520,2017,5,40,1473
106,15,311941,2017,5,56,2220
108,15,311612,2017,8,192,7487
110,15,315220,2017,4,77,1856
112,15,311340,2017,3,46,1146
114,15,311919,2017,4,39,1080
116,15,311991,2017,22,702,20912
118,15,311811,2017,64,922,18604
120,15,311911,2017,3,0,0
122,15,312111,2017,7,479,22748
124,15,314910,2017,3,29,1502
125,15,315240,2017,10,126,4528
127,15,321999,2017,5,30,748
129,15,326199,2017,6,81,3896
131,15,323111,2017,53,649,25626
133,15,323113,2017,35,228,6585
135,15,327991,2017,4,49,1571
137,15,327390,2017,7,210,12811
139,15,327320,2017,10,472,38891
141,15,325611,2017,3,53,2080
143,15,325620,2017,4,24,1013
