,relevant_naics,estab,emp,payann,fips
71555,23,11,24,720,16071
71556,52,4,58,2759,16071
71557,53,4,13,149,16071
71558,54,5,10,275,16071
71559,62,11,191,5907,16071
71560,71,4,4,51,16071
71561,72,12,94,913,16071
71562,81,4,10,122,16071
71564,11,6,14,1204,16031
71565,21,7,48,4794,16031
71566,22,5,46,4048,16031
71567,23,69,483,26027,16031
71568,42,33,520,27681,16031
71569,51,12,100,4482,16031
71570,52,41,168,7100,16031
71571,53,29,59,1034,16031
71572,54,57,158,5629,16031
71573,56,22,310,5842,16031
71574,61,4,39,233,16031
71575,62,90,1316,42497,16031
71576,72,57,857,11674,16031
71577,81,46,200,5047,16031
71579,11,5,546,15191,16073
71580,71,7,173,1183,16031
71581,21,5,5,220,16073
71582,23,41,213,8076,16073
71583,42,9,92,5288,16073
71584,23,92,286,10605,16045
71586,11,5,45,2616,16045
71587,51,3,18,765,16073
71588,52,8,34,1014,16073
71589,53,4,7,130,16073
71590,54,9,34,880,16073
71591,56,10,82,4801,16073
71592,62,21,208,6048,16073
71593,72,21,170,1937,16073
71594,81,9,19,326,16073
71595,42,12,90,1928,16045
71596,51,4,12,364,16045
71597,52,17,69,2933,16045
71598,53,17,23,673,16045
71599,54,33,99,4734,16045
71601,23,22,92,3936,16063
71602,54,5,21,755,16063
71603,52,3,11,293,16063
71604,56,7,44,1135,16063
71605,62,6,95,2950,16063
71606,72,5,21,286,16063
71607,81,6,19,394,16063
71608,56,16,70,1779,16045
71609,61,4,57,1844,16045
71610,62,40,805,29282,16045
71611,71,6,27,308,16045
71612,72,26,307,4061,16045
71613,81,40,129,2871,16045
71615,11,6,28,1204,16085
71616,21,3,43,4441,16085
71617,22,4,21,1924,16085
71618,23,156,487,22734,16085
71620,11,4,20,2122,16003
71622,21,3,45,2118,16041
71623,22,5,45,3948,16041
71624,23,57,170,5317,16041
71625,42,14,60,3148,16085
71626,42,15,140,7010,16041
71627,51,6,70,1337,16041
71628,52,19,69,2438,16041
71629,53,13,17,243,16041
71630,54,26,58,2355,16041
71631,51,7,29,1651,16085
71632,52,15,64,2781,16085
71633,53,58,112,4000,16085
71634,54,43,96,3632,16085
71635,55,3,11,556,16085
71636,56,29,90,3997,16085
71637,61,6,20,458,16085
71638,62,42,506,24622,16085
71639,56,16,25,665,16041
71640,62,30,419,14016,16041
71641,71,7,14,305,16041
71642,72,23,220,2502,16041
71643,81,20,55,1740,16041
71644,71,24,315,4723,16085
71645,72,78,1089,25968,16085
71646,81,47,169,4034,16085
71647,23,21,44,1441,16003
71648,52,3,12,346,16003
71649,51,3,7,242,16003
71650,53,5,4,153,16003
71651,54,9,14,586,16003
71652,56,9,16,413,16003
71653,62,6,53,1707,16003
71654,71,4,9,466,16003
71655,72,13,65,790,16003
71656,81,7,16,339,16003
71658,11,10,74,3489,16061
71659,23,15,29,1211,16061
71660,42,6,61,3103,16061
71661,52,8,42,1945,16061
71662,53,5,9,295,16061
71663,54,4,4,132,16061
71664,56,4,12,550,16061
71665,62,11,76,1869,16061
71666,81,3,7,109,16061
71667,11,11,74,6416,16069
71668,23,118,787,36859,16069
71669,72,15,139,1881,16061
71671,21,3,160,12001,16069
71673,11,14,140,6095,16053
71674,22,7,83,4761,16053
71675,23,67,358,15823,16053
71676,42,43,639,29533,16069
71677,42,33,456,25473,16053
71678,51,20,393,14121,16069
71679,52,80,1129,66145,16069
71680,51,7,57,3802,16053
71681,52,24,102,3977,16053
71682,53,16,26,762,16053
71683,54,29,108,4471,16053
71684,56,39,233,9813,16053
71685,61,4,68,1287,16053
71686,62,39,499,18943,16053
71687,71,5,67,1885,16053
71688,72,35,432,6021,16053
71689,81,57,272,6798,16053
71690,53,46,151,5033,16069
71691,54,72,508,20847,16069
71692,55,4,37,3101,16069
71693,56,69,336,11863,16069
71695,11,49,671,15987,16055
71696,21,15,350,30531,16055
71697,22,15,241,19260,16055
71698,23,862,5719,267203,16055
71699,61,12,112,2385,16069
71700,62,139,3204,134615,16069
71701,71,16,165,2817,16069
71702,72,99,1999,29910,16069
71703,81,107,702,16340,16069
71705,11,3,81,2275,16067
71706,22,5,42,3511,16067
71707,23,67,451,23350,16067
71709,11,22,107,5703,16083
71710,22,16,249,18473,16083
71711,23,324,1540,63124,16083
71712,42,46,771,40540,16067
71713,42,146,1547,73207,16083
71714,51,6,164,7059,16067
71715,52,14,157,7919,16067
71716,53,13,42,1656,16067
71717,54,35,119,3854,16067
71718,56,9,30,961,16067
71719,62,35,522,21387,16067
71720,71,5,21,426,16067
71721,72,29,305,3866,16067
71722,81,35,264,8434,16067
71723,42,165,1807,96898,16055
71724,51,30,394,17083,16083
71725,52,146,947,52084,16083
71726,53,149,368,11504,16083
71727,54,238,1117,50229,16083
71728,55,15,354,19153,16083
71729,56,120,2492,56870,16083
71730,51,75,1352,86177,16055
71731,52,287,2358,138789,16055
71732,61,17,62,1226,16083
71733,62,410,6554,250165,16083
71736,11,7,6,1460,16047
71737,22,7,53,4941,16047
71738,11,18,21,1403,16001
71739,21,11,89,3418,16001
71740,22,43,2112,220244,16001
71741,23,1786,15157,769991,16001
71742,53,327,792,32947,16055
71743,54,525,2556,146035,16055
71744,55,27,234,24567,16055
71745,56,252,1731,56358,16055
71746,71,44,243,3964,16083
71747,72,198,3743,55353,16083
71748,81,207,1316,35405,16083
71749,23,307,1736,90648,16013
71751,11,5,18,598,16013
71752,21,3,21,895,16013
71753,42,41,347,21429,16013
71754,42,681,13859,969188,16001
71755,51,20,130,5749,16013
71756,52,69,254,20594,16013
71757,53,142,374,16341,16013
71758,54,174,869,66485,16013
71759,61,60,425,9643,16055
71760,62,527,10829,514716,16055
71761,55,6,25,1043,16013
71762,56,123,757,38365,16013
71763,61,16,291,9638,16013
71764,71,103,1054,38718,16055
71765,62,80,844,45771,16013
71766,71,43,471,17109,16013
71767,72,118,3208,70077,16013
71768,81,111,450,19057,16013
71769,99,4,0,24,16013
71770,72,430,8163,160659,16055
71771,81,375,2055,59600,16055
71772,99,9,4,254,16055
71774,23,35,110,4408,16015
71775,42,3,5,226,16015
71776,52,4,10,469,16015
71777,53,8,20,394,16015
71778,54,8,9,250,16015
71779,52,3,7,205,16023
71780,11,6,27,1865,16015
71782,11,36,150,7021,16021
71784,23,3,7,143,16023
71785,42,5,38,1982,16023
71786,54,4,7,141,16023
71787,62,6,111,4504,16023
71788,72,6,30,403,16023
71789,81,7,19,289,16023
71790,56,11,82,2276,16015
71791,62,7,24,540,16015
71792,71,9,45,1424,16015
71793,72,25,135,1934,16015
71794,81,15,87,2134,16015
71795,23,74,214,9172,16021
71796,22,3,3,192,16021
71797,42,8,63,2936,16021
71798,51,295,6615,375957,16001
71799,51,4,9,557,16021
71800,52,9,47,2114,16021
71801,53,13,16,342,16021
71802,54,26,114,4019,16021
71803,56,18,105,2821,16021
71804,61,4,23,588,16021
71805,62,25,661,22183,16021
71806,71,6,5,230,16021
71807,72,22,111,1752,16021
71808,81,35,99,2107,16021
71809,52,1010,9949,688711,16001
71811,11,3,1,85,16029
71812,22,5,26,2083,16029
71813,23,25,141,8009,16029
71814,42,13,63,2526,16029
71815,51,5,13,252,16029
71816,52,11,52,1927,16029
71817,53,7,4,79,16029
71818,54,10,36,653,16029
71819,56,7,36,1040,16029
71820,62,21,334,12713,16029
71821,72,16,93,1015,16029
71822,81,16,39,1087,16029
71823,53,1041,3708,163937,16001
71824,23,54,194,7204,16047
71825,42,21,172,9685,16047
71826,54,1909,13722,862281,16001
71827,52,21,67,2412,16047
71828,53,9,19,588,16047
71829,54,28,72,3352,16047
71830,56,11,33,1340,16047
71831,62,36,631,23359,16047
71832,61,3,3,40,16047
71833,71,6,25,552,16047
71834,72,29,236,2552,16047
71835,81,32,113,3137,16047
71837,23,235,1201,55579,16005
71838,22,6,116,10379,16005
71839,55,108,5400,425495,16001
71840,56,894,14248,491993,16001
71841,42,88,862,41997,16005
71842,61,187,2250,80663,16001
71843,62,1662,36986,1935071,16001
71844,51,34,332,12950,16005
71845,52,149,2390,121396,16005
71846,53,107,290,9190,16005
71847,71,230,4212,66451,16001
71849,23,8,35,1345,16025
71850,62,3,7,232,16025
71851,72,4,50,457,16025
71853,11,31,136,5384,16027
71854,21,7,43,2429,16027
71855,22,5,127,11960,16027
71856,23,1145,6778,292188,16027
71857,54,169,968,44684,16005
71858,55,6,33,1086,16005
71859,56,87,1496,27381,16005
71860,61,21,177,3886,16005
71861,62,394,5114,215394,16005
71862,72,1071,22236,385328,16001
71864,22,3,11,996,16007
71866,11,9,143,4539,16011
71867,22,4,44,3611,16011
71868,23,159,862,43663,16011
71869,42,57,995,46277,16011
71870,42,183,2613,125769,16027
71871,71,29,369,4708,16005
71872,72,202,3533,53415,16005
71873,81,151,804,20823,16005
71874,51,10,46,1568,16011
71875,52,52,225,11953,16011
71876,53,38,73,2319,16011
71877,54,65,313,11845,16011
71878,81,1073,8305,247778,16001
71879,99,18,16,386,16001
71880,23,14,47,1505,16007
71881,42,5,26,726,16007
71882,52,8,37,1345,16007
71883,53,5,15,219,16007
71884,54,8,9,478,16007
71885,56,6,10,413,16007
71886,62,12,311,14387,16007
71887,71,6,28,391,16007
71888,72,19,174,2046,16007
71889,81,3,10,226,16007
71891,11,7,110,2769,16019
71892,22,8,59,4184,16019
71893,23,440,2759,124944,16019
71894,55,4,70,5202,16011
71895,56,25,134,4864,16011
71896,61,13,221,4640,16011
71897,62,115,1869,82052,16011
71898,71,11,356,12158,16011
71899,72,46,705,8204,16011
71900,81,58,316,10974,16011
71901,42,197,3481,230739,16019
71902,51,60,868,39010,16027
71903,52,229,1102,58490,16027
71904,53,188,544,18807,16027
71905,54,307,1620,75505,16027
71907,11,17,101,7132,16035
71908,22,3,7,778,16035
71909,23,27,102,4752,16035
71911,11,42,243,16947,16057
71913,11,7,62,2851,16075
71914,22,8,119,11196,16075
71915,23,80,320,12410,16075
71917,11,40,139,8616,16009
71918,23,28,93,4561,16009
71920,11,44,135,6898,16017
71921,21,7,104,9440,16017
71922,22,9,128,10145,16017
71923,23,291,1101,52282,16017
71924,55,15,579,38852,16027
71925,56,247,2826,71653,16027
71926,61,38,1637,36711,16027
71927,42,40,223,9003,16017
71928,62,418,7862,311762,16027
71929,51,51,958,50521,16019
71930,52,240,1405,81327,16019
71931,53,160,522,22557,16019
71932,51,26,273,15992,16017
71933,52,78,290,16152,16017
