,relevant_naics,estab,emp,payann,fips
273163,212312,4,32,1368,17067
273164,221122,3,0,0,17067
273165,236118,4,9,289,17067
273166,236220,5,31,927,17067
273167,238220,5,33,2072,17067
273168,238910,4,12,157,17067
273169,311119,3,0,0,17067
273170,423820,4,55,3243,17067
273171,424510,13,105,5258,17067
273172,424910,10,134,6161,17067
273173,441120,3,6,115,17067
273174,441320,4,20,671,17067
273175,445110,4,95,981,17067
273176,447110,15,131,1936,17067
273177,452319,3,0,0,17067
273178,453220,3,11,125,17067
273179,454390,3,9,269,17067
273180,484110,6,26,808,17067
273181,484121,3,14,180,17067
273182,484220,7,27,581,17067
273183,517311,3,0,0,17067
273184,522110,13,134,5718,17067
273185,524210,15,40,1241,17067
273186,541110,4,13,535,17067
273187,541211,4,10,149,17067
273188,561730,4,16,267,17067
273189,621111,4,36,1543,17067
273190,621210,3,10,765,17067
273191,623312,4,0,0,17067
273192,624410,6,14,264,17067
273193,713910,3,3,159,17067
273194,721110,3,0,0,17067
273195,722410,7,11,219,17067
273196,722511,11,34,636,17067
273197,722515,3,0,0,17067
273198,722513,10,81,1059,17067
273199,811111,6,8,193,17067
273200,811121,6,4,218,17067
273201,811310,5,18,534,17067
273202,812210,6,17,266,17067
273203,813110,29,111,1497,17067
273204,221122,7,0,0,17119
273205,221310,10,0,0,17119
273206,236115,41,114,5690,17119
273207,238210,43,503,35873,17119
273208,238220,89,1185,87453,17119
273209,238290,4,0,0,17119
273210,238310,8,27,548,17119
273211,327320,10,221,11545,17119
273212,327390,6,124,5815,17119
273213,331110,3,0,0,17119
273214,332312,3,0,0,17119
273215,423430,4,0,0,17119
273216,423450,3,0,0,17119
273217,423510,17,279,15046,17119
273218,423610,7,52,2745,17119
273219,423690,3,16,573,17119
273220,425120,21,84,3670,17119
273221,441110,19,930,52298,17119
273222,485410,7,676,10615,17119
273223,486110,4,0,0,17119
273224,486210,5,28,2767,17119
273225,486910,5,44,5025,17119
273226,541519,5,3,213,17119
273227,541611,20,29,2647,17119
273228,541613,21,62,2914,17119
273229,541614,6,78,4453,17119
273230,541620,6,34,1845,17119
273231,541690,11,28,761,17119
273232,541810,3,0,0,17119
273233,624310,14,403,3977,17119
273234,624410,60,801,14700,17119
273235,236116,5,10,344,17119
273236,236117,16,85,3459,17119
273237,236118,66,203,7570,17119
273238,236220,26,340,28805,17119
273239,238320,33,169,9685,17119
273240,238330,14,32,1217,17119
273241,238350,17,38,1426,17119
273242,238390,5,207,9026,17119
273243,238910,27,203,14564,17119
273244,332710,19,171,11660,17119
273245,332812,3,0,0,17119
273246,332999,4,37,1752,17119
273247,333111,3,22,1196,17119
273248,423710,4,26,2372,17119
273249,423720,6,55,3418,17119
273250,423730,10,54,3234,17119
273251,423810,3,39,2632,17119
273252,423820,4,109,7173,17119
273253,423830,11,66,4502,17119
273254,423840,13,89,7512,17119
273255,441120,20,111,5062,17119
273256,441228,9,96,3303,17119
273257,441310,36,330,7119,17119
