fips,Naics,Establishments,Employees,Payroll
17,1133,6,3,98
17,1152,115,373,12008
17,1151,99,802,41527
17,2121,10,699,41746
17,2123,115,1961,149857
17,2111,124,552,25894
17,2131,121,695,31065
17,2211,221,4431,663576
17,2212,59,1696,125651
17,2213,79,734,49525
17,2382,7148,69148,5200630
17,2383,4878,27470,1656741
17,2381,4001,26354,1842382
17,2373,343,5739,789348
17,2372,99,183,12545
17,2362,1520,22069,1835382
17,2379,145,1171,110619
17,2389,2572,16881,1366679
17,2361,7623,21175,1047362
17,2371,525,11920,1149312
17,3111,23,538,29475
17,3116,111,10887,547079
17,3159,14,176,6180
17,3118,493,15188,678492
17,3121,169,3919,188838
17,3152,72,950,31005
17,3115,47,1845,100831
17,3132,10,137,6901
17,3131,4,27,530
17,3114,57,5397,207534
17,3112,22,3122,210486
17,3119,150,9316,510268
17,3169,19,187,7022
17,3149,103,971,37648
17,3113,77,5341,344529
17,3133,13,336,20076
17,3141,53,389,12807
17,3251,77,3358,291095
17,3273,274,5171,303423
17,3271,24,183,10735
17,3222,179,12567,739721
17,3272,50,1309,82205
17,3274,3,72,2760
17,3259,114,3160,212174
17,3279,111,2553,191230
17,3219,237,3049,112006
17,3255,107,4566,315827
17,3253,6,0,0
17,3241,52,1236,157338
17,3254,54,14409,2512291
17,3261,525,30931,1625626
17,3231,1239,25680,1458368
17,3221,3,0,0
17,3252,64,2480,160667
17,3262,40,1395,81547
17,3211,17,69,3172
17,3256,106,5163,328491
17,3212,13,258,8691
17,3364,11,0,0
17,3331,80,4267,263112
17,3313,11,696,43867
17,3323,436,10758,595780
17,3343,13,125,6718
17,3324,42,1531,85403
17,3328,317,7998,396818
17,3333,88,2601,175278
17,3342,52,2488,206976
17,3341,25,1276,107766
17,3322,71,1704,84142
17,3351,43,2427,127472
17,3353,98,4836,333029
17,3336,47,2987,209007
17,3321,180,7097,423551
17,3315,78,3584,192615
17,3325,22,558,30206
17,3371,308,4416,184989
17,3352,4,0,0
17,3332,159,4323,276454
17,3311,15,1118,86923
17,3327,1272,23722,1345487
17,3346,19,250,21712
17,3391,399,5845,320923
17,3335,467,8988,559890
17,3362,12,675,19557
17,3361,5,0,0
17,3363,201,16504,904886
17,3345,181,11471,918099
17,3314,31,846,59276
17,3372,121,3777,195558
17,3359,98,4144,252782
17,3329,294,12450,779332
17,3379,20,367,17487
17,3339,302,13768,864038
17,3399,630,12405,710243
17,3369,9,177,7357
17,3365,7,1568,109642
17,3344,178,7215,347035
17,3366,5,36,2200
17,3326,84,2756,137385
17,3312,26,2334,136580
17,3334,57,2587,148638
17,4243,309,2943,140232
17,4248,147,4315,338348
17,4246,518,7561,707953
17,4242,294,16602,2232152
17,4245,662,4506,244121
17,4232,460,6880,450814
17,4244,1495,37489,2158157
17,4237,897,12945,970187
17,4236,1121,31903,3077796
17,4233,542,8402,616910
17,4238,2819,45686,3417611
17,4235,575,10801,751325
17,4239,1233,14360,911005
17,4249,1398,20204,1124294
17,4231,813,15678,960725
17,4241,585,10538,828307
17,4247,148,3417,412155
17,4234,1420,38702,3480905
17,4251,1856,12858,805629
17,4411,1639,51818,2566721
17,4413,1935,18129,518222
