fips,Naics,Establishments,Employees,Payroll
17,1133,23,43,1564
17,1131,3,8,377
17,1142,7,56,2995
17,1151,146,1246,69521
17,1152,133,402,13216
17,1153,10,34,1577
17,2111,129,607,30358
17,2121,17,1961,130787
17,2213,126,2149,148974
17,2123,172,2720,225154
17,2131,143,1192,56986
17,2211,406,21067,2893306
17,2212,97,4817,471833
17,3141,53,926,33215
17,2361,7819,20892,1103710
17,2372,95,232,15811
17,2362,1540,22855,1948306
17,2371,551,20857,1704427
17,2373,379,7998,1002587
17,2379,201,3756,329866
17,2382,7132,72213,5578511
17,2381,3968,26354,1931497
17,2383,4831,27132,1632293
17,2389,2629,17294,1429406
17,3115,71,5473,339929
17,3111,69,2022,117389
17,3112,53,5212,371085
17,3113,97,10331,773099
17,3114,77,7959,428649
17,3116,155,20786,1170252
17,3117,6,714,38712
17,3118,562,18790,837827
17,3119,199,12567,766843
17,3121,282,6843,315972
17,3131,5,17,291
17,3132,13,350,13402
17,3133,21,454,20071
17,3149,120,1164,44170
17,3151,4,14,512
17,3152,84,1286,41470
17,3162,3,413,12180
17,3169,29,373,13143
17,3211,41,422,21667
17,3222,212,15728,932299
17,3159,20,304,8970
17,3161,3,217,9856
17,3212,35,1973,95400
17,3219,284,5632,246694
17,3221,8,604,67678
17,3231,1149,25996,1321002
17,3241,79,4757,522100
17,3251,107,6397,524409
17,3252,79,3728,297804
17,3253,35,1143,117489
17,3254,83,19535,2838500
17,3259,126,4748,322096
17,3255,112,5551,413842
17,3256,122,7183,485572
17,3262,75,8363,517091
17,3261,564,35015,2038210
17,3271,40,616,35758
17,3272,52,2246,140373
17,3273,342,5904,423507
17,3274,10,159,10036
17,3279,140,3609,242565
17,3312,48,3616,277809
17,3311,29,6937,736749
17,3313,20,1955,118075
17,3314,49,3120,220923
17,3315,90,5499,283340
17,3324,69,4191,287909
17,3321,181,7115,420851
17,3322,69,1889,90819
17,3323,475,13469,751120
17,3325,33,1206,73778
17,3326,99,3609,191577
17,3327,1267,25148,1390896
17,3329,315,16409,982199
17,3331,125,14224,1166887
17,3328,317,7927,384989
17,3332,165,4345,285754
17,3333,108,4804,300779
17,3334,80,5496,286115
17,3335,467,10386,635573
17,3336,64,4684,287798
17,3339,340,16787,1055434
17,3341,29,1370,131024
17,3342,61,2428,205452
17,3343,21,207,11481
17,3344,183,8327,444891
17,3345,182,10041,873815
17,3346,24,150,14329
17,3351,51,2866,179978
17,3352,10,3012,219863
17,3353,109,7872,584831
17,3359,114,5866,351069
17,3362,36,4010,208316
17,3365,23,2160,165188
17,3361,15,11519,808871
17,3363,221,28171,1384184
17,3364,24,3442,291488
17,3366,9,246,11915
17,3369,22,226,11528
17,3371,335,5147,231312
17,3379,31,541,29061
17,3399,586,15097,811374
17,3372,141,4197,226124
17,3391,375,6918,360795
17,4231,814,17002,1042606
17,4234,1404,41924,4094052
17,4232,444,6808,454388
17,4233,587,9628,750442
17,4236,1069,28600,2866620
17,4235,564,11308,820848
17,4237,881,13978,1101151
17,4239,1230,15833,1050132
17,4238,2682,46694,3609520
17,4244,1468,41628,2610381
17,4241,513,9796,790728
17,4242,303,17176,2676070
17,4243,285,2768,127950
17,4247,194,4324,502102
17,4248,154,8553,666436
17,4245,646,5040,305266
17,4249,1384,19608,1147234
17,4246,549,9095,846511
17,4251,1703,11401,765404
17,4411,1589,51060,2684907
17,4412,310,3479,163092
17,4421,810,7419,282561
17,4422,861,10139,239697
17,4431,846,11182,410035
17,4413,1884,18071,541828
17,4441,1937,44709,1501905
17,4442,442,4450,168052
17,4451,3274,100787,2530364
17,4452,820,6124,145134
17,4453,1412,6459,167912
17,4461,3499,47913,1781669
17,4471,3837,33276,703083
17,4482,857,8252,135407
17,4483,760,4456,156086
17,4481,3325,50721,817252
17,4511,1146,12788,276606
17,4512,232,2119,28724
17,4539,1865,11247,327592
17,4522,150,17877,269791
17,4523,1884,91906,2368265
17,4531,521,2168,40141
17,4532,786,5713,93736
17,4533,651,7582,142178
17,4811,106,29907,2285340
17,4812,77,784,68181
17,4541,1505,16921,903178
17,4542,178,1627,61656
17,4543,1037,5481,267845
17,4831,14,177,12592
17,4832,15,358,26711
17,4841,10548,67840,3681347
17,4852,27,893,21588
17,4842,2701,20078,1130032
17,4851,34,1601,57066
17,4871,17,151,2368
17,4853,497,3143,386743
17,4854,181,18561,333342
17,4855,37,715,12963
17,4859,214,3648,104036
17,4883,74,1567,116759
17,4861,24,307,45379
17,4862,49,491,56182
17,4869,26,165,18713
17,4872,24,637,23376
17,4879,4,3,126
17,4881,160,9620,368734
17,4882,113,4329,271617
17,4921,379,48278,1794474
17,4922,217,6043,341884
17,5231,1458,20648,5893522
17,4884,689,4930,162752
17,4885,1222,22520,1450835
17,4889,176,2271,93446
17,4931,814,58666,2782434
17,5121,673,8377,245241
17,5111,590,14279,880932
17,5112,518,24741,3724064
17,5152,40,789,84346
17,5122,126,617,29717
17,5151,247,7499,503500
17,5173,2440,34575,2881883
17,5174,11,40,2658
17,5179,200,2340,177625
17,5182,625,19950,2075860
17,5191,447,11665,1574551
17,5211,3,1405,199031
17,5221,4760,83526,7936112
17,5222,1740,23647,3015879
17,5232,6,2216,507251
17,5223,1151,12891,1463312
17,5239,3586,27654,6312172
17,5241,1300,80460,8727665
17,5242,6637,91786,4786911
17,5312,4693,12046,877288
17,5259,62,392,72813
17,5313,3504,25608,1758686
17,5311,3733,19751,1288490
17,5321,592,6494,358257
17,5322,573,5609,222842
17,5323,126,913,41489
17,5411,7749,54974,6650413
17,5324,613,10901,639098
17,5412,5338,56499,4439775
17,5331,55,812,70483
17,5413,3772,51488,4588882
17,5416,7785,87215,10047348
17,5414,1693,7450,395822
17,5415,6207,75827,8703048
17,5418,1776,29440,2264492
17,5417,493,21651,2882193
17,5419,3426,28670,1899209
17,5611,1218,26102,1594891
17,5511,2249,206386,24563187
17,5612,292,9536,429394
17,5613,2422,271920,9946948
17,5614,1258,25008,1631551
17,5617,8276,78235,2775942
17,5621,461,9079,710049
17,5615,746,6823,351037
17,5616,812,37840,1170601
17,5629,367,4083,284793
17,5619,957,18849,810140
17,5622,124,2366,144383
17,6111,903,41684,1599681
17,6115,318,4515,202001
17,6112,30,1799,47132
17,6113,182,99094,4858631
17,6114,356,2302,154814
17,6116,2155,19016,314335
17,6117,433,6201,344340
17,6211,7732,100485,10042166
17,6212,5874,38071,1826010
17,6213,7662,45226,1898158
17,6214,1630,34093,1924982
17,6215,473,7332,516391
17,6222,19,5665,350629
17,6223,16,7214,443686
17,6216,1166,50441,1572110
17,6219,462,15979,2333219
17,6221,195,224648,14368387
17,6231,724,70395,2383551
17,6232,1702,26907,829630
17,6233,674,42267,1219352
17,6239,137,4816,183800
17,6241,2558,95996,2314504
17,6242,435,7621,304855
17,6243,312,12105,269242
17,6244,3046,40705,925683
17,7111,360,5951,143017
17,7112,125,4033,864101
17,7131,161,3127,38078
17,7113,277,5871,103093
17,7132,400,6969,207436
17,7139,2924,56778,941045
17,7114,115,282,22456
17,7115,689,1486,79814
17,7121,209,6310,242941
17,7211,1548,53829,1218200
17,7212,133,440,13487
17,7213,76,593,12189
17,7223,2115,41785,806346
17,7224,2757,22886,282080
17,7225,22270,416530,6545700
17,8111,7248,38484,1550263
17,8112,523,5559,309242
17,8113,876,11123,659352
17,8122,999,5234,243919
17,8114,797,2706,104677
17,8123,1257,10499,264296
17,8121,5421,28548,558296
17,8129,2602,14955,378485
17,8139,2955,35837,2564554
17,8131,7044,64335,1575176
17,8132,824,7382,551339
17,8133,610,6877,373801
17,8134,1036,10275,305038
