fips,Naics,Establishments,Employees,Payroll
18,113310,39,55,1776
18,115112,8,83,4917
18,115210,52,93,2433
18,212321,29,191,11255
18,211120,18,64,3937
18,212312,27,387,11686
18,212311,4,112,5448
18,212319,3,0,0
18,213112,8,81,4895
18,221122,281,1374,149589
18,221112,49,39,5453
18,221210,63,125,12663
18,221320,6,0,0
18,221310,53,204,8557
18,238990,576,5186,345664
18,236220,675,12092,739624
18,238310,249,3410,169522
18,238210,1217,14562,878768
18,238350,439,2520,117821
18,238330,199,1041,50244
18,238130,228,1246,48935
18,238150,58,560,31824
18,237310,121,3471,353475
18,236210,83,1124,75796
18,237210,36,209,12600
18,238140,333,2312,118009
18,236117,198,1445,102330
18,236116,47,329,21884
18,236115,816,2712,111179
18,237120,7,771,74169
18,238290,130,2852,189470
18,238390,71,700,29974
18,238190,60,973,68550
18,237990,47,800,66859
18,238320,595,3423,148013
18,238220,1937,22539,1407710
18,238110,486,3906,184079
18,237130,76,1312,93978
18,236118,1920,6846,257242
18,238160,363,3409,182245
18,238170,132,542,20673
18,238910,909,9393,597001
18,238120,26,405,29922
18,238340,71,695,31845
18,237110,186,2239,164476
18,316998,3,0,0
18,314999,22,178,6424
18,311611,3,30,1168
18,312120,42,466,12635
18,311920,6,10,129
18,311812,15,823,40959
18,311352,7,54,1385
18,314120,11,166,5275
18,315210,4,19,566
18,311211,3,0,0
18,311612,4,0,0
18,311119,7,104,5690
18,311615,4,784,23563
18,311811,72,591,11115
18,312111,4,0,0
18,314910,15,419,15350
18,312130,9,74,1353
18,327910,3,22,905
18,325520,9,403,23003
18,325998,7,853,42595
18,321999,53,749,32449
18,326199,223,15435,614655
18,324121,5,56,3965
18,327120,11,300,16960
18,323111,320,7043,325742
18,323113,90,2420,86565
18,322211,30,1949,117371
18,325991,9,711,42080
18,321912,16,478,18254
18,327991,28,651,29182
18,325314,3,67,1505
18,327215,8,332,14532
18,321211,17,831,35370
18,325413,3,0,0
18,325120,7,0,0
18,321991,13,1303,62498
18,327993,4,120,5324
18,325180,8,220,18801
18,327390,26,626,28596
18,321918,27,539,18540
18,325510,8,120,8920
18,322220,7,0,0
18,324191,7,396,23627
18,325412,11,0,0
18,326160,3,440,23733
18,325211,13,711,35520
18,326191,7,226,7176
18,325612,7,201,10362
18,326140,5,260,12215
18,321992,7,227,9988
18,327320,66,897,43235
18,326291,13,672,26480
18,321113,39,495,15943
18,325611,7,116,6961
18,322230,3,236,9075
18,323120,13,141,7509
18,325130,3,193,9810
18,325212,3,0,0
18,326212,6,93,3626
18,321214,8,149,4580
18,326113,6,213,11552
18,326121,3,0,0
18,326150,17,1890,76845
18,321920,73,1854,62157
18,321114,3,0,0
18,321911,12,75,2112
18,333912,6,660,48648
18,333415,9,443,23137
18,335999,6,71,2953
18,332999,72,2541,112137
18,333999,18,221,12928
18,339999,68,899,35079
18,336999,9,71,2818
18,334516,3,112,6539
18,334310,3,0,0
18,336111,3,0,0
18,332991,6,0,0
