,fips,relevant_naics,YEAR,estab,emp,payann
1,25,11,2018,343,1139,47732
3,25,21,2018,52,615,40435
5,25,22,2018,307,12902,1627778
7,25,23,2018,19674,144785,11383070
9,25,42,2018,7300,142355,13198301
11,25,51,2018,3753,119425,14716297
13,25,52,2018,9534,186233,28327606
15,25,53,2018,7759,50360,3514566
17,25,54,2018,21767,302744,36277841
19,25,55,2018,1247,109250,14021891
21,25,56,2018,10968,162795,8346828
23,25,61,2018,3199,225336,10422715
25,25,62,2018,19597,614837,33337416
27,25,71,2018,3492,64570,2525866
29,25,72,2018,17810,312547,7458779
31,25,81,2018,18316,126336,4770166
33,25,99,2018,576,712,51136
