,fips,relevant_naics,YEAR,estab,emp,payann
0,24,114111,2017,8,7,128
2,24,113310,2017,31,114,4351
4,24,115210,2017,74,277,7890
6,24,115310,2017,3,9,277
8,24,212111,2017,3,80,4328
10,24,212321,2017,6,0,0
12,24,212312,2017,3,113,5981
15,24,221122,2017,49,0,0
17,24,221112,2017,17,329,34059
19,24,221111,2017,4,0,0
21,24,221210,2017,3,0,0
25,24,221330,2017,4,0,0
27,24,221310,2017,13,47,3176
29,24,238990,2017,470,4962,278284
31,24,236220,2017,882,12712,1029962
33,24,238310,2017,332,5801,303720
35,24,238210,2017,1518,21417,1366896
37,24,238350,2017,558,3592,209876
39,24,238330,2017,350,1748,103999
41,24,238130,2017,169,859,54925
43,24,238150,2017,105,1513,107445
45,24,237310,2017,142,4192,287125
47,24,236210,2017,22,354,22721
49,24,237210,2017,72,268,26762
51,24,238140,2017,392,5084,253142
53,24,236117,2017,249,2229,213303
55,24,236116,2017,44,876,88251
57,24,236115,2017,445,2310,129781
59,24,237120,2017,6,491,24105
61,24,238290,2017,135,3380,286227
63,24,238390,2017,165,2595,137778
65,24,238190,2017,144,1102,64172
67,24,237990,2017,79,742,47122
69,24,238320,2017,781,4556,212891
71,24,238220,2017,2076,26563,1747345
73,24,238110,2017,315,8512,475753
75,24,237130,2017,114,2939,187081
77,24,236118,2017,3137,10682,495665
79,24,238160,2017,280,3549,202007
81,24,238170,2017,116,554,28669
83,24,238910,2017,518,9245,544619
85,24,238120,2017,58,1147,68828
87,24,238340,2017,139,1003,55664
89,24,237110,2017,158,3394,230321
91,24,316998,2017,3,0,0
93,24,311999,2017,3,0,0
94,24,314999,2017,20,30,1214
96,24,311611,2017,3,0,0
97,24,312120,2017,25,399,14259
99,24,311812,2017,51,2390,89502
101,24,311352,2017,6,23,441
103,24,314120,2017,10,35,1382
105,24,315210,2017,5,10,297
107,24,312140,2017,3,0,22
109,24,311824,2017,3,0,0
112,24,311612,2017,3,60,4011
114,24,311119,2017,3,51,2180
116,24,311811,2017,105,1010,23307
118,24,311710,2017,12,29,5825
120,24,312111,2017,6,386,12816
122,24,311942,2017,4,0,0
125,24,314910,2017,19,131,5888
127,24,312130,2017,14,74,1337
129,24,325998,2017,11,370,17893
131,24,321999,2017,8,27,879
133,24,326199,2017,40,1314,64433
135,24,324121,2017,14,204,16271
137,24,325414,2017,4,1527,166400
139,24,323117,2017,10,199,12894
141,24,323111,2017,275,5407,287834
143,24,323113,2017,38,611,26225
145,24,327331,2017,4,0,0
147,24,327991,2017,13,169,7263
149,24,327215,2017,9,74,2851
151,24,327420,2017,3,0,0
153,24,325413,2017,3,0,0
155,24,325180,2017,6,706,64332
157,24,327390,2017,11,214,9422
159,24,321918,2017,4,11,313
161,24,325412,2017,10,0,0
163,24,327110,2017,3,6,229
165,24,327320,2017,42,799,51896
167,24,323120,2017,29,422,17494
169,24,326113,2017,3,0,0
171,24,321920,2017,4,115,3037
173,24,333415,2017,3,417,22005
176,24,332999,2017,4,32,1416
178,24,333999,2017,3,255,16639
180,24,339999,2017,28,346,12625
182,24,334516,2017,14,444,43734
184,24,336612,2017,15,124,4189
186,24,334118,2017,3,0,0
187,24,337212,2017,47,754,37768
189,24,339114,2017,4,17,528
191,24,339116,2017,70,333,12762
193,24,334510,2017,13,34,2967
195,24,332813,2017,12,57,2644
197,24,332312,2017,16,376,33513
201,24,339910,2017,6,36,960
203,24,332710,2017,126,1520,82293
205,24,332812,2017,9,99,5319
207,24,337124,2017,3,57,2977
209,24,337122,2017,4,11,337
211,24,339115,2017,3,0,0
212,24,332323,2017,15,173,11059
214,24,333318,2017,3,0,0
216,24,334419,2017,18,1010,56511
218,24,333249,2017,3,0,0
220,24,334519,2017,3,0,0
222,24,332721,2017,18,396,23285
224,24,334418,2017,3,15,872
225,24,334220,2017,24,2380,272962
227,24,333519,2017,3,50,2243
228,24,334511,2017,4,0,0
230,24,332322,2017,33,685,35180
232,24,336611,2017,4,73,5132
234,24,339950,2017,86,913,47899
236,24,333514,2017,4,0,0
238,24,339920,2017,4,48,1851
240,24,335911,2017,3,0,0
241,24,339112,2017,9,20,1092
243,24,339113,2017,9,32,1497
245,24,337121,2017,7,18,622
247,24,337110,2017,45,230,11240
249,24,423110,2017,90,1019,64241
251,24,424810,2017,15,360,19804
253,24,424920,2017,16,83,5302
255,24,423320,2017,59,747,52644
257,24,425110,2017,6,15,832
260,24,423430,2017,121,3288,443127
262,24,424450,2017,25,287,17949
264,24,423810,2017,57,1383,99253
266,24,424430,2017,14,557,29185
268,24,424210,2017,108,4215,481791
270,24,423610,2017,182,1949,143572
272,24,423820,2017,21,274,12020
