,relevant_naics,estab,emp,payann,fips
60617,11,12,17,514,24047
60618,23,222,966,42463,24047
60619,42,55,224,10525,24047
60620,51,35,193,9188,24047
60621,52,93,560,26986,24047
60622,53,177,558,22658,24047
60623,54,156,634,34336,24047
60624,56,92,520,25277,24047
60625,61,11,145,4752,24047
60626,62,155,2617,120256,24047
60627,71,69,928,34050,24047
60628,72,453,6476,214741,24047
60629,81,198,1129,31919,24047
60631,22,39,3286,490306,24510
60632,23,596,8274,526415,24510
60633,42,495,7271,506733,24510
60634,51,249,4299,359744,24510
60635,52,595,16555,2614833,24510
60636,53,751,5403,341253,24510
60637,54,1602,20465,1958523,24510
60638,55,85,11890,949583,24510
60639,56,542,16208,588175,24510
60640,61,220,40346,2630526,24510
60641,62,1510,76672,4575315,24510
60642,71,207,7861,383138,24510
60643,72,1546,25184,583696,24510
60644,81,1432,13189,501813,24510
60645,99,24,11,807,24510
60647,11,6,28,964,24011
60648,23,118,701,30094,24011
60650,11,9,7,285,24039
60651,22,3,3,435,24039
60652,23,53,321,13175,24039
60653,42,26,160,7509,24011
60654,42,11,549,40971,24039
60655,51,6,7,316,24039
60656,52,13,80,3020,24039
60657,51,8,57,3056,24011
60658,52,25,157,8085,24011
60659,53,18,56,2548,24011
60660,54,41,230,8741,24011
60661,53,13,27,536,24039
60662,54,19,98,4763,24039
60663,56,13,51,1915,24039
60664,61,4,44,1217,24039
60665,62,43,1347,44729,24039
60666,71,5,23,370,24039
60667,72,29,376,4863,24039
60668,81,52,214,5031,24039
60669,55,3,159,14538,24011
60670,56,45,293,14522,24011
60671,61,8,574,18528,24011
60672,62,51,867,30739,24011
60673,71,6,55,565,24011
60674,72,38,437,7195,24011
60675,81,75,351,12099,24011
60677,11,7,31,1159,24041
60678,23,178,1022,51272,24041
60679,42,62,682,35141,24041
60681,11,7,31,979,24025
60682,21,3,110,7534,24025
60683,22,11,143,15908,24025
60684,23,780,5114,279816,24025
60685,51,19,363,13581,24041
60686,42,201,3082,182686,24025
60687,52,73,544,47312,24041
60688,53,69,185,9128,24041
60689,54,139,1126,68421,24041
60690,55,7,350,21468,24041
60691,56,87,1718,63122,24041
60692,61,14,291,11116,24041
60693,62,183,3983,199163,24041
60694,71,34,520,12434,24041
60695,72,140,2559,54560,24041
60696,81,162,921,29233,24041
60697,99,4,11,202,24041
60699,21,3,35,1576,24001
60700,22,6,147,14786,24001
60701,23,109,1062,50176,24001
60702,51,73,643,44322,24025
60703,42,53,620,25004,24001
60704,52,291,1836,121423,24025
60705,53,249,879,39680,24025
60706,54,775,8649,732755,24025
60707,51,36,1008,29632,24001
60708,52,100,838,45978,24001
60709,55,31,814,64680,24025
60710,56,354,3387,137078,24025
60711,53,57,187,7099,24001
60712,54,87,554,26590,24001
60713,61,82,951,26097,24025
60714,56,48,1416,52646,24001
60715,61,12,172,4933,24001
60716,62,235,5793,247602,24001
60717,62,607,12068,569347,24025
60718,71,18,195,2087,24001
60719,72,182,3528,58803,24001
60720,81,223,1166,27591,24001
60721,71,87,1378,23431,24025
60722,72,417,8958,150946,24025
60723,11,9,263,14390,24027
60724,21,3,136,14867,24027
60725,22,6,130,16995,24027
60726,23,840,10695,756826,24027
60729,11,3,21,1034,24033
60730,21,3,51,3024,24033
60731,22,12,528,57546,24033
60732,23,1673,32140,2207381,24033
60733,81,571,3897,125164,24025
60734,99,5,4,55,24025
60735,42,573,11786,706436,24033
60736,42,565,16084,1241958,24027
60738,11,12,35,897,24003
60739,21,3,16,1156,24003
60740,22,24,557,72783,24003
60741,23,1617,18264,1135229,24003
60742,42,579,10390,680130,24003
