,relevant_naics,estab,emp,payann,fips
164537,4511,16,53,926,23017
164538,4523,11,497,12222,23017
164539,4531,6,11,159,23017
164540,4532,4,11,222,23017
164541,6232,21,438,9575,23017
164542,6241,17,278,7156,23017
164543,6242,5,0,0,23017
164544,4539,13,32,1036,23017
164545,4541,13,50,2429,23017
164546,4543,18,236,10662,23017
164547,6244,25,205,3866,23017
164548,7113,3,27,1588,23017
164549,7121,4,16,505,23017
164550,7139,20,162,2394,23017
164551,1133,44,155,7501,23017
164552,2211,4,36,3363,23017
164553,4841,7,49,2102,23017
164554,4842,25,121,6017,23017
164555,7211,24,1640,30365,23017
164556,7212,26,102,7095,23017
164557,2361,63,204,7592,23017
164558,2379,3,0,0,23017
164559,2381,20,52,2102,23017
164560,4884,3,8,121,23017
164561,5111,4,0,0,23017
164562,5151,4,18,465,23017
164563,5173,12,65,3162,23017
164564,5191,6,25,257,23017
164565,7223,5,81,880,23017
164566,7225,95,1107,15917,23017
164567,2382,44,164,6819,23017
164568,2383,20,41,1535,23017
164569,5221,20,252,13377,23017
164570,5239,4,7,541,23017
164571,5242,15,56,2541,23017
164572,8111,36,120,3954,23017
164573,8113,7,45,987,23017
164574,2389,32,171,7872,23017
164575,3118,4,26,584,23017
164576,5311,11,36,1579,23017
164577,5312,16,21,1051,23017
164578,5313,11,40,1926,23017
164579,8114,4,13,256,23017
164580,8121,9,32,455,23017
164581,8122,4,15,532,23017
164582,8123,4,27,539,23017
164583,8129,5,37,541,23017
164584,3121,3,7,538,23017
164585,3211,7,578,26587,23017
164586,3219,5,231,8010,23017
164587,3231,5,17,229,23017
164588,3327,8,421,28371,23017
164589,5322,10,59,1633,23017
164590,5411,19,66,2536,23017
164591,5412,17,46,1021,23017
164592,8131,38,98,1435,23017
164593,8132,3,10,174,23017
164594,8133,5,2,188,23017
164595,8134,6,20,306,23017
164596,8139,11,79,1412,23017
164597,3399,4,11,221,23017
164598,4231,4,49,1901,23017
164599,4238,6,20,606,23017
164600,4239,8,46,2694,23017
164601,4244,5,28,1388,23017
164602,4249,5,29,921,23017
164603,5413,12,39,2307,23017
164604,5415,4,0,0,23017
164605,5416,10,21,769,23017
164606,5419,11,113,4760,23017
164607,4411,9,129,5405,23017
164608,4413,14,115,2637,23017
164609,5511,3,0,0,23017
164610,5613,4,10,1086,23017
164611,5617,37,71,2154,23017
164612,5619,7,16,367,23017
164613,4422,4,7,193,23017
164614,4431,3,13,245,23017
164615,4441,16,109,3761,23017
164616,4442,7,49,788,23017
164617,5621,5,50,1713,23017
164618,5629,5,16,302,23017
164619,6111,8,414,18003,23017
164620,6116,6,32,701,23017
164621,4451,27,463,10241,23017
164622,4453,3,0,0,23017
164623,6211,8,112,5666,23017
164624,6212,14,81,4447,23017
164625,6213,19,79,3400,23017
164626,4461,7,95,3295,23017
164627,4471,44,353,6117,23017
164628,4481,5,15,237,23017
164629,4483,3,3,125,23017
164630,6214,8,149,7334,23017
164631,6219,6,84,1631,23017
164632,6231,5,573,14617,23017
164633,5222,8,0,0,23027
164634,5239,5,9,615,23027
164635,5242,6,33,1080,23027
164636,1133,6,17,462,23027
164637,5311,9,15,513,23027
164638,5312,15,28,1564,23027
164639,5313,3,5,174,23027
164640,5322,3,0,0,23027
164641,5411,11,22,1259,23027
164642,5412,10,37,1013,23027
164643,1141,4,0,162,23027
164644,2361,38,166,6300,23027
164645,2379,3,0,0,23027
164646,5413,8,55,3324,23027
164647,5414,5,5,405,23027
164648,5415,7,13,495,23027
164649,5416,14,26,1038,23027
164650,2381,11,47,1788,23027
164651,2382,29,62,2644,23027
164652,2383,28,82,3423,23027
164653,5419,7,45,1560,23027
164654,5511,6,37,2586,23027
164655,5613,3,0,0,23027
164656,5617,31,53,2265,23027
164657,2389,24,74,4857,23027
164658,3121,7,22,1153,23027
164659,5619,3,25,259,23027
164660,5621,5,36,1723,23027
164661,5629,6,55,4412,23027
164662,6116,7,17,292,23027
164663,3219,3,0,0,23027
164664,3231,5,38,805,23027
164665,3335,3,11,376,23027
164666,3366,7,100,4705,23027
164667,3399,5,163,5925,23027
164668,6211,15,105,5842,23027
164669,6212,9,68,3520,23027
164670,6213,14,60,2249,23027
164671,6214,8,108,5178,23027
164672,4238,3,23,1355,23027
164673,4239,6,9,214,23027
164674,4244,7,195,8733,23027
164675,4247,3,0,0,23027
164676,4251,3,3,75,23027
164677,6232,11,113,3908,23027
164678,6233,7,182,4669,23027
164679,6241,16,157,4508,23027
164680,4411,10,74,2809,23027
164681,4412,3,0,0,23027
164682,4413,9,64,1712,23027
164683,4431,3,0,0,23027
164684,4441,14,168,7319,23027
164685,6242,3,6,189,23027
164686,6243,3,0,0,23027
164687,6244,23,138,2544,23027
164688,7121,3,0,0,23027
164689,7139,16,86,2512,23027
164690,4451,17,381,8848,23027
164691,4452,5,8,334,23027
164692,4461,5,59,1976,23027
164693,7211,17,137,3891,23027
164694,7212,4,21,931,23027
164695,7223,6,8,631,23027
164696,4471,25,304,5488,23027
164697,4481,5,20,656,23027
164698,4511,6,44,764,23027
164699,4523,12,98,1909,23027
164700,7225,65,683,12596,23027
164701,8111,31,133,3734,23027
164702,4532,8,10,282,23027
164703,4533,9,44,685,23027
164704,4539,4,8,212,23027
164705,4541,6,14,273,23027
164706,8112,3,6,185,23027
164707,8113,3,6,166,23027
164708,8114,7,47,1717,23027
164709,4543,12,90,4086,23027
164710,4841,4,24,958,23027
164711,4842,15,71,3342,23027
164712,4883,5,32,2485,23027
164713,8121,11,51,1550,23027
164714,8129,8,20,373,23027
164715,8131,17,58,790,23027
164716,8132,4,40,2351,23027
164717,8133,7,14,346,23027
164718,5111,4,29,1843,23027
164719,5121,5,28,279,23027
164720,5173,5,33,2019,23027
164721,5191,3,4,45,23027
164722,5221,11,69,2608,23027
164723,8134,5,12,137,23027
164724,8139,4,0,0,23027
164725,2383,53,212,9179,23019
164726,2389,62,475,44371,23019
164727,3118,8,266,5962,23019
164728,3121,7,44,1782,23019
164729,3149,3,0,0,23019
164730,3162,3,46,502,23019
164731,3169,3,0,0,23019
164732,3211,10,69,2492,23019
164733,3219,14,140,5470,23019
164734,3221,3,3,197,23019
164735,3231,10,115,4696,23019
164736,3273,3,99,4884,23019
164737,3279,3,0,0,23019
164738,2389,62,319,18069,23001
164739,3116,5,30,668,23001
164740,1141,46,132,4899,23029
164741,1151,3,0,0,23029
164742,3323,7,96,4748,23019
164743,3327,8,119,5556,23019
164744,3329,6,118,6605,23019
164745,3371,7,70,2840,23019
164746,3372,4,42,1294,23019
164747,3391,7,37,890,23019
164748,3399,14,237,11955,23019
164749,4231,16,482,14188,23019
164750,4232,3,0,0,23019
164751,4233,9,49,3179,23019
164752,1133,59,549,25557,23019
164753,4234,11,51,2970,23019
164754,4235,3,42,2002,23019
164755,4236,10,122,7348,23019
164756,4237,12,143,7760,23019
164757,1153,7,47,3555,23019
164758,2211,11,567,47118,23019
164759,2361,102,345,13004,23019
164760,4238,34,336,19508,23019
164761,4239,22,165,6524,23019
164762,2362,18,196,8760,23019
164763,4241,4,42,2398,23019
164764,4244,18,375,19248,23019
164765,4242,3,16,862,23019
164766,4246,4,20,1218,23019
164767,2371,14,59,3131,23019
164768,2361,21,74,2264,23029
164769,5617,8,8,191,23029
164770,5619,4,18,596,23029
164771,5621,5,25,1208,23029
164772,5629,3,0,0,23029
164773,6111,7,215,5968,23029
164774,2371,3,9,378,23029
164775,2373,5,14,785,23029
164776,2381,16,20,621,23029
164777,2382,21,72,2476,23029
164778,6116,6,34,1077,23029
164779,6211,8,14,1081,23029
164780,6212,5,38,1749,23029
164781,2383,10,8,412,23029
164782,2389,16,56,2191,23029
164783,3114,3,139,6192,23029
164784,3366,9,73,1867,23029
164785,6213,11,35,1534,23029
164786,6214,18,282,11292,23029
164787,6219,6,71,1273,23029
164788,3399,5,0,0,23029
164789,4239,5,19,759,23029
164790,4244,36,152,5886,23029
164791,6231,4,279,5234,23029
164792,6232,11,129,2933,23029
164793,6233,4,58,1108,23029
164794,6241,20,248,4780,23029
164795,4249,3,0,0,23029
164796,4411,6,38,1080,23029
164797,4412,3,18,504,23029
164798,4413,10,65,1769,23029
164799,2373,12,73,3314,23019
164800,2381,57,381,17018,23019
164801,4247,7,70,4225,23019
164802,4248,4,148,6588,23019
164803,4249,3,14,727,23019
164804,4251,11,57,2733,23019
164805,4411,36,1084,48415,23019
164806,2382,122,895,49063,23019
164807,4412,19,171,7665,23019
164808,4441,45,785,24585,23019
164809,4442,15,134,3531,23019
164810,4481,35,537,6784,23019
164811,4533,11,105,1547,23019
164812,4539,32,164,4130,23019
164813,4854,5,0,0,23019
164814,4881,5,175,11876,23019
164815,4884,10,75,2141,23019
164816,4885,3,4,91,23019
164817,4921,8,367,18096,23019
