,fips,relevant_naics,estab,emp,payann
9633,23,336310,4,0,0
9634,23,336320,3,0,0
9635,23,336390,3,30,1413
9636,23,221122,25,976,80101
9637,23,221210,4,85,6615
9638,23,221310,15,92,5616
9639,23,237310,68,867,71241
9640,23,311111,3,0,0
9641,23,311119,3,57,2292
9642,23,311340,5,19,397
9643,23,311352,12,98,2064
9644,23,314994,8,270,12180
9645,23,314999,21,110,3907
9646,23,323120,5,41,1505
9647,23,324121,11,95,8892
9648,23,332321,3,0,0
9649,23,332322,23,352,16049
9650,23,332323,12,29,1249
9651,23,332510,5,40,1874
9652,23,113110,13,66,3320
9653,23,237990,41,387,19929
9654,23,238290,34,439,25849
9655,23,311411,9,798,31499
9656,23,311421,7,311,11779
9657,23,315240,3,0,0
9658,23,315990,5,35,1235
9659,23,316210,14,1437,55450
9660,23,325180,5,48,2897
9661,23,332618,12,220,6653
9662,23,113310,398,2146,93827
9663,23,238310,127,943,41415
9664,23,311511,6,300,16003
9665,23,311513,6,12,199
9666,23,311520,4,0,0
9667,23,311611,10,68,1578
9668,23,311612,5,42,1327
9669,23,316992,4,0,0
9670,23,316998,5,84,2860
9671,23,325311,3,0,0
9672,23,325314,6,75,3343
9673,23,325412,6,0,0
9674,23,325413,4,430,26836
9675,23,325414,6,224,17509
9676,23,332710,99,1494,78783
9677,23,238320,241,768,29183
9678,23,311710,22,494,16933
9679,23,325611,3,0,0
9680,23,325620,3,0,0
9681,23,332721,18,634,37790
9682,23,114111,69,466,39435
9683,23,114112,384,248,15622
9684,23,236115,516,1774,74775
9685,23,236116,3,0,0
9686,23,236117,77,247,11486
9687,23,238110,158,743,36726
9688,23,238120,15,153,7001
9689,23,238330,72,166,5805
9690,23,311811,56,447,10699
9691,23,321113,60,1640,74395
9692,23,321114,5,121,3798
9693,23,326150,3,0,0
9694,23,326160,3,60,3184
9695,23,326199,28,1388,58189
9696,23,332812,4,13,293
9697,23,332813,6,189,9278
9698,23,115112,10,24,963
9699,23,115113,5,13,517
9700,23,115116,3,2,34
9701,23,236118,787,2135,80831
9702,23,238130,71,184,6591
9703,23,238340,31,274,12941
9704,23,238350,238,688,25790
9705,23,311812,19,761,30890
9706,23,311813,3,0,0
9707,23,311824,6,84,2579
9708,23,321214,4,121,6261
9709,23,321219,4,372,22187
9710,23,326299,4,62,4321
9711,23,332994,3,418,23045
9712,23,332999,15,409,26680
9713,23,115210,16,38,632
9714,23,236210,7,94,4839
9715,23,236220,161,1482,82062
9716,23,238140,142,572,22634
9717,23,238150,21,133,5666
9718,23,238390,34,405,21323
9719,23,311920,7,86,3516
9720,23,311941,6,0,0
9721,23,311991,5,0,0
9722,23,311999,4,0,0
9723,23,321911,3,124,5011
9724,23,321912,15,304,13888
9725,23,321918,19,68,2674
9726,23,327110,13,58,1166
9727,23,327120,3,40,2168
9728,23,327215,3,3,52
9729,23,333120,6,427,25979
9730,23,333243,3,4,216
9731,23,333249,5,53,2015
9732,23,333318,6,84,6138
9733,23,115310,34,134,7298
9734,23,238160,96,848,40903
9735,23,238170,29,62,2780
9736,23,312112,9,0,0
9737,23,321920,15,390,13506
9738,23,321992,12,315,12530
9739,23,327320,26,405,21012
9740,23,333514,3,7,281
9741,23,333515,7,154,14315
9742,23,212313,4,22,1548
9743,23,212321,5,8,827
9744,23,238190,29,184,8719
9745,23,238910,535,3347,204411
9746,23,312113,3,0,0
9747,23,312120,53,595,27376
9748,23,321999,38,792,28892
9749,23,327331,3,0,0
9750,23,327390,13,238,11186
9751,23,333914,3,60,3599
9752,23,333923,3,0,0
9753,23,333999,11,173,9461
9754,23,237110,58,319,15898
9755,23,237120,9,94,5921
9756,23,238990,181,649,48097
9757,23,312130,12,44,1891
9758,23,312140,13,182,8363
9759,23,313110,5,67,2036
9760,23,322110,3,0,0
9761,23,322121,8,2503,157550
9762,23,322211,3,229,13594
9763,23,322220,3,168,5680
9764,23,327991,16,124,4881
9765,23,331511,3,0,0
9766,23,334220,3,57,2852
9767,23,334418,4,237,11449
9768,23,334419,4,93,5121
9769,23,221111,31,0,0
9770,23,221112,5,81,9173
9771,23,237130,44,1736,139347
9772,23,238210,549,2645,136346
9773,23,313210,8,355,12020
9774,23,313230,3,30,1073
9775,23,314110,3,0,0
9776,23,332216,6,314,11610
9777,23,334510,4,0,0
9778,23,334513,7,22,1372
9779,23,334516,5,795,53643
9780,23,335314,4,0,0
9781,23,221115,4,8,871
9782,23,221117,7,217,14324
9783,23,221121,23,0,0
9784,23,237210,11,26,1125
9785,23,238220,659,3737,190202
9786,23,314120,10,71,1577
9787,23,314910,25,88,2797
9788,23,323111,81,1458,59978
9789,23,323113,34,219,6152
9790,23,332311,7,109,5959
9791,23,332312,17,467,24096
9792,23,332313,7,51,2526
9793,23,336211,4,121,6778
9794,23,541990,44,158,8994
9795,23,551112,25,466,19551
9796,23,561611,18,29,2228
9797,23,561612,20,769,20800
9798,23,621111,597,9779,744432
9799,23,621511,15,850,41027
9800,23,621512,22,180,11883
9801,23,711219,7,19,1092
9802,23,711310,31,148,4612
9803,23,722514,13,112,1957
9804,23,722515,438,4124,70259
9805,23,812111,9,56,1625
9806,23,812112,307,1391,33874
9807,23,813910,128,499,26404
9808,23,551114,180,9080,836048
9809,23,561613,5,0,0
9810,23,561621,24,193,10517
9811,23,561622,17,42,1512
9812,23,621112,20,40,1831
9813,23,623990,68,1056,26162
9814,23,711320,13,120,3397
9815,23,711410,4,0,0
9816,23,721110,513,7537,220982
9817,23,812113,38,107,2797
9818,23,813920,38,151,7256
9819,23,813930,60,439,14386
9820,23,611110,116,4877,172284
9821,23,621610,119,5431,182528
9822,23,711510,83,135,8447
9823,23,812191,3,0,0
9824,23,812199,84,472,9552
9825,23,813940,23,28,1683
9826,23,813990,56,300,7807
9827,23,561710,31,267,12895
9828,23,611310,29,10641,347833
9829,23,621210,456,3725,206248
9830,23,624110,77,1043,29704
9831,23,712110,73,464,15238
9832,23,712120,31,100,2751
9833,23,721191,166,493,16576
9834,23,721199,42,112,6077
9835,23,812210,90,501,15955
9836,23,561720,356,3417,64943
9837,23,611420,5,14,534
9838,23,611430,32,82,5761
9839,23,621910,48,1301,32385
9840,23,621999,22,201,9730
9841,23,712130,7,125,4800
9842,23,712190,10,33,1498
9843,23,811111,671,2375,84207
9844,23,812220,34,70,3596
9845,23,561730,816,3259,131083
9846,23,611511,4,45,1316
9847,23,611513,5,15,458
9848,23,611519,20,222,7596
9849,23,621310,193,706,24523
9850,23,622110,38,34761,2301569
9851,23,624120,282,7741,166334
9852,23,713110,3,43,4453
9853,23,721211,132,320,18773
9854,23,721214,118,794,51215
9855,23,811113,9,37,1407
9856,23,811118,22,69,2240
9857,23,812310,66,297,5031
9858,23,561110,109,1317,67713
9859,23,561740,33,146,4025
9860,23,621320,117,882,39039
9861,23,622210,3,988,49821
9862,23,624190,216,3297,105498
9863,23,713120,17,192,2545
9864,23,713290,7,41,1634
9865,23,811121,164,959,40989
9866,23,811122,40,204,5083
9867,23,812320,28,168,3273
9868,23,561210,22,463,14031
9869,23,561790,54,146,3703
9870,23,611610,67,396,6561
9871,23,621330,183,1043,28291
9872,23,721310,10,28,464
9873,23,811191,35,203,5517
9874,23,811192,61,240,6359
9875,23,812331,4,0,0
9876,23,812332,8,0,0
9877,23,561311,16,311,9861
9878,23,561312,15,41,3532
9879,23,561910,3,0,0
9880,23,561920,14,0,0
9881,23,611620,79,463,8853
9882,23,611630,5,18,238
9883,23,621340,226,1448,56231
9884,23,623110,97,9755,242732
9885,23,624210,15,110,4455
9886,23,624221,31,357,9605
9887,23,624229,24,153,4990
9888,23,624230,9,140,3678
9889,23,713910,111,653,34493
9890,23,811198,9,38,1190
9891,23,812910,135,625,11526
9892,23,561320,126,5977,165129
9893,23,561990,121,1118,37274
9894,23,611691,22,200,4696
9895,23,611692,23,94,1379
9896,23,611699,48,174,4105
9897,23,624310,36,695,15716
9898,23,713920,14,1339,12528
9899,23,713930,77,376,18912
9900,23,722310,101,2080,41113
9901,23,811212,20,49,1700
9902,23,811213,9,31,1550
9903,23,811219,15,59,2559
9904,23,812921,4,4,155
9905,23,812930,20,146,3975
9906,23,561330,9,600,24918
9907,23,611710,57,993,53113
9908,23,621391,28,122,6672
9909,23,621399,129,480,23794
9910,23,722320,64,378,10512
9911,23,722330,30,38,1377
9912,23,812990,42,123,3658
9913,23,561410,27,401,11938
9914,23,561421,8,182,3943
9915,23,562111,94,874,37028
9916,23,623210,436,6381,171480
9917,23,624410,634,4588,93389
9918,23,713940,152,2390,33279
9919,23,811310,109,506,24229
9920,23,813110,747,4010,77641
9921,23,561422,28,1737,42599
9922,23,561431,14,52,1246
9923,23,561439,11,49,1852
9924,23,562211,5,85,4709
9925,23,562212,4,36,2152
9926,23,562219,5,24,1664
9927,23,621410,27,120,5144
9928,23,621420,135,2599,104805
9929,23,623220,145,2424,75327
9930,23,713950,30,385,6736
9931,23,722410,120,1023,22380
9932,23,811411,13,28,726
9933,23,811412,14,28,708
9934,23,813211,72,324,19917
9935,23,561440,11,161,5904
9936,23,561491,3,0,0
9937,23,561492,11,16,594
9938,23,561499,12,19,1376
9939,23,562910,32,370,20911
9940,23,713990,168,606,15433
9941,23,811420,10,22,569
9942,23,811430,4,11,183
9943,23,811490,109,696,30022
9944,23,813212,25,316,11287
9945,23,813219,26,174,8287
9946,23,541910,21,85,4004
9947,23,541921,41,86,2057
9948,23,541922,27,41,1424
9949,23,561510,45,408,18509
9950,23,562920,29,242,10681
9951,23,562991,49,178,7074
9952,23,621491,7,0,0
9953,23,621492,22,297,14188
9954,23,621493,15,409,24161
9955,23,621498,110,3227,212328
