,fips,relevant_naics,YEAR,estab,emp,payann
0,26,113210,2017,3,0,0
1,26,114210,2017,6,7,268
3,26,113310,2017,288,1329,55758
6,26,115112,2017,14,7,661
8,26,115210,2017,81,189,3775
10,26,115310,2017,10,23,1030
12,26,212321,2017,53,259,14451
14,26,211120,2017,28,160,11812
16,26,213111,2017,13,233,16128
18,26,212210,2017,3,0,0
20,26,211130,2017,7,49,4644
22,26,213112,2017,54,391,24509
24,26,221122,2017,91,310,28844
26,26,221112,2017,19,0,0
28,26,221111,2017,7,0,0
30,26,221210,2017,33,485,44258
32,26,221113,2017,6,0,0
34,26,221320,2017,11,48,2617
36,26,221330,2017,4,0,0
38,26,221310,2017,21,104,6876
41,26,238990,2017,916,4409,327842
43,26,236220,2017,1032,13468,978811
45,26,238310,2017,375,4017,211572
47,26,238210,2017,1834,22244,1487558
49,26,238350,2017,749,3656,176231
51,26,238330,2017,348,1903,99459
53,26,238130,2017,286,1426,63296
55,26,238150,2017,122,1229,78805
57,26,237310,2017,199,3062,415894
59,26,236210,2017,95,978,60908
61,26,237210,2017,59,149,10334
63,26,238140,2017,495,3016,207932
65,26,236117,2017,389,1831,114939
67,26,236116,2017,30,359,23255
69,26,236115,2017,1350,4560,218939
71,26,237120,2017,13,383,39892
73,26,238290,2017,203,4300,361093
75,26,238390,2017,159,1426,70105
77,26,238190,2017,59,287,17633
79,26,237990,2017,110,716,63862
81,26,238320,2017,888,4426,214409
83,26,238220,2017,2561,24373,1496110
85,26,238110,2017,646,3923,288546
87,26,237130,2017,93,3226,279642
89,26,236118,2017,3092,9932,420792
91,26,238160,2017,381,3503,231020
93,26,238170,2017,196,869,45587
95,26,238910,2017,1057,8233,588771
97,26,238120,2017,42,768,50903
99,26,238340,2017,183,1027,51366
101,26,237110,2017,303,2292,153246
103,26,311999,2017,19,77,2144
105,26,314999,2017,46,312,9094
107,26,311611,2017,14,159,5585
109,26,315990,2017,10,57,1571
111,26,311230,2017,3,1120,93874
113,26,312120,2017,87,1700,55434
115,26,314110,2017,5,0,0
117,26,311920,2017,5,27,850
119,26,311812,2017,67,2072,83760
121,26,311352,2017,17,62,2057
124,26,314120,2017,18,103,2289
126,26,315210,2017,6,5,145
128,26,312140,2017,12,33,946
130,26,311824,2017,8,220,12120
132,26,311511,2017,3,356,17781
134,26,311411,2017,3,689,26925
136,26,311412,2017,9,408,14999
138,26,311421,2017,15,558,16624
140,26,311941,2017,3,0,0
141,26,311612,2017,22,500,24082
143,26,311340,2017,6,12,72
145,26,311119,2017,10,193,8417
147,26,311919,2017,12,1225,89430
149,26,311991,2017,13,57,2163
151,26,311613,2017,3,0,0
152,26,311811,2017,191,1765,31536
154,26,312111,2017,8,773,51691
157,26,314910,2017,23,232,9529
159,26,312230,2017,3,2,79
161,26,312130,2017,57,591,15458
163,26,315240,2017,3,0,0
165,26,327910,2017,20,449,27405
167,26,325520,2017,15,373,26047
169,26,325199,2017,12,7,262
171,26,322299,2017,7,121,7017
173,26,325998,2017,20,484,28591
175,26,321999,2017,60,577,22656
177,26,326199,2017,370,31152,1362072
179,26,326299,2017,15,334,18582
181,26,324121,2017,6,8,685
183,26,323117,2017,11,1362,58018
185,26,323111,2017,504,7803,391102
187,26,323113,2017,144,1724,69639
189,26,327331,2017,3,29,2447
191,26,322211,2017,31,2145,114771
193,26,325991,2017,3,75,5186
195,26,321912,2017,7,175,7074
197,26,327991,2017,19,207,9747
199,26,322212,2017,6,405,26683
201,26,327215,2017,20,129,4732
204,26,325413,2017,4,0,0
206,26,326130,2017,3,0,0
208,26,325180,2017,7,55,3802
210,26,327390,2017,27,244,14171
212,26,321918,2017,27,307,12752
214,26,322219,2017,3,0,0
216,26,325510,2017,36,1703,105688
218,26,322220,2017,11,1343,51242
220,26,322130,2017,3,189,12656
222,26,324191,2017,13,258,18641
225,26,325412,2017,26,1277,90588
227,26,325211,2017,34,998,54432
229,26,326112,2017,3,197,13880
230,26,326191,2017,6,121,6099
232,26,325612,2017,3,12,286
234,26,326140,2017,13,958,45563
236,26,327110,2017,5,50,818
238,26,325910,2017,4,179,12320
240,26,327320,2017,134,1267,104453
242,26,326220,2017,7,323,19214
244,26,326291,2017,13,627,48078
246,26,321113,2017,46,524,16838
248,26,325611,2017,10,0,0
250,26,322230,2017,9,246,10157
252,26,323120,2017,46,361,16861
254,26,326212,2017,3,148,3867
256,26,325620,2017,5,80,5352
258,26,326113,2017,3,0,0
260,26,326121,2017,6,0,0
262,26,326150,2017,13,714,30250
264,26,321920,2017,53,1074,44178
266,26,321911,2017,12,154,7140
268,26,333415,2017,18,710,41858
270,26,336412,2017,10,546,34391
272,26,335999,2017,35,360,29433
274,26,332999,2017,202,3030,157254
276,26,333999,2017,119,4576,373187
278,26,339999,2017,326,1908,86006
280,26,336999,2017,15,21,1077
282,26,331524,2017,10,241,11879
284,26,334516,2017,5,197,13726
286,26,334310,2017,10,90,6318
288,26,334512,2017,3,0,0
