,relevant_naics,estab,emp,payann,fips
312699,447110,3,36,700,29129
312700,454310,3,0,0,29129
312701,522110,3,23,965,29129
312702,524210,3,6,196,29129
312703,722511,3,11,93,29129
312704,813110,5,12,149,29129
312705,621610,6,0,0,29123
312706,624120,18,0,0,29123
312707,624410,4,37,506,29123
312708,722511,8,71,822,29123
312709,722513,8,143,1368,29123
312710,811121,3,16,451,29123
312711,811310,3,2,44,29123
312712,813110,15,177,3830,29123
312713,236115,4,7,204,29123
312714,238140,5,30,517,29123
312715,238220,4,8,261,29123
312716,238910,4,19,878,29123
312717,441110,3,32,1068,29123
312718,441120,4,9,373,29123
312719,441310,5,58,1546,29123
312720,447110,7,49,779,29123
312721,484121,8,14,788,29123
312722,484220,3,6,96,29123
312723,522110,6,48,1327,29123
312724,524210,5,21,456,29123
312725,484230,6,0,0,29131
312726,484110,3,0,0,29131
312727,484220,8,44,1599,29131
312728,517311,4,0,0,29131
312729,522110,14,126,5965,29131
312730,524210,16,48,1973,29131
312731,531110,3,0,0,29131
312732,531120,4,21,459,29131
312733,531210,26,51,1820,29131
312734,531311,5,34,1317,29131
312735,531320,3,7,134,29131
312736,532284,3,0,0,29131
312737,541110,8,24,1089,29131
312738,541191,3,0,0,29131
312739,541213,3,0,0,29131
312740,541350,3,0,0,29131
312741,541512,3,2,118,29131
312742,541940,5,63,1916,29131
312743,561110,5,4,320,29131
312744,561320,3,0,0,29131
312745,561710,6,37,1070,29131
312746,221122,3,0,0,29131
312747,236115,10,32,1246,29131
312748,236117,3,0,0,29131
312749,236118,11,31,810,29131
312750,236220,5,59,3419,29131
312751,561720,7,21,331,29131
312752,561730,14,66,2743,29131
312753,621111,3,0,0,29131
312754,452319,6,0,0,29229
312755,453110,3,5,40,29229
312756,454310,3,9,269,29229
312757,484110,3,12,612,29229
312758,484121,12,39,1494,29229
312759,484220,4,92,1845,29229
312760,484230,6,20,600,29229
312761,522110,11,97,3174,29229
312762,522291,3,7,222,29229
312763,524210,10,25,748,29229
312764,531110,4,10,155,29229
312765,531210,4,6,89,29229
312766,541110,5,5,107,29229
312767,541211,3,10,152,29229
312768,541940,3,16,289,29229
312769,561730,4,5,133,29229
312770,561990,4,5,49,29229
312771,562111,3,0,0,29229
312772,621111,3,41,1795,29229
312773,621210,5,20,736,29229
312774,621498,3,0,0,29229
312775,623110,3,180,3498,29229
312776,624120,13,29,838,29229
312777,621210,6,39,4591,29131
312778,237990,7,33,1207,29131
312779,238110,8,44,1748,29131
312780,238140,3,16,301,29131
312781,238160,4,15,233,29131
312782,238210,14,40,1580,29131
312783,621498,5,0,0,29131
312784,623110,3,261,5529,29131
312785,624120,14,25,314,29131
312786,624410,7,38,495,29131
312787,238220,11,51,1871,29131
312788,238310,4,47,1839,29131
312789,238320,6,43,1630,29131
312790,238910,14,43,1992,29131
312791,238990,6,17,286,29131
312792,711510,3,0,0,29131
312793,713910,3,80,1857,29131
312794,713930,6,4,114,29131
312795,721110,7,56,871,29131
312796,425120,3,34,359,29131
312797,441120,6,51,1600,29131
312798,441222,4,0,0,29131
312799,722410,5,8,132,29131
312800,722511,25,287,5382,29131
312801,722513,11,228,3544,29131
312802,441310,4,28,816,29131
312803,441320,4,12,378,29131
312804,442110,4,18,700,29131
312805,444190,5,31,1034,29131
312806,444220,4,17,387,29131
312807,445110,8,457,9484,29131
312808,811111,11,26,667,29131
312809,811310,3,8,331,29131
312810,812112,4,13,416,29131
