,relevant_naics,estab,emp,payann,fips
26777,23,9,64,3016,28037
26778,42,4,47,2858,28037
26779,51,6,0,0,28037
26780,52,7,0,0,28037
26781,53,3,5,248,28037
26782,54,7,19,614,28037
26783,62,11,374,14616,28037
26784,72,4,10,77,28037
26785,81,16,40,482,28037
26787,11,9,59,1663,28037
26788,21,3,6,377,28037
26789,51,11,64,2286,28027
26790,52,46,249,15195,28027
26791,53,39,98,2648,28027
26792,54,30,189,11302,28027
26793,56,12,102,3501,28027
26794,61,9,104,2268,28027
26795,62,75,1548,55422,28027
26797,11,6,20,927,28027
26798,22,5,65,3523,28027
26799,23,21,102,5255,28027
26800,71,8,51,1246,28027
26801,72,43,1093,18058,28027
26802,42,29,322,15595,28027
26803,81,48,220,3557,28027
26804,51,11,51,2085,28029
26805,52,34,162,6598,28029
26806,53,11,34,926,28029
26807,54,27,89,3633,28029
26808,55,4,10,620,28029
26809,56,9,21,566,28029
26810,61,5,0,0,28029
26811,62,52,766,21638,28029
26812,71,4,10,163,28029
26813,72,33,455,4860,28029
26815,11,5,28,919,28039
26816,22,6,0,0,28039
26817,23,22,140,8763,28039
26818,42,13,111,3695,28039
26819,51,5,37,1710,28039
26820,52,28,76,2936,28039
26821,53,9,26,586,28039
26822,54,18,100,3822,28039
26823,56,7,100,2141,28039
26824,62,33,756,32693,28039
26825,71,3,9,40,28039
26826,72,37,551,5854,28039
26827,81,38,165,3252,28039
26828,51,7,171,6888,28061
26829,99,3,4,100,28039
26830,52,12,78,3015,28061
26831,54,14,48,1498,28061
26832,55,6,70,2936,28061
26833,56,4,13,351,28061
26834,61,3,0,0,28061
26835,62,9,272,9167,28061
26836,72,11,123,1345,28061
26837,81,29,156,4280,28061
26838,99,3,7,64,28061
26840,11,7,30,1005,28061
26841,21,5,166,12081,28061
26842,22,8,22,809,28061
26843,23,13,327,21407,28061
26844,61,10,175,2767,28067
26845,62,111,3125,135918,28067
26846,71,12,98,1933,28067
26847,72,114,2099,23807,28067
26848,42,10,37,1419,28061
26849,81,174,1043,24688,28067
26850,51,5,20,939,28147
26851,52,19,60,2252,28147
26852,53,5,16,535,28147
26853,54,10,15,464,28147
26854,61,3,0,0,28147
26855,62,17,483,21717,28147
26856,72,18,206,2412,28147
26857,81,28,96,1405,28147
26859,11,6,75,2499,28147
26860,21,3,13,497,28147
26861,22,3,15,499,28147
26862,23,19,185,7332,28147
26863,42,7,72,1518,28147
26864,51,15,227,9093,28067
26866,11,18,77,2476,28067
26867,52,102,560,25512,28067
26868,21,38,453,28407,28067
26869,22,19,302,18426,28067
26870,23,105,1322,70482,28067
26871,53,47,157,5785,28067
26872,54,83,461,20799,28067
26873,53,15,45,1292,28095
26874,54,30,77,3190,28095
26876,11,3,3,118,28095
26877,21,8,86,3692,28095
26878,56,20,174,6565,28095
26879,55,7,0,0,28067
26880,42,75,823,36413,28067
26881,56,36,403,12009,28067
26882,62,73,1407,48894,28095
26883,22,7,54,2318,28095
26884,23,49,610,29051,28095
26885,71,7,16,287,28095
26886,72,51,633,7100,28095
26887,42,23,250,12402,28095
26888,81,83,333,6362,28095
26889,99,5,10,107,28095
26890,51,9,47,2382,28095
26891,52,54,198,7639,28095
26892,51,4,24,1312,28115
26893,52,40,203,7988,28115
26894,53,9,32,576,28115
26895,54,22,87,3754,28115
26896,56,17,198,5194,28115
26897,61,4,0,0,28115
26898,62,46,741,25217,28115
26899,71,3,16,148,28115
26900,72,38,582,6433,28115
26901,81,60,327,8153,28115
26903,11,3,0,0,28115
26904,22,6,76,3818,28115
26905,23,24,101,3487,28115
26906,81,29,224,5297,28051
26908,11,5,17,436,28051
26909,22,8,17,832,28051
26910,23,5,63,2709,28051
26911,42,10,40,2616,28051
26912,42,20,176,5435,28115
26913,51,10,16,678,28051
26914,52,15,68,2813,28051
26915,53,14,30,520,28051
26916,54,12,41,1808,28051
26917,56,4,7,62,28051
26918,62,29,422,11267,28051
26919,71,3,5,52,28051
26920,72,18,158,1703,28051
26921,53,3,6,97,28005
26922,54,6,25,692,28005
26923,56,4,10,308,28005
26924,62,12,187,5015,28005
26925,72,7,45,588,28005
26926,81,25,82,1353,28005
26928,11,21,142,5502,28005
26929,21,3,0,0,28005
26930,22,5,20,1078,28005
26931,23,12,29,1033,28005
26932,42,5,21,1375,28005
26933,52,9,33,1070,28005
26934,52,331,3193,247703,28089
26935,99,5,5,174,28089
26936,61,43,1758,41198,28089
26937,51,6,22,737,28013
26938,52,22,72,3489,28013
26939,53,6,9,210,28013
26940,54,18,32,844,28013
26941,61,4,50,660,28013
26942,62,25,193,6937,28013
26943,72,9,64,1027,28013
26944,81,35,115,2189,28013
26946,11,9,130,3199,28013
26947,22,9,56,2070,28013
26948,23,9,24,768,28013
26949,42,14,155,6009,28013
26950,62,306,4958,182501,28089
26952,11,7,32,1190,28089
26953,53,172,996,50917,28089
26954,21,15,158,15175,28089
26955,22,6,81,5805,28089
26956,23,217,1977,103082,28089
26958,11,12,72,3200,28091
26959,21,16,119,6624,28091
26960,72,38,650,6711,28091
26961,22,11,92,5926,28091
26962,23,46,786,48574,28091
26963,81,74,537,13543,28091
26964,42,16,138,5270,28091
26965,51,10,74,2389,28091
26966,52,47,278,13038,28091
26967,53,16,45,1638,28091
26968,54,36,192,12423,28091
26969,55,3,0,0,28091
26970,56,13,214,11103,28091
26971,61,5,159,2986,28091
26972,62,45,967,29890,28091
26973,54,411,2983,189456,28089
26974,71,43,605,8347,28089
26975,22,4,0,0,28141
26976,23,19,69,2457,28141
26977,42,18,150,4256,28141
26978,51,9,31,696,28141
26979,72,270,5946,85558,28089
26980,42,165,2512,148643,28089
26981,81,244,2397,78773,28089
26982,52,26,122,5382,28141
26983,53,9,15,408,28141
26984,54,16,50,1315,28141
26985,56,8,84,2127,28141
26986,61,6,50,657,28141
26987,62,31,548,18612,28141
26988,71,8,73,1570,28141
26989,72,27,244,3459,28141
26990,81,36,160,3521,28141
26992,11,13,101,4444,28141
26993,55,31,428,29907,28089
26994,51,78,3137,146051,28089
26995,56,148,2630,90797,28089
26996,72,8,64,1345,28041
26997,81,20,108,10752,28041
26999,11,16,109,5069,28041
27000,22,4,12,366,28041
27001,53,7,26,715,28153
27002,54,42,111,3244,28153
27003,55,3,20,932,28153
27004,56,6,93,1772,28153
27005,61,3,0,0,28153
27006,62,17,664,24534,28153
27007,72,31,424,4842,28153
27008,81,44,196,3081,28153
27010,11,14,64,1694,28153
27011,21,14,147,7947,28153
27012,22,7,41,1400,28153
27013,23,17,32,868,28153
27014,42,29,230,17521,28153
27015,23,9,0,0,28041
27016,51,3,0,0,28041
27017,52,6,24,730,28041
27018,54,4,7,223,28041
27019,56,3,7,94,28041
27020,62,7,25,841,28041
27021,51,6,26,1062,28153
27022,52,32,203,9577,28153
27023,71,5,16,271,28093
27024,72,31,383,4542,28093
27025,81,48,257,7141,28093
27027,23,51,370,15009,28093
27028,42,20,516,19622,28093
27029,51,4,19,663,28093
27030,52,32,223,9668,28093
27031,53,7,16,300,28093
27032,54,15,58,1609,28093
27033,56,11,188,7378,28093
27034,61,4,620,8344,28093
27035,62,33,954,27998,28093
27037,11,3,11,515,28119
27038,22,6,20,875,28119
27039,42,3,16,637,28119
27040,52,12,49,2422,28119
27041,53,7,10,218,28119
27042,54,4,12,347,28119
27043,56,3,5,237,28119
27044,62,13,160,4330,28119
27045,72,4,53,438,28119
27046,81,13,34,531,28119
27047,54,309,1568,77180,28121
27048,51,12,102,4139,28109
27049,52,74,304,13435,28109
27050,53,20,60,1436,28109
27051,54,59,357,17142,28109
27052,81,347,2531,73906,28121
27053,42,255,4639,270201,28121
27054,56,22,216,5326,28109
27055,62,98,1522,54350,28109
27057,21,5,108,8478,28109
27058,22,10,98,5347,28109
27059,23,54,417,16714,28109
27060,71,7,54,542,28109
27061,72,77,1281,14895,28109
27062,81,99,465,9507,28109
27063,42,26,185,8796,28109
27064,55,32,510,29523,28121
27065,42,6,54,2175,28079
27066,53,6,18,353,28079
27067,54,19,53,1346,28079
27068,56,196,2808,64264,28121
27069,56,7,0,0,28079
27070,62,28,889,32632,28079
27072,11,11,149,6460,28079
27073,71,3,0,0,28079
27074,72,24,360,4241,28079
27075,21,3,12,684,28079
27076,22,7,0,0,28079
27077,23,14,69,2752,28079
27078,51,5,24,1017,28079
27079,52,23,130,5364,28079
27080,81,37,111,2676,28079
