,fips,relevant_naics,estab,emp,payann
937,28,11,682,4482,199474
938,28,22,578,9500,823381
939,28,21,304,3908,283852
940,28,23,3890,43156,2254798
941,28,42,2685,37542,2025129
942,28,51,1071,13848,640649
943,28,52,4649,32790,1959938
944,28,53,2412,9719,359263
945,28,54,4689,30670,1642412
946,28,55,344,8413,560271
947,28,56,2341,57807,1565656
948,28,61,585,15837,409510
949,28,62,6465,171673,8115068
950,28,71,695,8241,158353
951,28,72,5649,131829,2242011
952,28,81,6369,38425,996230
953,28,99,121,150,2527
