fips,Naics,Establishments,Employees,Payroll
28,2131,205,2438,154776
28,2211,209,7175,719360
28,1131,31,269,17531
28,1133,415,2937,117408
28,1141,5,25,1305
28,1142,5,16,394
28,1151,113,641,31506
28,1152,24,247,8679
28,1153,88,339,22092
28,2111,60,645,79610
28,2121,4,283,22346
28,2123,35,542,27120
28,2213,331,1667,56066
28,2361,625,2092,79669
28,2371,219,8503,512875
28,2212,38,658,47955
28,2373,123,3869,207061
28,2362,343,5433,323931
28,2382,1185,11878,615912
28,2372,32,253,9791
28,2379,50,1489,108423
28,2381,398,3121,124625
28,2389,486,3987,173395
28,2383,429,2531,99116
28,3111,20,620,27494
28,3112,8,391,21073
28,3113,4,19,302
28,3114,4,817,23463
28,3115,5,560,22757
28,3116,59,16670,578139
28,3118,62,1039,40092
28,3117,18,2404,77378
28,3119,15,221,9076
28,3121,22,382,16719
28,3132,8,596,44836
28,3133,7,225,6151
28,3149,27,689,22615
28,3141,10,297,8416
28,3152,13,739,16607
28,3159,7,240,8122
28,3212,24,2751,127615
28,3221,9,1808,153335
28,3211,97,4038,197004
28,3219,117,2872,98384
28,3222,41,2448,125246
28,3231,131,1232,46395
28,3241,25,2275,247354
28,3251,24,1885,219427
28,3252,19,729,51862
28,3253,10,628,40269
28,3254,12,1244,52445
28,3255,5,83,5279
28,3256,16,471,24396
28,3259,23,780,52586
28,3261,95,4992,197779
28,3272,5,451,40380
28,3273,111,1943,86082
28,3262,23,2588,156419
28,3271,11,177,6393
28,3274,3,137,9265
28,3279,26,927,63996
28,3312,10,664,36529
28,3311,4,1155,129260
28,3314,3,508,23251
28,3315,7,367,22529
28,3321,9,356,22018
28,3323,119,3880,174511
28,3324,19,1511,87079
28,3325,8,617,24019
28,3326,10,323,13137
28,3327,126,2462,109549
28,3328,21,746,37330
28,3329,39,2453,119400
28,3331,23,1041,41467
28,3332,15,367,20179
28,3333,17,997,42835
28,3334,13,2651,107643
28,3336,8,2227,105848
28,3335,26,256,11803
28,3339,36,3408,186297
28,3341,3,225,11054
28,3342,6,312,14817
28,3344,5,525,13486
28,3345,13,915,57620
28,3351,11,1232,45751
28,3352,4,775,38576
28,3353,20,4551,239312
28,3359,7,621,31935
28,3361,5,6268,373959
28,3362,18,750,30378
28,3363,48,7258,385475
28,3364,6,626,42346
28,3366,15,13928,944237
28,3372,35,1169,30935
28,3379,10,494,21629
28,3371,123,18622,612904
28,4232,73,1004,46027
28,3391,53,646,29931
28,3399,87,1781,67100
28,4234,207,2954,194003
28,4231,183,3797,188399
28,4233,156,1532,92109
28,4238,469,5873,343270
28,4235,53,646,31542
28,4236,149,2613,174916
28,4237,137,925,51145
28,4239,178,1614,75664
28,4241,60,557,29220
28,4244,256,6053,292998
28,4242,70,887,58956
28,4243,53,1581,68501
28,4245,50,665,36105
28,4247,91,937,52517
28,4249,206,2593,128043
28,4441,632,11400,324797
28,4251,192,1322,57600
28,4246,67,647,39983
28,4248,35,1342,64131
28,4411,542,10552,482965
28,4412,135,1449,56087
28,4413,831,6128,170000
28,4421,237,1759,58117
28,4422,199,1368,33552
28,4431,248,2140,48436
28,4442,239,2121,55273
28,4542,35,305,8673
28,4543,244,1482,57113
28,4811,8,107,4102
28,4831,3,10,430
28,4832,8,938,73839
28,4841,722,11420,547698
28,4461,1021,10243,351759
28,4451,657,17369,331631
28,4471,2022,13584,222143
28,4452,100,563,10391
28,4481,1063,10420,144032
28,4453,389,1243,21943
28,4511,221,2801,53110
28,4522,37,3797,61453
28,4482,256,2081,28924
28,4483,130,768,19744
28,4539,440,2196,55853
28,4512,50,543,9395
28,4523,1060,29170,692880
28,4541,124,1249,65739
28,4531,150,561,9352
28,4532,224,1374,24290
28,4812,27,77,4007
28,4533,139,1100,19241
28,4842,662,5942,262915
28,4852,5,90,2094
28,4853,13,28,797
28,4854,15,386,5633
28,4855,7,354,9656
28,4859,51,598,12042
28,4861,18,235,20823
28,4862,60,543,55089
28,4869,8,79,8066
28,4871,3,30,1149
28,4872,10,18,603
28,4881,54,1030,60706
28,4882,19,861,39466
28,4883,20,690,28283
28,4889,5,65,2279
28,4931,193,10764,454969
28,5111,135,1524,44894
28,4884,102,779,25056
28,4885,103,1388,59701
28,4921,77,4797,180519
28,4922,13,149,4909
28,5112,24,301,28668
28,5121,45,728,9564
28,5191,33,173,6070
28,5151,99,1430,57232
28,5173,644,7471,424405
28,5223,541,1291,40254
28,5179,17,151,9310
28,5182,68,2037,58860
28,5221,1340,16487,954053
28,5222,879,3708,185099
28,5241,190,4627,340739
28,5259,3,11,585
28,5231,84,379,63502
28,5239,307,816,79616
28,5242,1305,5471,296090
28,5311,1001,3146,98618
28,5312,484,987,37823
28,5313,388,2123,76457
28,5321,123,1091,36399
28,5322,251,1316,43217
28,5411,1426,6872,420573
28,5323,36,224,7058
28,5324,110,653,44363
28,5331,19,179,15328
28,5412,904,7051,258341
28,5413,621,5073,332524
28,5414,85,369,17115
28,5417,44,350,26718
28,5415,397,3630,267421
28,5416,648,2764,158350
28,5418,148,1106,49306
28,5419,416,3455,112064
28,5511,344,8413,560271
28,5611,128,1293,68878
28,5614,162,3339,92315
28,5612,31,3499,97447
28,5613,325,29012,744922
28,5615,39,131,3917
28,5617,1149,10561,241099
28,5616,195,5462,123361
28,6112,5,110,3507
28,6113,26,5042,137559
28,5619,95,1698,58012
28,5621,108,1888,91170
28,5622,38,227,10423
28,5629,71,697,34112
28,6111,247,8833,227164
28,6114,27,67,2097
28,6115,55,411,14153
28,6117,47,282,8034
28,6212,875,5836,277342
28,6239,28,645,16393
28,6242,97,772,24205
28,6243,51,4460,67802
28,6213,1121,7110,261454
28,6116,178,1092,16996
28,6211,1612,19035,1559341
28,6215,115,1315,64672
28,6214,357,6574,275018
28,6216,271,9307,330210
28,6233,165,4149,89223
28,6219,99,2791,113050
28,6221,91,64727,3866757
28,6241,500,10246,201438
28,6222,9,3522,159234
28,6223,9,1590,69954
28,6231,203,17267,505391
28,6232,65,2638,63373
28,6244,797,9689,170211
28,7111,23,140,3501
28,7112,8,100,1525
28,7113,15,52,1740
28,7115,39,80,5219
28,7121,70,579,15081
28,7131,18,202,3228
28,7132,10,874,21947
28,7139,510,6206,105503
28,7211,744,31251,851791
28,7212,41,221,5943
28,7213,30,125,3180
28,7223,269,5557,118724
28,7224,94,714,11385
28,7225,4471,93961,1250988
28,8112,79,370,16096
28,8111,1236,6667,229545
28,8113,197,1299,69605
28,8129,117,489,9922
28,8114,119,370,9717
28,8121,494,2349,50848
28,8122,254,1360,44689
28,8123,208,2326,58289
28,8131,2868,19140,339301
28,8139,417,1841,66385
28,8132,132,782,54866
28,8133,99,729,28921
28,8134,149,703,18046
