Naics,Establishments,Employees,Payroll,fips
4245,5,29,527,31083
4249,3,17,818,31083
4471,3,28,438,31083
5221,5,34,1941,31083
5242,6,11,702,31083
5411,3,3,103,31083
5412,4,10,118,31083
7225,8,41,376,31083
8131,5,27,462,31083
1151,5,279,19283,31185
2361,11,29,889,31185
2362,3,14,466,31185
2381,13,109,6282,31185
2382,17,92,4738,31185
2383,3,1,88,31185
3111,3,80,3138,31185
3231,3,18,560,31185
3331,4,31,1070,31185
4231,5,63,3429,31185
4238,11,97,6061,31185
4245,8,66,3723,31185
4249,8,43,3112,31185
4251,4,6,176,31185
4411,4,38,2239,31185
4413,5,49,1295,31185
4431,3,23,671,31185
4441,5,51,1899,31185
4442,3,35,1242,31185
4461,4,31,1379,31185
4471,10,273,6280,31185
4481,4,18,337,31185
4523,4,223,6566,31185
4531,3,8,79,31185
4532,4,13,248,31185
4841,7,22,1300,31185
4842,17,24,841,31185
5173,5,26,1280,31185
5221,14,301,15106,31185
5239,8,13,1083,31185
5242,21,41,1665,31185
5311,8,24,192,31185
5312,5,8,110,31185
5313,4,4,141,31185
5412,6,60,2319,31185
5411,6,19,950,31185
5415,4,14,639,31185
5511,3,66,6595,31185
5613,6,444,17142,31185
5616,3,72,1231,31185
5617,7,28,911,31185
5621,3,21,795,31185
6211,6,84,6496,31185
6212,4,37,1812,31185
6213,15,72,2221,31185
6244,4,35,498,31185
7139,4,31,788,31185
7211,10,101,1978,31185
7223,3,55,515,31185
7225,30,563,7927,31185
8111,25,160,4905,31185
8113,6,15,719,31185
8121,9,27,407,31185
8134,3,24,183,31185
8131,24,207,3767,31185
8139,3,8,183,31185
2131,4,82,3584,31087
4245,3,19,925,31087
4249,4,28,1079,31087
4471,4,26,489,31087
4842,4,20,831,31087
5221,4,17,768,31087
1151,6,46,2487,31019
2123,4,25,1562,31019
2212,4,34,2802,31019
2361,51,123,4081,31019
2362,14,145,9123,31019
2371,9,63,4720,31019
2373,3,46,2441,31019
2381,33,192,9125,31019
2382,55,309,15163,31019
2383,25,108,4229,31019
7225,4,24,130,31087
8111,3,3,66,31087
8131,3,6,122,31087
2389,17,71,3143,31019
3116,7,747,40806,31019
3231,8,139,4752,31019
3273,3,52,2753,31019
3323,3,251,12549,31019
3327,5,84,3737,31019
3335,4,42,1774,31019
3399,3,11,312,31019
3363,4,1859,91917,31019
4233,7,44,1891,31019
4234,7,20,1117,31019
4236,4,18,1773,31019
4237,7,69,2765,31019
4238,18,142,7885,31019
4239,5,144,4613,31019
4244,5,42,3657,31019
4245,11,92,7109,31019
4246,3,25,1058,31019
4247,3,17,872,31019
4249,17,471,22918,31019
4251,4,55,1359,31019
4411,14,196,8626,31019
4412,7,85,4194,31019
2361,7,8,244,31037
2382,7,25,1441,31037
2389,10,65,3182,31037
4238,3,29,2097,31037
4245,8,57,2598,31037
4249,5,103,5653,31037
4411,4,14,625,31037
4413,5,17,602,31037
4451,5,92,1528,31037
4452,3,9,128,31037
4471,6,65,930,31037
4523,4,25,484,31037
4543,4,57,2698,31037
4841,14,105,5165,31037
4842,23,87,3925,31037
4413,7,81,2770,31019
4421,6,86,3026,31019
4422,3,5,215,31019
4431,10,57,1985,31019
4441,19,403,13628,31019
4442,7,69,2734,31019
4451,7,701,10806,31019
4452,5,28,227,31019
4453,3,15,526,31019
4461,18,121,3865,31019
4471,33,436,8249,31019
4481,22,160,2048,31019
4482,7,50,1043,31019
4483,5,31,659,31019
4511,12,171,3889,31019
4523,7,560,15371,31019
4531,3,66,642,31019
4532,5,52,1894,31019
4533,8,55,773,31019
5221,6,59,2601,31037
5242,7,28,1095,31037
5311,4,5,91,31037
5416,3,21,969,31037
5419,5,27,731,31037
6211,4,30,1386,31037
6213,4,14,365,31037
6241,3,22,519,31037
6244,3,9,119,31037
7139,5,22,377,31037
7224,3,17,142,31037
7225,10,71,933,31037
8111,9,22,996,31037
8113,4,15,572,31037
8121,4,12,119,31037
8122,3,8,188,31037
8131,15,99,1767,31037
4539,16,74,1982,31019
4541,8,334,7649,31019
4543,10,70,2015,31019
4841,23,519,23617,31019
4842,41,245,6396,31019
4881,4,9,427,31019
4931,3,98,4379,31019
5111,3,80,2265,31019
5173,21,202,9200,31019
5222,4,25,1732,31019
5221,28,393,20291,31019
5223,5,9,339,31019
5231,13,35,3295,31019
5239,15,65,6067,31019
5241,11,18,1115,31019
4471,4,59,1449,31049
4842,3,3,139,31049
5242,56,165,6954,31019
5311,26,120,2944,31019
5312,26,52,1825,31019
5313,14,24,577,31019
5321,4,22,574,31019
5322,4,20,713,31019
5324,3,19,1043,31019
5411,24,105,5086,31019
5412,17,112,5519,31019
5413,13,127,6285,31019
5415,14,156,9859,31019
5414,5,4,89,31019
5416,24,97,6348,31019
5418,3,10,442,31019
5419,12,94,3319,31019
5511,7,414,27198,31019
5221,3,13,603,31049
5242,3,8,458,31049
7225,4,38,511,31049
8131,7,8,81,31049
2382,4,7,231,31011
1151,3,3,165,31011
2361,9,13,282,31011
2381,5,16,491,31011
4238,4,71,4037,31011
4245,7,62,2959,31011
4249,4,80,3054,31011
4251,3,9,212,31011
4413,3,10,277,31011
4441,4,3,77,31011
4451,4,58,1017,31011
4461,3,30,1117,31011
4471,5,35,738,31011
4523,3,56,530,31011
4841,8,46,1129,31011
4842,7,22,925,31011
5221,6,66,4349,31011
5242,7,25,760,31011
5411,3,15,572,31011
5617,3,4,149,31011
6111,3,30,588,31011
6212,3,15,506,31011
6213,4,14,825,31011
6244,3,13,94,31011
7225,7,66,705,31011
8111,6,9,272,31011
8113,3,9,347,31011
8122,3,9,173,31011
8131,4,16,242,31011
8134,3,4,103,31011
