,relevant_naics,estab,emp,payann,fips
37998,51,36,425,27069,33005
37999,42,66,960,48824,33005
38000,52,96,1250,85698,33005
38001,53,72,234,9289,33005
38002,54,150,640,36035,33005
38004,11,11,19,555,33005
38005,21,5,31,3346,33005
38006,22,4,43,4490,33005
38007,23,242,1382,78881,33005
38008,61,32,1033,33510,33005
38009,62,165,3818,171876,33005
38010,71,47,436,8143,33005
38011,81,184,1234,34604,33005
38012,55,13,1523,132342,33005
38013,72,186,2618,49721,33005
38014,56,104,924,38265,33005
38015,51,68,783,45745,33013
38016,52,213,3260,245259,33013
38018,11,20,87,3973,33013
38019,42,176,3803,223298,33013
38020,21,9,61,5222,33013
38021,22,15,308,30475,33013
38022,23,484,3473,236494,33013
38023,72,329,5543,107619,33013
38024,55,20,640,53284,33013
38025,56,253,2481,112129,33013
38026,61,76,5714,224240,33013
38027,71,79,1776,30348,33013
38028,54,389,2886,208449,33013
38029,62,425,12914,635726,33013
38030,81,505,2720,104340,33013
38031,53,140,1063,62925,33013
38032,23,246,1243,63096,33009
38034,62,894,16579,826357,33015
38035,52,153,957,128550,33009
38036,62,285,12073,843563,33009
38037,53,155,519,20891,33009
38038,55,70,2003,244093,33015
38039,99,7,21,688,33009
38040,54,226,1786,154551,33009
38041,71,70,1722,30784,33009
38042,56,670,9308,476278,33015
38043,81,902,5126,163017,33015
38044,42,580,7895,652404,33015
38045,53,348,1521,80224,33015
38046,55,11,176,14466,33009
38047,56,153,944,39865,33009
38048,72,422,5288,115361,33009
38049,61,69,8916,429272,33009
38050,81,262,1410,39045,33009
38052,11,26,109,10404,33009
38053,42,93,732,48940,33009
38054,21,6,24,1495,33009
38055,22,18,290,25026,33009
38056,51,71,1065,82040,33009
38057,54,1011,9554,667212,33015
38058,62,159,4273,194879,33001
38059,51,170,4407,319153,33015
38060,71,229,3050,78497,33015
38061,51,28,302,14077,33001
38062,52,78,630,41557,33001
38063,71,53,380,13820,33001
38064,42,59,445,29645,33001
38065,61,148,3492,128828,33015
38066,53,80,271,10651,33001
38067,72,250,3092,71742,33001
38068,99,10,10,273,33015
38069,54,128,615,39861,33001
38070,81,199,811,22660,33001
38072,72,908,15015,322589,33015
38073,11,10,37,1464,33015
38074,21,4,18,1660,33015
38075,22,27,1299,141277,33015
38076,11,6,14,421,33001
38077,21,6,26,1890,33001
38078,55,4,50,2903,33001
38079,56,103,831,23637,33001
38080,22,8,135,12940,33001
38081,23,226,1302,84822,33001
38082,52,511,7159,683084,33015
38083,23,1132,8458,593726,33015
38084,61,19,487,17563,33001
38085,42,571,7772,649634,33011
38086,54,1267,11521,1043044,33011
38087,81,1079,7807,265447,33011
38088,54,222,1579,97305,33017
38089,71,44,633,12108,33017
38090,72,301,4293,75674,33017
38091,52,632,9203,911969,33011
38092,55,14,516,32797,33017
38093,56,165,2160,79513,33017
38095,11,20,51,3323,33011
38096,81,277,1737,51767,33017
38097,42,93,1129,68681,33017
38098,51,43,512,28464,33017
38099,21,9,51,1931,33011
38100,22,25,940,82650,33011
38101,52,134,3629,345471,33017
38102,61,37,1065,50987,33017
38103,62,312,7564,389746,33017
38105,99,3,0,0,33017
38106,11,11,32,787,33017
38107,21,4,16,2370,33017
38108,23,284,1411,78636,33017
38109,53,103,347,12433,33017
38110,61,208,5298,166281,33011
38111,23,1159,8609,580515,33011
38112,54,51,259,14360,33019
38113,71,190,3145,89793,33011
38114,55,3,88,6102,33019
38115,56,48,543,15498,33019
38116,61,15,285,10094,33019
38117,42,41,583,57482,33019
38118,62,90,1191,48201,33019
38119,71,17,33,1408,33019
38120,72,72,803,15106,33019
38121,81,102,483,16781,33019
38122,51,15,78,3186,33019
38123,62,1159,31197,1614433,33011
38124,52,36,373,19039,33019
38126,11,8,79,2711,33019
38127,22,6,53,4840,33019
38128,53,35,287,11930,33019
38129,23,107,495,20984,33019
38130,53,450,2681,134882,33011
38132,11,23,140,5509,33007
38133,42,23,226,9988,33007
38134,53,27,77,6011,33007
38135,55,76,4185,309288,33011
38136,72,916,16641,305552,33011
38137,54,31,131,5738,33007
38138,81,78,376,11461,33007
38139,22,12,89,8784,33007
38140,23,67,202,10583,33007
38141,55,4,43,3167,33007
38142,56,37,176,7386,33007
38143,99,4,24,91,33011
38144,51,246,8317,761363,33011
38145,56,699,9829,414740,33011
38146,51,15,78,3912,33007
38147,52,39,258,13308,33007
38148,61,11,97,4268,33007
38149,71,28,129,6227,33007
38150,72,112,2057,39031,33007
38151,62,101,2177,92348,33007
38152,51,35,271,11764,33003
38153,71,62,756,20886,33003
38154,42,44,307,16740,33003
38155,52,58,357,20357,33003
38156,72,297,4145,99655,33003
38157,53,92,329,12152,33003
38158,54,128,483,33533,33003
38159,81,158,627,18606,33003
38160,55,3,0,0,33003
38161,56,107,873,28291,33003
38163,11,13,51,2002,33003
38164,22,6,53,4170,33003
38165,23,225,1067,58809,33003
38166,61,26,391,12983,33003
38167,62,153,2615,110169,33003
