Fips,Naics,Establishments,Employees,Payroll
33005,1133,4,7,241
33005,2211,4,47,5043
33005,2361,57,275,13570
33005,2362,11,131,15234
33005,2371,4,52,5874
33005,2373,6,99,8573
33005,2381,49,498,27498
33005,2382,55,282,14758
33005,2383,42,185,7646
33005,2389,29,70,4236
33005,3113,4,85,2136
33005,3119,3,23,508
33005,3121,7,18,402
33005,3219,14,267,14107
33005,3231,5,34,915
33005,3252,3,45,1620
33005,3261,5,365,17240
33005,3273,3,9,515
33005,3327,13,331,20084
33005,3333,5,208,19144
33005,3335,3,175,14972
33005,3339,5,1184,67987
33005,3391,7,734,33909
33005,4231,7,37,1208
33005,4233,6,12,863
33005,4234,7,82,4708
33005,4236,6,27,1451
33005,4238,7,50,3082
33005,4243,3,19,888
33005,4244,8,626,36519
33005,4251,5,14,1009
33005,4411,18,562,25411
33005,4412,9,46,2151
33005,4413,22,199,6754
33005,4421,7,41,1567
33005,4422,8,66,1194
33005,4431,8,41,1252
33005,4441,28,545,24054
33005,4442,10,107,3281
33005,4451,30,1416,27905
33005,4452,5,31,602
33005,4453,8,57,1502
33005,4461,13,183,7726
33005,4471,32,295,5905
33005,4481,10,167,2395
33005,4482,5,32,799
33005,4483,6,31,631
33005,4511,11,123,2164
33005,4512,3,27,503
33005,4523,17,778,20687
33005,4531,4,19,272
33005,4532,3,31,606
33005,4533,10,41,783
33005,4539,23,171,4918
33005,4541,16,234,18230
33005,4543,23,167,9538
33005,4841,9,51,2822
33005,4842,16,49,2096
33005,4854,6,172,3680
33005,4884,3,42,1119
33005,4921,3,179,6662
33005,4931,3,54,2977
33005,5111,7,165,9221
33005,5121,10,52,7138
33005,5151,4,41,1440
33005,5173,11,75,5552
33005,5191,3,14,782
33005,5221,26,274,13630
33005,5222,9,70,4172
33005,5231,7,14,248
33005,5239,16,100,7462
33005,5241,8,604,52238
33005,5242,26,143,8584
33005,5311,31,65,2337
33005,5312,14,35,1659
33005,5313,21,63,3484
33005,5321,4,21,911
33005,5322,8,39,1339
33005,5411,26,107,6292
33005,5412,27,136,7371
33005,5413,22,89,7392
33005,5415,24,102,6429
33005,5416,29,87,5565
