fips,Naics,Establishments,Employees,Payroll
34,113210,3,9,131
34,113310,7,25,1259
34,114111,37,189,10048
34,114112,20,54,6129
34,114210,4,9,453
34,115115,4,119,4087
34,115112,9,51,1878
34,115114,6,123,6384
34,211120,4,23,3986
34,115210,104,395,13092
34,115310,6,13,850
34,212312,4,72,5450
34,212313,3,63,2723
34,212319,7,390,27217
34,212321,26,280,19939
34,212322,7,124,7810
34,213112,15,280,28912
34,213115,3,11,570
34,236115,1626,4631,232186
34,236116,159,1390,110818
34,236117,242,3709,417520
34,221112,38,760,196059
34,221113,7,1626,226776
34,236210,103,1196,94680
34,221114,11,128,13778
34,221121,8,162,15235
34,221122,165,8663,1152621
34,236220,1037,13638,1152838
34,221210,54,4301,496003
34,221310,87,2342,260537
34,221320,10,150,10703
34,221330,3,35,3912
34,237110,202,3442,363103
34,237120,26,1582,170758
34,236118,3803,11802,519951
34,237990,131,3855,363428
34,238140,690,3357,202655
34,237130,136,2935,233627
34,237210,67,380,23180
34,238170,235,891,42361
34,237310,291,8682,1038468
34,238190,127,1131,71734
34,238110,307,4044,292642
34,238120,93,1907,179934
34,238130,267,1273,70446
34,238150,161,1388,85047
34,238160,361,2765,183728
34,238210,2657,24224,1709720
34,238220,3461,28087,1911462
34,238290,230,3812,341198
34,238310,527,5142,348674
34,238320,1002,4065,198832
34,238330,587,2733,150421
34,238340,318,1690,83837
34,238350,934,4438,225820
34,238390,233,2601,128498
34,238910,774,8133,618430
34,238990,869,6443,459368
34,311111,5,277,10939
34,311119,5,61,3475
34,311225,4,199,20639
34,311911,7,646,30466
34,311919,10,818,43343
34,311340,21,767,50846
34,311351,14,376,18580
34,311930,18,741,57101
34,311352,31,830,37695
34,311941,10,524,37978
34,311942,27,1329,115532
34,311411,5,481,18962
34,311412,23,1176,50349
34,311991,34,2477,96291
34,311421,16,985,51652
34,311422,6,170,10313
34,311423,6,232,14124
34,311511,7,838,56197
34,311513,19,1240,57712
34,311514,7,67,2884
34,311520,22,421,12467
34,312111,34,3074,183591
34,312120,89,963,42838
34,311611,21,485,25390
34,311612,28,2083,122583
34,311615,15,468,21629
34,312130,34,775,31885
34,312140,24,130,5565
34,311710,16,432,21109
34,313110,3,7,293
34,313210,6,152,6719
34,313220,8,182,10251
34,313230,5,70,6512
34,313240,5,44,1633
34,311811,419,4417,97048
34,313310,28,283,13407
34,311812,139,5823,215925
34,313320,9,367,24671
34,311813,12,534,20146
34,314120,32,791,33078
34,311821,20,2162,104744
34,311824,21,1700,117382
34,311920,19,949,61917
34,314994,4,51,3664
34,314999,60,1267,41546
34,311999,27,519,26774
34,315210,50,1347,34167
34,312112,3,14,915
34,312113,8,62,3626
34,314910,43,249,9830
34,315190,8,206,7226
34,315990,17,554,9575
34,316110,4,56,1715
34,316210,4,27,1568
34,316998,7,57,1869
34,315220,12,812,18337
34,315240,20,503,10685
34,315280,12,281,8633
34,321113,7,37,1487
34,321214,5,366,19962
34,321219,4,137,6292
34,321918,33,377,16828
34,321999,28,295,16060
34,321911,22,532,27218
34,321912,7,74,3665
34,321920,40,831,34550
34,321992,9,216,11520
34,322121,5,139,10472
34,322211,27,1720,123936
34,322230,12,291,13764
34,322291,4,134,5069
34,322299,11,273,12254
34,323111,563,11944,654557
34,323113,120,1486,48240
34,324122,6,266,19240
34,324191,12,584,48791
34,325212,5,77,4741
34,322212,23,1648,115626
34,322219,8,512,22268
34,322220,35,2208,139190
34,323117,17,202,13102
34,323120,61,903,33641
34,324110,4,1047,159224
34,324121,30,470,44372
34,325120,14,519,52964
34,325130,7,72,6497
34,325180,17,1095,121270
34,325199,47,4013,429587
34,325211,29,1156,91633
34,325320,4,35,1974
34,325412,116,8411,900761
34,325314,13,203,18623
34,326111,20,1130,56545
