,fips,relevant_naics,YEAR,estab,emp,payann
1,39,11,2018,249,1100,38640
3,39,21,2018,638,10129,753842
5,39,22,2018,691,24514,2603748
7,39,23,2018,19998,196510,12408737
9,39,42,2018,13329,228187,14557684
11,39,51,2018,4074,98300,6498577
13,39,52,2018,16969,251422,20179350
15,39,53,2018,10743,62539,3063018
17,39,54,2018,23651,251833,18134827
19,39,55,2018,2166,150566,15403829
21,39,56,2018,13245,287813,10455068
23,39,61,2018,3067,113635,3463106
25,39,62,2018,29729,854020,40791866
27,39,71,2018,3906,78711,2962008
29,39,72,2018,24319,477541,7642930
31,39,81,2018,27167,200001,5816551
33,39,99,2018,164,248,5590
