fips,Naics,Establishments,Employees,Payroll
39,113310,76,289,9455
39,212311,7,0,0
39,212312,76,1310,69581
39,236210,111,4010,266245
39,238160,685,6457,347537
39,114111,5,15,442
39,114210,5,30,679
39,212319,7,39,1861
39,212313,3,0,0
39,221210,152,5038,439609
39,236220,1253,19365,1313579
39,238170,231,987,48783
39,238320,905,4362,248943
39,311520,9,574,27026
39,212321,96,994,50702
39,212322,6,82,6433
39,212325,3,8,474
39,212393,3,0,0
39,221310,79,745,40642
39,237990,112,1294,96676
39,238190,107,938,49579
39,238330,366,2207,117696
39,115112,30,102,4068
39,115113,6,7,608
39,115114,9,188,12498
39,115115,3,0,0
39,115116,7,22,762
39,212399,3,0,0
39,221320,11,249,18407
39,238340,132,782,35765
39,221330,8,103,7155
39,238350,773,4216,185754
39,311111,11,1028,61498
39,311119,50,1123,68450
39,115210,128,497,11900
39,213111,59,962,66437
39,237110,287,3194,230352
39,238210,1912,25993,1584284
39,311211,17,391,25821
39,115310,12,26,1038
39,213112,185,3016,187835
39,213113,12,89,5521
39,238110,812,8337,496170
39,238390,242,2295,101644
39,311224,7,550,34609
39,311225,4,283,17689
39,311230,5,0,0
39,213114,3,0,0
39,213115,8,84,5947
39,237120,82,4630,514236
39,238120,113,2116,127353
39,238220,2967,33300,1886081
39,311340,21,739,30009
39,236115,985,3397,155638
39,311351,5,240,11977
39,311352,42,1112,29698
39,211120,132,993,66459
39,211130,35,531,43263
39,236116,72,1256,95797
39,236117,290,2141,157575
39,237130,161,6796,509427
39,238130,292,1680,77119
39,238290,269,4359,272414
39,238910,1352,12527,822071
39,311411,3,0,0
39,311412,20,6238,266278
39,221112,77,3033,325306
39,221113,6,0,0
39,236118,2653,9878,406218
39,237210,107,393,25511
39,238140,717,4181,221623
39,238990,972,4995,343858
39,311421,43,1724,101336
39,212111,44,1037,56021
39,221115,6,0,0
39,221117,7,42,2216
39,221118,3,0,0
39,238150,160,1673,91447
39,311422,7,1672,118175
39,113110,6,17,457
39,113210,4,19,451
39,212112,9,986,97123
39,221121,21,0,0
39,221122,331,11838,1282072
39,237310,318,7695,883484
39,238310,469,6841,352992
39,311511,18,2406,133294
39,311513,21,2146,105089
39,311514,6,1147,50318
39,311811,193,1913,33221
39,311911,6,170,7197
39,311919,16,2627,123087
39,311920,13,174,8185
39,311930,7,735,53708
39,315280,7,215,6478
39,315990,12,232,19250
39,322211,87,5705,338318
39,326211,8,2073,104297
39,326212,20,277,10559
39,326220,21,1480,70793
39,327910,30,1335,62699
39,332431,18,2224,155045
39,332911,24,1198,90155
39,332912,38,6677,388291
39,333413,32,1601,92000
39,333993,29,1785,122181
39,333994,36,1399,107664
39,336320,26,8584,467920
39,337121,30,417,14403
39,337122,174,4361,154223
39,311812,119,4463,154924
39,311941,9,1057,57023
39,311942,14,1157,83352
39,311991,21,2776,105655
39,316110,6,112,4537
39,316998,26,1138,34883
39,423410,12,205,14430
39,322212,29,1776,94109
39,322219,25,2048,88855
39,325120,23,545,38412
39,325130,25,1684,127061
39,325910,28,1153,66670
39,326291,72,6730,311652
39,327991,67,1447,65374
39,332439,25,1057,52972
39,332913,4,162,7813
39,332919,14,641,29550
39,333414,17,774,43979
39,333415,42,5622,321146
39,333995,28,1597,90312
39,333996,16,1012,79627
39,333997,5,0,0
39,333999,84,2912,181624
39,335110,6,812,44263
39,335121,4,0,0
39,335122,8,201,9789
39,335129,10,680,36228
39,335210,7,1669,74155
39,336330,18,3987,186290
39,337124,5,0,0
39,337125,6,0,0
39,337127,20,1017,50904
39,339920,37,1325,55032
39,339930,18,615,24282
39,311999,15,917,47551
39,322220,54,3273,224801
39,325180,32,1413,118059
39,325991,32,1582,95049
39,325992,8,243,13676
39,325998,71,2384,142357
39,326299,70,3938,196188
39,327992,16,473,30148
39,327993,21,1708,109538
39,327999,18,451,18166
39,332510,33,1773,93243
39,332991,9,999,57652
39,332992,5,186,6506
39,332994,19,750,51384
39,332996,36,944,44509
39,335220,8,0,0
39,336340,25,3306,159726
39,336350,25,10511,747196
39,339940,18,513,26055
39,322230,30,1868,85845
39,325193,7,290,18734
39,325194,6,195,15425
39,332111,34,2607,155779
39,332112,5,0,0
39,332114,35,2604,173659
39,332119,135,4545,220727
39,332613,26,929,48419
39,332999,207,5312,237199
39,335311,10,420,24357
39,336360,36,9327,385638
39,337211,12,82,3477
39,337212,102,2074,104475
39,339950,223,3754,179017
39,312111,19,2823,139788
39,312112,7,36,1117
39,312113,14,188,7543
39,321113,101,1494,53545
39,322291,8,606,33252
39,322299,17,322,14399
39,325199,46,4311,356943
39,331110,48,10931,881871
39,332618,50,1404,70398
39,333511,159,3469,190709
39,334111,9,64,4614
39,334112,4,98,6933
39,334118,13,180,8531
39,334210,3,0,0
39,335312,29,1717,92642
39,335313,32,950,48865
39,335314,56,1943,119223
39,337214,5,91,4851
39,337215,43,911,36274
39,339991,41,1934,92582
39,312120,103,2729,154891
39,321114,12,92,4244
39,327110,28,1429,64426
39,333514,234,4348,264564
39,333515,123,2879,154829
39,334220,8,0,0
39,334290,7,128,7266
39,334310,10,240,15118
39,336370,138,17232,904843
39,337910,11,829,36840
39,337920,5,84,3525
39,339992,22,573,24946
39,339993,5,135,6686
