,relevant_naics,estab,emp,payann,fips
18133,51,5,28,560,49027
18135,21,7,119,7462,49027
18136,22,4,0,0,49027
18137,23,25,52,1388,49027
18138,52,13,51,2298,49027
18139,53,3,0,0,49027
18140,54,13,117,4288,49027
18141,56,11,85,2156,49027
18142,62,22,250,10017,49027
18143,72,27,285,3909,49027
18144,81,14,54,1464,49027
18145,42,14,85,3553,49027
18147,21,4,44,3206,49045
18148,22,4,0,0,49045
18149,23,126,729,30338,49045
18150,62,106,1390,53861,49045
18151,71,14,92,1797,49045
18152,72,76,1170,16458,49045
18153,42,18,122,7336,49045
18154,81,83,384,10248,49045
18155,51,16,170,5622,49045
18156,52,47,189,7870,49045
18157,53,57,99,3071,49045
18158,54,86,480,22034,49045
18159,55,5,0,0,49045
18160,56,51,762,36867,49045
18161,61,16,261,7741,49045
18162,51,5,25,428,49025
18163,52,16,104,3457,49025
18164,53,17,31,1235,49025
18165,81,19,0,0,49025
18167,23,32,114,3369,49025
18168,54,11,38,1125,49025
18169,56,9,18,407,49025
18170,42,4,3,77,49025
18171,62,17,262,7873,49025
18172,71,9,50,1984,49025
18173,72,56,1015,29210,49025
18174,72,28,256,4041,49001
18175,81,11,35,1004,49001
18177,21,3,83,4560,49001
18178,22,3,0,0,49001
18179,23,20,72,2831,49001
18180,42,3,0,0,49001
18181,52,8,32,1566,49001
18182,54,7,14,381,49001
18183,56,9,48,1317,49001
18184,62,20,274,11639,49001
18186,11,4,8,244,49053
18187,21,9,26,1458,49053
18188,22,9,76,5980,49053
18189,23,827,5798,227140,49053
18190,42,185,1422,68254,49053
18191,54,622,2544,98955,49053
18192,51,43,319,17515,49043
18193,53,320,1350,55419,49043
18195,11,4,41,1390,49043
18196,21,7,105,7587,49043
18197,22,6,48,4462,49043
18198,23,302,1261,70926,49043
18199,55,18,406,41954,49043
18200,56,132,896,33138,49043
18201,61,35,418,11790,49043
18202,62,161,1521,67740,49043
18203,53,390,839,25515,49053
18204,55,15,160,8154,49053
18205,71,75,979,19031,49053
18206,71,72,4665,91331,49043
18207,72,208,7624,199879,49043
18208,81,132,1206,40459,49043
18209,72,364,7437,123453,49053
18210,81,278,1430,38800,49053
18211,52,106,1308,119136,49043
18212,42,64,410,46765,49043
18213,54,384,1103,76709,49043
18214,52,300,1613,97322,49053
18216,21,5,8,474,49019
18217,23,53,256,10232,49019
18218,81,27,84,2164,49019
18219,42,11,101,3379,49019
18220,51,11,108,3532,49019
18221,52,14,70,4695,49019
18222,56,342,2221,71269,49053
18223,61,42,575,14707,49053
18224,53,33,123,3521,49019
18225,54,27,143,6658,49019
18226,55,3,25,1314,49019
18227,56,19,137,5064,49019
18228,61,9,67,1420,49019
18229,62,24,384,17393,49019
18230,71,28,168,4733,49019
18231,72,93,1780,39063,49019
18232,51,102,983,52998,49053
18233,62,582,9014,386561,49053
18235,72,6,4,117,49031
18236,81,5,24,814,49033
18238,23,12,55,1693,49033
18239,42,3,9,330,49033
18240,53,12,36,2229,49033
18241,54,10,14,567,49033
18242,56,8,27,880,49033
18243,71,3,0,0,49033
18244,72,18,94,3218,49033
18245,56,80,290,8677,49051
18246,61,11,144,4460,49051
18247,62,73,691,26528,49051
18248,42,28,120,4798,49051
18249,71,17,158,4568,49051
18250,53,61,75,1784,49003
18252,72,58,1193,21984,49051
18253,81,49,259,6589,49051
18254,51,19,85,4477,49051
18255,52,43,156,9942,49051
18256,53,83,188,8512,49051
18257,54,144,589,34021,49051
18259,11,3,9,198,49051
18260,23,186,818,51536,49051
18261,11,3,5,305,49003
18262,21,3,0,0,49003
18263,22,7,0,0,49003
18264,54,60,233,9330,49003
18265,23,191,1181,55073,49003
18266,55,3,0,0,49003
18267,56,45,345,10372,49003
18268,61,11,181,2250,49003
18269,62,131,1513,51705,49003
18271,21,6,69,4355,49021
18272,22,7,0,0,49021
18273,23,221,1322,51207,49021
18274,42,45,559,23379,49003
18275,71,21,134,1742,49003
18276,72,80,1602,19909,49003
18277,51,69,1197,53244,49057
18278,81,69,285,7616,49003
18279,51,12,90,1941,49003
18280,52,66,286,13251,49003
18281,42,40,357,16549,49021
18282,81,31,151,5053,49039
18284,21,4,9,293,49039
18285,22,4,8,282,49039
18286,23,69,330,12604,49039
18287,42,12,75,2792,49039
18288,52,359,4181,223962,49057
18289,55,25,1585,109843,49057
18290,99,4,3,37,49057
18291,51,15,210,9966,49039
18292,52,30,148,6278,49039
18293,53,16,34,956,49039
18294,54,27,590,16278,49039
18295,56,15,88,2000,49039
18296,61,3,0,0,49039
18297,62,52,635,20888,49039
18298,71,3,10,73,49039
18299,72,44,479,4087,49039
18300,56,323,6863,188485,49057
18301,71,60,2415,29112,49057
18302,51,20,174,9607,49021
18303,52,72,467,24519,49021
18304,62,157,2324,73432,49021
18305,55,7,320,19229,49021
18306,53,350,939,30523,49057
18307,81,93,314,7437,49021
18308,53,100,180,5686,49021
18309,56,80,732,13647,49021
18310,54,143,453,18852,49021
18311,61,22,278,5276,49021
18312,71,20,106,1435,49021
18313,72,425,7689,111719,49057
18314,72,118,2063,27041,49021
18315,61,67,1305,37684,49057
18316,54,549,4269,208140,49057
18317,81,389,2476,69927,49057
18318,42,214,3883,193385,49057
18319,42,16,223,8828,49041
18320,51,6,42,958,49041
18321,61,3,0,0,49041
18322,62,66,916,31093,49041
18323,81,31,129,5204,49041
18324,52,30,135,8639,49041
18326,21,6,666,42354,49041
18327,23,61,297,10925,49041
18328,53,19,91,4559,49041
18329,54,40,165,7414,49041
18330,71,8,24,318,49041
18331,72,57,859,10660,49041
18332,56,22,181,6418,49041
18333,62,652,11271,522581,49057
18335,11,6,0,0,49057
18336,21,9,411,30695,49057
18338,22,8,0,0,49057
18339,23,751,6227,312123,49057
18340,11,21,68,2441,49049
18341,21,18,76,5395,49049
18343,11,15,0,0,49035
18344,72,837,17310,257641,49049
18345,22,20,266,21810,49049
18346,23,1618,15774,878168,49049
18347,62,1465,25288,1059287,49049
18348,21,49,2012,170205,49035
18349,53,891,2336,91362,49049
18350,72,2409,50721,902712,49035
18351,22,71,1534,155746,49035
18352,55,67,2957,201472,49049
18353,56,1873,47238,1767758,49035
18354,61,502,17626,635014,49035
18355,81,773,4048,119275,49049
18356,51,410,16445,1398572,49049
18357,23,3258,35839,2075960,49035
18358,56,727,19495,799263,49049
18359,53,2372,10647,545944,49035
18360,54,2148,15869,987609,49049
18361,42,492,7805,468297,49049
18362,52,798,6077,383928,49049
18363,81,2275,37874,1412773,49035
18364,99,22,22,583,49035
18365,61,279,28585,731331,49049
18366,71,236,2032,37219,49049
18367,99,8,32,1579,49049
18368,52,2438,45187,3281060,49035
18369,62,3223,66168,3361644,49035
18370,56,24,70,3098,49013
18371,62,43,1044,41278,49013
18372,72,36,362,4902,49013
18373,81,43,117,4309,49013
