Naics,Establishments,Employees,Payroll
113310,9,36,1240
114210,4,12,424
115112,11,12,597
115114,7,31,1224
115116,7,116,11473
115310,4,6,796
115210,50,104,2527
212230,4,1469,116769
211120,40,654,67993
211130,11,444,54306
212112,7,1140,85911
212311,4,71,4410
212312,6,61,2729
212319,7,88,6819
212321,31,369,21132
212391,3,356,30360
212393,3,261,11617
212399,9,101,9686
213113,8,62,4426
213114,10,646,68347
221310,62,302,16980
236116,61,1319,51225
236117,257,2130,137240
212325,3,74,4544
236118,932,2982,116634
213111,42,215,12423
213112,198,1517,92892
213115,4,57,3711
221111,10,51,3348
221112,39,1171,126933
221114,4,125,18471
221116,4,95,5911
221122,95,1937,180745
221210,5,1036,78665
236115,1064,3935,164950
237110,116,1437,86218
237990,17,138,8244
236210,44,1734,138925
236220,446,6802,480472
237120,26,762,44625
238170,138,1180,48015
237130,57,2396,166670
237210,99,392,25974
237310,89,3217,220426
238210,893,12691,746562
238220,1217,11777,631244
238110,445,3746,172591
238120,50,2240,142968
238130,332,2248,83986
238140,304,2657,110463
238150,74,939,52003
238160,251,2653,120520
238390,113,799,32869
238190,103,501,23675
238290,90,1078,71168
238310,349,4097,185508
311351,11,85,1973
311352,15,155,3057
238320,519,3172,127080
311412,3,1015,40847
311421,8,124,4441
311423,8,481,21580
238330,281,869,35312
311513,7,1748,81166
311514,4,742,32424
311520,8,579,23873
238340,240,1253,52310
238350,553,2514,101006
238910,537,6297,320955
238990,464,2793,152678
311111,6,702,45094
311119,16,449,24228
311211,7,334,20748
311340,22,596,23483
311511,3,564,36717
311611,21,1453,72450
311612,13,1096,45722
311615,5,1270,54582
311811,66,1011,26686
311812,47,937,33195
311821,7,1358,54002
311830,3,3,108
311919,6,421,18394
311920,7,120,3964
311941,3,274,9802
311991,10,275,10712
311999,11,734,25152
312111,4,444,15905
312130,6,34,782
312112,4,77,3470
312113,8,111,3267
312120,20,290,11085
312140,8,56,2786
312230,3,13,361
313310,11,152,7017
314120,21,173,5897
314999,19,164,3637
314910,13,228,10994
315240,7,53,1541
315280,9,164,4834
321113,8,64,2134
315210,14,95,2471
315990,12,59,712
316998,17,91,2854
321214,15,554,22161
321911,42,718,32559
321920,27,656,20572
321992,7,72,3190
321912,9,107,3092
321918,30,297,9408
321999,52,483,13365
322121,3,180,14540
322211,7,698,41755
322212,4,349,17896
322220,7,362,16219
322230,3,126,5722
322299,7,104,3930
323111,158,3309,161522
324110,5,1130,133361
323113,60,912,28538
323117,6,129,4915
323120,17,216,11311
324121,8,130,10101
324191,3,10,341
324199,4,25,1363
325120,6,98,6451
325180,5,531,39994
325199,3,16,513
325211,9,271,12443
325220,3,84,1960
325311,3,14,1341
325314,5,114,5942
325320,3,9,420
325510,13,185,12742
325520,3,99,5526
325620,14,638,29541
325411,29,944,43184
325412,41,3594,288041
325413,3,213,15660
325414,6,536,31175
325611,12,159,6767
325998,13,640,38881
326111,7,1131,53919
326112,6,451,18924
326122,8,274,16399
326130,6,286,16424
326140,7,330,11262
326150,10,134,5627
326160,9,203,9701
326212,6,87,3554
326299,5,29,1465
327120,8,321,17807
327215,4,54,2680
326191,10,408,19468
326199,70,2705,130971
327110,5,27,534
327331,5,106,7056
327332,3,126,7225
327390,23,562,24892
327420,5,122,8425
327910,3,424,34979
327320,52,1010,42759
327991,34,511,21583
327993,3,71,3302
327999,9,99,4105
331110,5,502,68268
331410,9,1036,70365
331420,3,56,8803
331491,4,407,30201
331492,4,28,1366
331511,4,235,15441
331512,3,82,3509
331513,3,171,7448
331524,3,365,20299
331529,8,113,4011
332111,7,133,9829
332119,4,69,3017
332323,48,558,27125
332420,8,392,23782
332510,5,51,2254
332618,3,24,955
332812,29,358,12967
332813,21,247,10430
