,relevant_naics,estab,emp,payann,fips
0,237310,4,47,4387,51127
1,238140,6,24,1010,51127
2,238210,8,20,642,51127
3,238220,14,50,1728,51127
4,238310,3,0,0,51127
5,238330,3,15,365,51127
6,238350,7,34,1271,51127
7,238910,4,17,908,51127
8,238990,4,15,1277,51127
9,321920,3,106,4212,51127
10,441120,3,0,0,51127
11,441310,3,20,409,51127
12,445110,3,0,0,51127
13,447110,12,85,1814,51127
14,447190,3,21,921,51127
15,454110,3,0,0,51127
16,484110,6,22,878,51127
17,522110,3,0,0,51127
18,524210,3,0,0,51127
19,531210,6,8,513,51127
20,531320,3,2,99,51127
21,541211,4,0,0,51127
22,541219,3,0,0,51127
23,541611,4,3,137,51127
24,541620,3,4,202,51127
25,541940,3,64,2694,51127
26,561730,9,29,1001,51127
27,561720,10,70,761,51127
28,621111,4,0,0,51127
29,621210,6,27,1574,51127
30,624410,8,73,959,51127
31,711130,3,6,41,51127
32,713910,4,72,511,51127
33,722511,17,138,1766,51127
34,722513,8,136,2450,51127
35,811111,5,28,1171,51127
36,812112,3,8,178,51127
37,813110,16,81,1250,51127
38,113310,3,21,965,51127
39,236115,3,7,99,51127
40,236118,16,23,944,51127
41,115210,7,10,261,51015
42,212321,3,17,1094,51015
43,221122,3,0,0,51015
44,236115,28,90,2924,51015
45,236117,9,34,792,51015
46,236118,40,111,3576,51015
47,236220,13,70,2639,51015
48,237110,5,28,1097,51015
49,237130,4,72,2973,51015
50,237310,4,97,6802,51015
51,238110,5,11,383,51015
52,238130,8,30,1009,51015
53,238140,10,39,757,51015
54,238160,7,52,2169,51015
55,238170,7,15,344,51015
56,238210,27,234,10825,51015
57,238220,29,448,24126,51015
58,238320,7,26,686,51015
59,238330,5,4,141,51015
60,238350,7,21,862,51015
61,238910,20,281,10859,51015
62,238990,22,116,5447,51015
63,321113,4,57,1966,51015
64,441310,6,62,1074,51015
65,442110,3,22,661,51015
66,442210,3,9,269,51015
67,444190,3,47,1979,51015
68,444220,7,73,1696,51015
69,453991,3,9,158,51015
70,453998,5,18,599,51015
71,454110,9,19,538,51015
72,454390,10,25,810,51015
73,811111,33,146,6179,51015
74,811121,4,22,1092,51015
75,811219,3,14,254,51015
76,445110,9,259,4432,51015
77,445120,5,33,580,51015
78,445310,3,0,0,51015
79,446110,5,69,2344,51015
80,484110,10,52,2123,51015
81,484121,23,605,32046,51015
82,484122,8,350,13556,51015
83,484220,7,36,1138,51015
84,811310,12,62,3097,51015
85,812112,7,17,459,51015
86,812199,3,13,95,51015
87,812910,6,26,384,51015
88,812990,4,10,118,51015
89,484230,4,3,104,51015
90,488190,4,15,559,51015
91,488410,6,31,1424,51015
92,492110,4,0,0,51015
93,493110,4,0,0,51015
94,813110,90,385,6090,51015
95,813211,3,0,0,51015
96,813410,4,20,355,51015
97,813930,3,0,0,51015
98,517311,5,65,4872,51015
99,522110,16,85,3127,51015
100,522130,5,30,1179,51015
101,523920,8,0,0,51015
102,523930,3,8,408,51015
103,524210,17,60,2981,51015
104,531110,10,27,447,51015
105,531120,4,29,446,51015
106,531130,7,10,161,51015
107,531190,4,7,138,51015
108,531210,20,28,973,51015
109,531320,3,6,184,51015
110,531311,4,20,942,51015
111,531390,3,10,94,51015
112,541110,7,45,1883,51015
113,541191,4,13,614,51015
114,541211,3,13,678,51015
115,541219,3,12,314,51015
116,541330,8,25,1356,51015
117,541370,3,19,700,51015
118,541430,3,0,0,51015
119,541511,4,0,0,51015
120,541512,3,12,565,51015
121,541611,6,11,488,51015
122,541613,4,41,1571,51015
123,541620,3,6,250,51015
124,541690,4,7,383,51015
125,541921,3,0,0,51015
126,541940,15,193,5764,51015
127,541990,3,7,230,51015
128,551114,3,0,0,51015
129,561320,5,30,391,51015
130,561710,5,29,930,51015
131,561720,20,170,2999,51015
132,561730,36,215,6198,51015
133,561790,4,16,456,51015
134,561990,4,127,2077,51015
135,611620,3,17,76,51015
136,611699,3,0,0,51015
137,621111,33,695,60632,51015
138,621210,19,122,6092,51015
139,621310,7,25,397,51015
140,621330,3,15,367,51015
141,621340,7,45,1733,51015
142,621498,3,27,1750,51015
143,621610,6,152,4673,51015
144,623210,4,26,799,51015
145,623312,5,112,2214,51015
146,624120,3,0,0,51015
147,624410,10,138,2394,51015
148,713940,5,11,236,51015
149,321920,5,115,4103,51015
150,332710,7,82,3827,51015
151,447110,28,273,4538,51015
152,447190,4,51,2635,51015
153,448120,3,28,425,51015
154,448310,6,62,2154,51015
155,721110,16,235,5132,51015
156,721211,4,34,1021,51015
157,423810,4,116,7149,51015
158,424130,3,7,167,51015
159,424490,5,208,8747,51015
160,451110,3,0,0,51015
161,452319,11,0,0,51015
162,453220,3,6,145,51015
163,453310,4,17,271,51015
164,722310,5,98,780,51015
165,722320,4,6,95,51015
166,722410,3,32,397,51015
167,722511,29,502,7638,51015
168,722513,27,481,6110,51015
169,424910,3,0,0,51015
170,425120,7,29,718,51015
171,441110,4,419,17859,51015
172,441120,6,5,245,51015
173,441228,3,40,1314,51015
174,621210,3,0,0,51131
175,624410,5,38,965,51131
176,721110,7,51,912,51131
177,721191,3,6,104,51131
178,722511,14,234,5043,51131
179,722513,8,166,1937,51131
180,722515,3,13,208,51131
181,811111,4,12,302,51131
182,813110,17,51,733,51131
183,114111,3,0,0,51131
184,114112,3,0,0,51131
185,236115,5,10,428,51131
186,236118,5,8,317,51131
187,238220,3,18,492,51131
188,424460,5,71,3518,51131
189,441310,4,7,219,51131
190,445110,4,0,0,51131
191,445120,3,15,113,51131
192,446110,4,60,2739,51131
193,447110,10,117,1764,51131
194,451110,3,0,0,51131
195,452319,4,0,0,51131
196,453220,5,10,166,51131
197,522110,6,25,1094,51131
198,524210,5,14,670,51131
199,113310,3,37,1611,51049
200,236118,5,9,304,51049
201,238220,7,18,489,51049
202,238350,5,14,304,51049
203,238910,5,24,776,51049
204,441310,3,20,741,51049
205,444190,3,32,1153,51049
206,447110,4,16,154,51049
207,484110,3,5,216,51049
208,484121,3,0,0,51049
209,484220,3,0,0,51049
210,522110,4,16,652,51049
211,561720,3,0,0,51049
212,623210,6,0,0,51049
213,624120,4,42,734,51049
214,722511,4,45,529,51049
215,813110,6,20,419,51049
216,531110,7,11,246,51131
217,531210,3,3,108,51131
218,541110,6,9,355,51131
219,561730,5,55,1364,51131
220,611110,3,77,2208,51131
221,621111,7,35,2303,51131
222,441310,3,17,289,51051
223,445110,5,133,2327,51051
224,446110,6,61,2634,51051
225,447110,9,79,1370,51051
226,452319,4,27,463,51051
227,484220,15,97,4951,51051
228,517311,4,0,0,51051
229,522110,8,46,1588,51051
230,524210,3,18,713,51051
