,fips,relevant_naics,estab,emp,payann
20515,51,1131,28,192,9179
20516,51,1132,4,17,2424
20517,51,1133,335,2533,134823
20518,51,2131,61,771,44342
20519,51,1141,49,317,16352
20520,51,1142,7,269,8672
20521,51,1151,59,527,29839
20522,51,1152,150,407,9899
20523,51,1153,40,105,4536
20524,51,2111,14,253,21343
20525,51,2121,61,3213,278569
20526,51,2122,3,27,3076
20527,51,2123,124,2372,158280
20528,51,2212,43,1939,234315
20529,51,2361,5299,22688,1263962
20530,51,3122,10,2522,227604
20531,51,2362,1096,16323,1246818
20532,51,2211,268,12321,1457703
20533,51,2213,51,583,41878
20534,51,2371,545,14947,877651
20535,51,2372,142,577,53831
20536,51,2373,322,11056,665458
20537,51,2379,157,2560,176408
20538,51,2381,2590,23946,1204847
20539,51,2382,4554,57802,3304013
20540,51,2383,3134,21126,1027551
20541,51,3114,25,1436,67268
20542,51,3116,63,14191,497356
20543,51,3118,187,5869,220057
20544,51,2389,2130,19696,986729
20545,51,3111,27,505,23622
20546,51,3112,11,438,23502
20547,51,3113,21,1107,75525
20548,51,3115,15,2458,126188
20549,51,3117,20,869,48483
20550,51,3119,64,4671,248669
20551,51,3121,318,7072,274069
20552,51,3131,10,669,23655
20553,51,3133,10,530,21041
20554,51,3141,49,1162,31553
20555,51,3152,38,478,12048
20556,51,3132,21,2218,93567
20557,51,3149,83,1215,45159
20558,51,3159,14,246,5252
20559,51,3162,4,131,3006
20560,51,3169,15,189,8438
20561,51,3219,243,6768,255622
20562,51,3222,68,4407,245332
20563,51,3211,140,3603,146479
20564,51,3212,44,2855,127389
20565,51,3221,15,2932,243515
20566,51,3231,475,10921,497807
20567,51,3241,28,684,46736
20568,51,3251,34,2207,171635
20569,51,3252,21,4725,389445
20570,51,3253,17,231,13188
20571,51,3254,22,2827,255559
20572,51,3255,18,1060,65856
20573,51,3256,20,983,55134
20574,51,3259,34,3715,265091
20575,51,3261,132,14927,729855
20576,51,3262,31,4055,230370
20577,51,3271,20,464,23198
20578,51,3272,27,1705,83621
20579,51,3273,218,4895,229737
20580,51,3279,76,2374,146996
20581,51,3274,6,440,31489
20582,51,3311,6,1061,82197
20583,51,3312,7,38,2121
20584,51,3313,9,712,48118
20585,51,3314,12,677,36130
20586,51,3315,10,1273,75533
20587,51,3321,19,823,39539
20588,51,3322,16,396,18201
20589,51,3323,217,5310,289059
20590,51,3324,29,3912,321490
20591,51,3325,8,267,18419
20592,51,3326,8,72,3121
20593,51,3327,304,3944,196235
20594,51,3328,62,660,30600
20595,51,3329,67,1580,79964
20596,51,3331,32,1450,87113
20597,51,3332,32,1470,85597
20598,51,3333,27,708,57731
20599,51,3334,23,3298,171123
20600,51,3335,43,920,54105
20601,51,3336,14,513,35690
20602,51,3339,93,6793,457626
20603,51,3342,33,763,44150
20604,51,3341,26,569,38294
20605,51,3343,10,243,11883
20606,51,3344,42,2892,290022
20607,51,3345,83,5329,477898
20608,51,3346,15,154,13634
20609,51,3351,14,615,30081
20610,51,3352,3,14,542
20611,51,3353,52,5111,328439
20612,51,3359,33,1614,98702
20613,51,3362,14,2892,133939
20614,51,3365,5,525,29717
20615,51,3366,58,29074,2000127
20616,51,3363,55,5520,244708
20617,51,3364,17,3317,366563
20618,51,3369,12,102,3986
20619,51,3371,229,5830,203807
20620,51,3372,77,1743,99988
20621,51,3379,13,860,37696
20622,51,3391,212,3807,254930
20623,51,3399,273,4714,236495
20624,51,4231,467,7009,428323
20625,51,4233,432,6848,402385
20626,51,4247,106,1600,95451
20627,51,4232,221,3436,211367
20628,51,4234,703,13068,1233609
20629,51,4237,469,5076,324727
20630,51,4235,136,1598,97910
20631,51,4236,519,9299,1137422
20632,51,4239,475,5395,567883
20633,51,4238,907,12920,899244
20634,51,4241,179,2397,133431
20635,51,4242,144,2542,203247
20636,51,4243,126,1708,74402
20637,51,4244,613,15759,829270
20638,51,4245,41,637,61187
20639,51,4246,175,2600,222741
20640,51,4248,130,5054,273681
20641,51,4249,402,5164,249715
20642,51,4251,621,4590,232129
20643,51,4411,1484,39407,2009810
20644,51,4422,777,8194,208834
20645,51,4412,264,3005,129394
20646,51,4413,1520,14727,456174
20647,51,4441,1204,31409,917000
20648,51,4421,668,5250,198291
20649,51,4442,466,5678,183064
20650,51,4431,722,7899,233214
20651,51,4451,2693,81733,1901806
20652,51,4452,452,2566,48352
20653,51,4453,485,4550,81985
20654,51,4461,2200,25441,853526
20655,51,4471,3107,27475,598230
20656,51,4481,2264,34005,575092
20657,51,4482,612,6285,92298
20658,51,4522,113,11671,233185
20659,51,4523,1345,60441,1572330
20660,51,4483,569,3364,109759
20661,51,4511,904,11651,208968
20662,51,4532,702,5692,116655
20663,51,4533,615,6272,110976
20664,51,4512,196,2206,34303
20665,51,4531,291,1552,31147
20666,51,4539,1271,7834,189874
20667,51,4541,773,12200,509756
20668,51,4841,1701,18940,975697
20669,51,4542,57,608,21130
20670,51,4543,770,4917,199593
20671,51,4811,72,12208,966128
20672,51,4812,41,1097,81683
20673,51,4831,24,769,64582
20674,51,4832,15,122,8170
20675,51,4852,6,375,8789
20676,51,4853,238,1708,61151
20677,51,4854,18,1054,30749
20678,51,4842,1214,12588,569207
20679,51,4851,17,1200,56513
20680,51,4882,21,357,18521
20681,51,4855,43,1254,43891
20682,51,4859,158,4155,140113
20683,51,4861,3,35,3773
20684,51,4862,36,435,46035
20685,51,4869,11,69,7538
20686,51,4871,12,91,2588
20687,51,4872,19,227,6878
20688,51,4881,108,5769,178227
20689,51,4883,65,3612,259034
20690,51,4885,304,4569,282609
20691,51,4931,363,19240,807969
20692,51,4884,401,3342,143723
20693,51,4889,52,357,26695
20694,51,4921,191,10573,488660
20695,51,4922,108,1099,38473
20696,51,5111,403,8891,739835
20697,51,5151,181,5976,366269
20698,51,5112,401,16072,2519038
20699,51,5173,1616,29521,2758527
20700,51,5121,316,5826,175945
20701,51,5122,47,170,10376
20702,51,5191,329,7389,812025
20703,51,5152,11,487,53097
20704,51,5174,27,1600,285705
20705,51,5179,91,1368,152987
20706,51,5182,648,24502,2667243
20707,51,5221,3380,49671,3575487
20708,51,5222,1264,33196,4496121
20709,51,5223,528,3966,347471
20710,51,5211,5,1986,252036
20711,51,5231,673,5882,978652
20712,51,5239,1584,9209,1401423
20713,51,5259,17,63,20223
20714,51,5241,689,35535,2810945
20715,51,5242,3267,22501,1608525
20716,51,5311,3020,15375,806507
20717,51,5312,3385,9659,600638
20718,51,5323,58,345,12659
20719,51,5313,2440,18078,1082274
20720,51,5331,63,849,129700
20721,51,5321,452,4050,166271
20722,51,5322,400,2866,105761
20723,51,5411,4212,27134,2424102
20724,51,5324,326,3812,234019
20725,51,5412,3138,42462,2983317
20726,51,5413,3469,72179,7220472
20727,51,5414,740,2295,126965
20728,51,5415,9424,180341,18633440
20729,51,5417,614,29886,3360059
20730,51,5416,6308,94926,9476950
20731,51,5418,959,9731,680024
20732,51,5419,2347,23748,1397315
20733,51,5611,715,16411,1173321
20734,51,5511,1336,81557,7606198
20735,51,5614,698,22123,888120
20736,51,5612,254,15260,906531
20737,51,5613,1233,84097,3859426
20738,51,6212,3344,24820,1413769
20739,51,7132,9,74,4021
20740,51,5615,399,4688,247132
20741,51,5616,732,43340,2069203
20742,51,5617,5959,67310,1894353
20743,51,5629,247,2882,146262
20744,51,5619,410,5309,279171
20745,51,5621,255,4841,261379
20746,51,5622,71,1094,64009
20747,51,6114,340,3808,294187
20748,51,6115,195,2219,89130
20749,51,6111,503,21536,778850
20750,51,6112,27,1772,70625
20751,51,6113,177,34916,1190357
20752,51,6116,1578,13033,260456
20753,51,6213,3694,22675,956142
20754,51,6117,305,3232,267935
20755,51,6211,5230,67053,6133547
20756,51,6219,284,8003,352819
20757,51,6214,981,21421,1318312
20758,51,6223,12,2108,99408
20759,51,6215,504,7451,456031
20760,51,6216,1069,34180,1013014
20761,51,6221,91,112266,7528178
20762,51,6222,17,6571,278611
20763,51,6231,316,31710,1070135
20764,51,6239,113,1872,59710
20765,51,6232,699,14653,424195
20766,51,6233,517,31074,877702
20767,51,6243,168,8487,264070
20768,51,6244,1971,27641,583273
20769,51,6241,1576,31920,858428
20770,51,6242,331,4291,165293
20771,51,7113,165,2799,67729
20772,51,7111,171,4193,163779
20773,51,7131,85,6732,96945
20774,51,7112,85,1554,267954
20775,51,7114,39,592,69764
20776,51,7115,314,598,35206
20777,51,7121,227,4499,141409
20778,51,7139,2027,41072,717900
20779,51,7212,138,1002,30092
20780,51,7211,1661,45922,1169439
20781,51,7224,182,2943,57757
20782,51,7213,33,59,2258
20783,51,7223,1197,22421,587699
20784,51,7225,15176,297709,4978951
20785,51,8111,4155,25688,1022060
20786,51,8112,348,3253,269530
20787,51,8113,486,4633,263906
20788,51,8114,737,2088,67795
20789,51,8129,1428,8465,223311
20790,51,8121,4053,23073,587595
20791,51,8122,515,4382,146538
20792,51,8132,610,6176,425263
20793,51,8123,1014,8782,251473
20794,51,8134,631,4515,137068
20795,51,8131,6254,48786,1079958
20796,51,8133,543,7221,461189
20797,51,8139,1661,24512,1823476
