,relevant_naics,estab,emp,payann,fips
55718,11,36,250,8951,53047
55719,22,5,25,1890,53047
55720,23,177,516,23207,53047
55721,42,39,431,20515,53047
55722,51,19,186,7669,53047
55723,52,40,224,10639,53047
55724,53,47,122,2532,53047
55725,54,73,250,8855,53047
55726,56,52,177,7382,53047
55727,61,15,47,853,53047
55728,62,106,1676,76498,53047
55729,71,35,369,7729,53047
55730,72,128,1205,27967,53047
55731,81,93,274,6582,53047
55732,99,8,7,262,53047
55734,11,15,151,8360,53037
55735,22,9,40,3881,53037
55736,23,240,989,51549,53037
55737,42,48,552,33833,53037
55738,51,16,198,8868,53037
55739,52,55,227,11533,53037
55740,53,65,139,6810,53037
55741,54,92,327,15162,53037
55742,55,4,9,420,53037
55743,56,64,351,13190,53037
55744,61,13,204,3037,53037
55745,62,110,1860,78541,53037
55746,71,32,1117,10637,53037
55747,72,169,2627,55071,53037
55748,81,106,547,15065,53037
55749,99,3,1,35,53037
55751,11,14,200,13374,53001
55752,22,3,34,3228,53001
55753,42,30,513,28387,53001
55754,23,28,100,3717,53001
55756,11,55,435,28157,53067
55757,21,4,33,2057,53067
55758,22,14,105,12320,53067
55759,23,795,5406,327403,53067
55760,51,5,15,341,53001
55761,52,19,93,4153,53001
55762,53,14,27,508,53001
55763,54,11,66,3212,53001
55764,56,9,49,1669,53001
55765,62,26,748,39696,53001
55766,71,4,17,351,53001
55767,72,34,360,6426,53001
55768,81,47,132,3358,53001
55769,99,3,1,65,53001
55771,11,12,218,7703,53005
55772,22,7,171,16925,53005
55773,23,630,7187,499599,53005
55774,42,207,2353,130958,53067
55775,42,148,1811,114807,53005
55776,22,6,30,2853,53013
55778,11,4,17,805,53013
55779,23,10,17,343,53013
55780,42,4,18,928,53013
55781,51,3,10,245,53013
55782,52,4,19,467,53013
55783,53,6,11,163,53013
55784,54,11,39,750,53013
55785,56,4,7,926,53013
55786,62,10,177,9487,53013
55787,71,4,102,669,53013
55788,72,13,88,1564,53013
55789,81,11,105,7013,53013
55791,11,40,199,12644,53011
55792,21,10,41,6201,53011
55793,22,5,136,10445,53011
55794,23,1818,15867,1065493,53011
55795,51,72,863,34167,53005
55796,52,245,1978,137756,53005
55797,53,326,1125,44172,53005
55798,54,473,7669,690552,53005
55799,42,545,6830,516639,53011
55800,55,22,447,34201,53005
55801,56,234,10352,786858,53005
55802,61,47,415,9160,53005
55803,62,615,11875,633244,53005
55804,71,83,1275,25500,53005
55805,72,431,7648,155659,53005
55806,81,426,2904,83553,53005
55807,99,10,8,313,53005
55808,51,105,2172,105691,53067
55809,52,339,2856,195797,53067
55810,51,223,3599,224188,53011
55811,53,354,1095,47146,53067
55812,52,662,5970,595706,53011
55813,54,671,4751,286527,53067
55814,53,671,2442,111064,53011
55815,55,29,269,21443,53067
55816,56,341,2951,101927,53067
55817,54,1284,8640,562840,53011
55818,61,88,1865,45560,53067
55819,62,922,16067,874639,53067
55820,55,85,6532,603683,53011
55821,56,655,8933,322916,53011
55822,71,97,2852,78772,53067
55823,72,573,9724,201148,53067
55824,61,140,1776,44199,53011
55825,62,1284,23825,1300297,53011
55826,81,667,4531,173901,53067
55827,99,13,7,206,53067
55829,23,70,460,28306,53003
55831,21,3,2,127,53007
55833,11,21,175,11904,53045
55834,11,22,2194,87165,53007
55835,22,3,16,1142,53007
55836,23,390,2473,168084,53007
55837,71,142,3511,93274,53011
55838,72,826,14096,295738,53011
55839,81,1025,5969,190928,53011
55840,42,101,2678,129069,53007
55841,99,27,20,565,53011
55842,21,4,47,2876,53045
55843,22,5,9,279,53045
55844,23,215,748,31671,53045
55845,42,39,358,21425,53045
55846,51,47,515,19924,53007
55847,52,121,791,51889,53007
55848,53,147,580,20972,53007
55849,51,13,87,4153,53045
55850,52,46,293,15280,53045
55851,53,59,133,5025,53045
55852,54,66,259,11431,53045
55853,54,208,1080,57068,53007
55854,56,53,208,7313,53045
55855,61,9,37,597,53045
55856,62,104,1962,93528,53045
55857,71,18,191,6108,53045
55858,72,99,1718,49366,53045
55859,81,98,463,11435,53045
55860,99,3,3,64,53045
55861,42,18,107,6109,53003
55862,51,9,57,2175,53003
55863,52,28,155,8144,53003
55864,53,18,66,1389,53003
55865,54,38,265,8576,53003
55867,23,5,8,381,53023
55868,42,6,81,3481,53023
55869,52,5,15,462,53023
55870,62,7,109,3801,53023
55871,72,3,12,185,53023
55872,81,3,12,98,53023
55873,55,3,213,15947,53007
55874,56,135,880,26221,53007
55875,61,29,145,2337,53007
55876,62,236,6880,430915,53007
55877,55,3,5,227,53003
55878,56,20,92,3903,53003
55879,61,9,40,683,53003
55880,62,53,1176,55941,53003
55881,71,9,109,2208,53003
55882,72,41,661,12627,53003
55883,81,38,163,3318,53003
55885,11,54,413,24078,53057
55886,21,9,45,2795,53057
55887,22,9,156,17451,53057
55888,23,519,3863,290421,53057
55889,71,66,757,17290,53007
55890,72,326,4437,108123,53007
55891,81,240,1096,31311,53007
55892,42,133,1656,89780,53057
55893,99,6,0,182,53007
55895,11,42,133,7753,53065
55896,21,4,58,5375,53065
55897,22,7,82,8924,53065
55898,23,134,584,29615,53065
55899,42,20,208,7582,53065
55900,51,18,65,2633,53065
55901,52,29,212,9283,53065
55902,53,24,68,1852,53065
55903,54,61,207,8714,53065
55904,56,42,173,7650,53065
55905,51,46,512,24662,53057
55906,52,172,1454,92585,53057
55907,61,7,34,715,53065
55908,62,95,2173,80955,53065
55909,71,19,311,5401,53065
55910,72,90,613,11343,53065
55911,81,91,344,8868,53065
55913,11,30,82,3710,53063
55914,21,16,174,14365,53063
55915,53,178,489,18892,53057
55916,54,289,1868,127741,53057
55917,22,20,1574,177132,53063
55918,23,1623,12281,757027,53063
55919,55,8,51,3297,53057
55920,56,163,1614,52319,53057
55921,61,42,341,10791,53057
55922,62,361,7728,411093,53057
55923,71,61,682,13707,53057
55924,72,361,5740,143021,53057
55925,81,348,1878,58942,53057
55926,42,696,10971,615944,53063
55927,99,7,2,81,53057
55929,22,4,23,2107,53043
55930,23,39,268,17058,53043
55931,42,27,234,10083,53043
55932,51,5,22,533,53043
55933,52,21,68,2651,53043
55934,53,9,19,616,53043
55935,54,19,99,6558,53043
55936,56,6,44,1850,53043
55937,71,8,26,759,53043
55938,72,15,51,1013,53043
55939,62,15,376,16969,53043
55940,81,27,55,1160,53043
55942,11,44,319,14297,53049
55943,21,3,14,454,53049
55944,23,69,246,10089,53049
55945,42,6,45,1270,53049
55947,11,14,43,2465,53031
55948,21,3,27,1526,53031
55949,23,158,637,29929,53031
55950,51,10,34,1393,53049
55951,52,26,132,4969,53049
55952,53,20,119,4345,53049
55953,54,38,125,5476,53049
55954,42,24,123,4487,53031
55955,56,20,64,2064,53049
55956,62,36,630,35615,53049
55957,71,14,57,1410,53049
55958,72,109,867,19708,53049
55959,81,58,193,4570,53049
55960,51,24,142,6406,53031
55961,52,34,165,11282,53031
55963,11,33,75,5699,53035
55964,22,10,132,13454,53035
55965,23,885,4508,261533,53035
55966,53,60,154,6052,53031
55967,54,101,277,13353,53031
55968,56,36,160,6410,53031
55969,61,22,145,3584,53031
55970,62,103,1546,80866,53031
55971,71,26,172,4259,53031
55972,72,104,1067,24119,53031
55973,81,109,556,17322,53031
55974,99,5,2,86,53031
55975,42,143,981,57305,53035
55977,11,214,1299,136413,53033
55979,23,43,120,5492,53051
55980,42,7,19,643,53051
55981,51,7,41,1833,53051
55982,11,6,40,2350,53051
55983,52,15,57,2664,53051
55984,53,8,25,620,53051
55985,54,17,74,2728,53051
55986,56,7,18,460,53051
55987,62,25,424,21610,53051
55988,71,5,16,737,53051
55989,72,22,216,3515,53051
55990,81,24,68,1570,53051
55991,51,258,4659,301273,53063
55992,51,107,964,54818,53035
55993,52,290,1706,111774,53035
55994,52,902,11075,755995,53063
55995,53,422,1172,54341,53035
55996,53,753,3621,149206,53063
55997,54,735,4674,315392,53035
55998,54,1351,9070,609417,53063
55999,55,23,414,26810,53035
56000,56,344,3421,115746,53035
56001,61,94,701,20318,53035
56002,62,717,13231,703129,53035
56003,55,89,3225,237268,53063
56004,56,726,10507,345292,53063
56005,61,180,6858,195161,53063
56006,71,97,1521,32085,53035
56007,72,539,9805,216313,53035
56008,21,22,229,13397,53033
56009,22,42,5224,600744,53033
56010,23,6471,72855,5692294,53033
56011,81,587,3591,99502,53035
56012,99,7,7,215,53035
56014,11,7,10,327,53059
56015,23,39,114,5327,53059
56016,62,1670,41162,2274938,53063
56017,42,13,42,2430,53059
56018,51,3,6,156,53059
56019,52,5,19,568,53059
56020,53,8,15,575,53059
56021,54,15,79,3466,53059
56022,56,9,32,664,53059
56023,62,18,154,4330,53059
56024,72,25,501,11779,53059
56025,81,11,28,468,53059
56026,71,186,3265,64317,53063
56027,72,1139,20600,430491,53063
56029,11,13,5,470,53055
56030,22,9,109,9552,53055
56031,23,242,852,38303,53055
56032,42,14,22,717,53055
56033,52,27,136,8742,53055
56034,53,64,144,5406,53055
56035,51,16,95,4072,53055
56036,54,105,257,15099,53055
56037,56,54,318,10460,53055
56038,61,15,84,2793,53055
56039,62,68,418,17869,53055
56040,71,43,192,5765,53055
56041,72,106,1115,37470,53055
56042,81,67,236,7082,53055
56043,81,1224,8874,258996,53063
56045,11,61,488,27269,53009
56046,21,4,22,1137,53009
56047,22,11,40,1077,53009
56048,23,344,1340,63515,53009
56049,42,3670,63704,4976216,53033
56050,42,51,361,16375,53009
56051,51,22,153,7672,53009
56052,52,90,529,33195,53009
56053,53,94,226,8169,53009
56054,99,29,14,1018,53063
56055,22,3,50,5217,53075
56057,11,5,19,455,53075
56058,23,77,376,20698,53075
56059,42,58,630,38114,53075
56060,54,164,711,30548,53009
56061,55,5,137,6521,53009
56062,56,117,719,24036,53009
56063,51,19,139,6693,53075
56064,52,43,197,11743,53075
56065,61,19,170,3932,53009
56066,62,236,4304,196639,53009
56067,53,50,283,7167,53075
56068,54,62,404,23078,53075
56069,56,28,196,4505,53075
56070,61,5,64,703,53075
56071,62,104,2067,97853,53075
56072,71,33,477,14314,53009
56073,72,231,2438,53054,53009
56074,81,199,982,27144,53009
56075,99,6,14,144,53009
56077,11,36,2323,87778,53077
56078,21,7,72,3640,53077
56079,22,9,154,13671,53077
56080,23,600,3643,195121,53077
56081,71,13,120,2368,53075
56082,72,126,1783,28803,53075
56083,81,97,483,11176,53075
56084,42,239,5480,308993,53077
56086,11,47,981,68602,53015
56088,11,17,394,15014,53039
56089,22,9,54,6269,53039
56090,23,95,209,8603,53039
56092,11,82,371,19423,53053
56093,21,12,196,14067,53053
56096,11,150,306,20093,53061
56097,21,16,101,8184,53061
56098,22,28,606,52366,53053
56100,11,25,544,22063,53025
56101,22,8,51,4421,53061
56102,23,3420,26473,1736750,53061
56103,51,1966,118323,24849221,53033
56104,42,821,10551,902613,53061
56105,52,3599,49953,5182917,53033
56106,53,5089,25767,1742660,53033
56107,54,10997,120134,12665026,53033
56108,51,71,959,40294,53077
56109,52,245,1577,101656,53077
56110,53,254,977,34584,53077
56111,54,331,2151,116475,53077
56112,55,12,186,16456,53077
56113,55,615,87297,12825971,53033
56114,56,192,2529,81378,53077
56115,61,54,1319,44936,53077
56116,56,3479,64616,3753437,53033
56117,62,576,15423,789770,53077
56118,71,76,2033,51274,53077
56119,72,471,7016,131898,53077
56120,61,1501,26770,924240,53033
56121,81,430,2538,70460,53077
56122,62,8051,160476,9950859,53033
56123,99,13,18,442,53077
56124,51,274,5241,334687,53061
56125,21,6,141,10298,53015
56126,22,8,74,7752,53015
56127,23,258,2834,217539,53015
56128,52,935,8907,742368,53061
56129,42,100,1156,65636,53015
56130,53,1095,3938,198619,53061
56131,54,1894,12966,975724,53061
56132,55,62,1051,84556,53061
56133,51,32,265,13029,53015
56134,52,98,802,48572,53015
56135,53,126,452,15926,53015
56136,56,1131,12635,635948,53061
56137,54,149,850,43809,53015
56138,55,7,106,7267,53015
56139,56,103,1497,52393,53015
56140,61,258,2124,56759,53061
56141,61,25,282,7418,53015
56142,62,236,5543,255814,53015
56143,62,1984,32801,1771816,53061
56144,71,21,338,7845,53015
56145,72,225,3308,63840,53015
56146,81,219,1256,36875,53015
56147,99,6,8,81,53015
56148,71,1273,31629,1373601,53033
56150,11,16,42,2326,53019
56151,23,14,25,1400,53019
56152,51,3,16,449,53019
56153,52,5,23,685,53019
56154,53,8,35,664,53019
56155,54,8,25,732,53019
56156,56,6,23,595,53019
56157,61,3,9,169,53019
56158,62,13,155,6274,53019
56159,72,19,77,1456,53019
56160,81,11,50,1411,53019
56161,71,225,4242,105802,53061
56162,42,17,207,12384,53039
56163,51,10,52,2114,53039
56164,52,20,59,2672,53039
56165,72,1699,26808,649276,53061
56166,81,1757,10907,358542,53061
56167,72,6676,118863,3337076,53033
56169,11,77,880,42863,53041
56170,21,9,127,8941,53041
56171,53,25,61,1735,53039
56172,54,51,323,19123,53039
56173,56,19,242,14293,53039
56174,62,46,618,31320,53039
56175,61,6,25,748,53039
56176,71,11,45,1683,53039
56177,72,56,372,9757,53039
56178,81,57,240,7192,53039
56179,22,8,240,27438,53041
56180,23,235,1160,62726,53041
56181,99,30,22,1029,53061
56182,81,6084,51919,2294551,53033
56184,11,11,86,3425,53017
56186,11,64,390,24130,53027
56187,22,3,38,3509,53027
56188,23,163,897,51950,53027
56189,42,68,626,27928,53041
56190,42,44,672,34991,53027
56191,51,30,225,8535,53041
56192,52,89,391,19897,53041
56193,51,22,166,7899,53027
56194,52,66,495,29606,53027
56195,53,93,371,19407,53041
56196,54,100,540,25986,53041
56197,55,3,98,2985,53041
56198,56,72,964,29595,53041
56199,53,79,355,9340,53027
56200,54,77,388,23120,53027
56201,56,54,598,18086,53027
56202,61,15,187,3711,53041
56203,62,211,3746,185383,53041
56204,61,11,31,450,53027
56205,62,183,2803,130115,53027
56206,71,26,220,3614,53027
56207,71,22,154,2521,53041
56208,72,193,2283,45622,53041
56209,81,172,886,21423,53041
56210,99,4,2,211,53041
56211,72,227,2186,47941,53027
56212,23,170,681,36109,53017
56213,42,44,945,44145,53017
56214,81,156,897,18550,53027
56215,99,5,4,95,53027
56216,51,15,193,10886,53017
56217,52,35,197,10004,53017
56218,99,130,109,5425,53033
56220,11,25,27,1848,53029
56221,22,13,70,3065,53029
56222,23,327,1315,68809,53029
56223,53,43,111,3788,53017
56224,54,46,243,10119,53017
56225,55,4,52,7396,53017
56226,56,51,448,10785,53017
56227,61,5,56,799,53017
56228,62,69,922,27551,53017
56229,71,13,123,2696,53017
56230,72,64,1046,21720,53017
56231,81,74,245,7194,53017
56232,99,6,3,88,53017
56233,42,37,176,10726,53029
56234,23,2720,23327,1588614,53053
56235,11,6,107,5381,53069
56236,23,13,63,2575,53069
56237,51,3,19,1202,53069
56238,52,3,11,345,53069
56239,53,4,5,111,53069
56240,54,5,17,387,53069
56241,56,4,21,492,53069
56242,62,4,49,1075,53069
56243,72,10,18,423,53069
56244,81,7,17,273,53069
56245,51,28,244,10991,53029
56246,52,78,362,21688,53029
56247,53,128,376,13463,53029
56248,54,181,798,45306,53029
56249,56,116,421,14270,53029
56251,11,12,74,2545,53071
