,relevant_naics,estab,emp,payann,fips
294542,113310,6,26,936,54023
294543,221122,4,0,0,54023
294544,236115,7,14,509,54023
294545,236118,3,5,92,54023
294546,238130,5,11,301,54023
294547,238220,4,14,493,54023
294548,238910,7,45,1961,54023
294549,444190,4,42,1269,54023
294550,445110,4,59,812,54023
294551,447110,9,82,1610,54023
294552,484110,3,13,627,54023
294553,484121,3,0,0,54023
294554,484220,6,19,819,54023
294555,522110,4,67,2801,54023
294556,524210,5,28,791,54023
294557,531110,4,7,192,54023
294558,541110,3,9,368,54023
294559,621111,3,15,751,54023
294560,621610,3,0,0,54023
294561,624120,3,219,3309,54023
294562,624410,4,63,1373,54023
294563,721110,3,11,87,54023
294564,722511,9,43,488,54023
294565,722513,4,90,963,54023
294566,811111,5,6,105,54023
294567,811121,3,11,423,54023
294568,812112,4,5,116,54023
294569,813110,15,30,484,54023
294570,236115,8,23,610,54027
294571,236118,5,29,967,54027
294572,237110,3,10,333,54027
294573,238140,4,5,131,54027
294574,238160,3,1,95,54027
294575,238210,3,6,227,54027
294576,238220,6,18,497,54027
294577,238910,5,0,0,54027
294578,238990,3,2,292,54027
294579,444220,3,0,0,54027
294580,445110,3,0,0,54027
294581,446110,4,31,1476,54027
294582,447110,9,103,2047,54027
294583,452319,9,52,931,54027
294584,484220,7,29,852,54027
294585,522110,9,0,0,54027
294586,524210,5,21,618,54027
294587,531210,5,8,239,54027
294588,541110,7,27,844,54027
294589,541370,3,3,89,54027
294590,541940,4,18,439,54027
294591,561720,3,23,122,54027
294592,561730,7,5,443,54027
294593,621111,5,29,776,54027
294594,621210,4,45,2973,54027
294595,621340,4,0,0,54027
294596,623210,5,0,0,54027
294597,623220,3,23,998,54027
294598,624190,3,22,657,54027
294599,721110,4,32,1110,54027
294600,721214,5,21,937,54027
294601,722513,7,180,1602,54027
294602,722511,12,101,1404,54027
294603,811111,5,16,454,54027
294604,811121,3,13,432,54027
294605,812210,3,13,521,54027
294606,813110,17,40,856,54027
294607,813410,3,17,194,54027
294608,237110,3,7,165,54025
294609,237310,3,0,0,54025
294610,238140,3,1,46,54025
294611,238170,4,3,34,54025
294612,238210,7,18,460,54025
294613,238220,11,41,1240,54025
294614,623210,16,0,0,54025
294615,624120,6,220,4700,54025
294616,624190,4,30,585,54025
294617,238310,3,0,0,54025
294618,238910,7,85,4494,54025
294619,238990,4,10,541,54025
294620,311811,3,13,141,54025
294621,321918,3,0,0,54025
294622,624410,5,25,378,54025
294623,713290,5,22,417,54025
294624,721110,7,113,2340,54025
294625,441110,6,166,6894,54025
294626,441120,4,16,504,54025
294627,721214,3,16,1046,54025
294628,722310,3,13,318,54025
294629,722410,4,26,254,54025
294630,113310,4,14,274,54089
294631,236118,4,0,0,54089
294632,447110,8,48,795,54089
294633,452319,4,43,851,54089
294634,522110,3,28,542,54089
294635,524210,3,25,734,54089
294636,541110,5,15,406,54089
294637,621111,5,30,1253,54089
294638,624310,3,0,0,54089
294639,722511,4,43,879,54089
294640,722513,4,93,1565,54089
294641,812210,3,17,421,54089
294642,813110,11,25,404,54089
294643,441310,10,68,1401,54025
294644,441320,3,22,617,54025
294645,442110,4,24,752,54025
294646,444130,3,38,666,54025
294647,444190,4,73,3271,54025
294648,722511,32,533,8748,54025
294649,722513,28,420,6181,54025
294650,811111,8,13,357,54025
294651,811121,4,9,238,54025
294652,444220,3,0,0,54025
294653,445110,6,262,6105,54025
