,relevant_naics,estab,emp,payann,fips
25112,22,16,402,36369,56005
25113,23,178,1761,104359,56005
25114,52,48,345,19729,56005
25115,53,81,361,22268,56005
25116,54,120,550,26891,56005
25117,42,95,1177,80895,56005
25118,55,7,0,0,56005
25119,56,74,570,24381,56005
25120,61,13,72,3280,56005
25121,62,114,1646,90242,56005
25122,71,20,128,2154,56005
25123,72,113,1818,32071,56005
25124,81,150,838,38553,56005
25126,21,129,6197,473696,56005
25127,51,16,203,9779,56005
25128,52,22,107,4858,56023
25129,53,27,52,2012,56023
25130,54,73,141,4856,56023
25131,56,44,165,5764,56023
25132,62,51,786,34399,56023
25133,71,17,51,1139,56023
25134,72,63,435,6425,56023
25135,81,48,128,4396,56023
25137,11,4,2,118,56023
25138,21,17,491,37506,56023
25139,22,5,0,0,56023
25140,23,176,623,27981,56023
25141,42,11,71,2274,56023
25142,51,10,108,6010,56023
25143,99,4,3,191,56019
25144,11,5,5,267,56019
25146,21,15,49,3074,56019
25147,22,5,14,1234,56019
25148,23,63,204,9693,56019
25149,42,13,22,1445,56019
25150,99,3,6,227,56025
25151,51,12,35,1206,56019
25152,52,27,164,8951,56019
25153,53,17,35,1034,56019
25154,54,71,203,10791,56019
25155,56,23,39,1680,56019
25156,61,7,0,0,56019
25157,62,27,377,15104,56019
25158,71,14,68,936,56019
25159,72,44,336,6622,56019
25160,61,25,205,3501,56025
25161,42,199,2259,152590,56025
25162,51,35,524,22724,56025
25163,62,336,5731,294974,56025
25164,52,145,934,53205,56025
25165,81,41,171,5315,56019
25166,53,176,929,56373,56025
25168,11,6,15,629,56021
25169,21,20,243,21398,56021
25170,54,543,2235,129025,56021
25171,72,219,3961,68982,56021
25172,22,13,193,15412,56021
25173,23,335,2414,115823,56021
25175,11,6,18,763,56025
25176,21,127,1705,162930,56025
25177,71,51,437,8889,56025
25178,72,201,3838,66664,56025
25179,81,284,1561,46146,56021
25180,22,15,139,13741,56025
25181,23,340,2511,151694,56025
25182,54,268,1461,96953,56025
25183,81,263,1445,46173,56025
25184,55,19,91,4947,56021
25185,56,209,1365,47805,56021
25186,42,130,928,48398,56021
25187,51,75,1173,62258,56021
