	NAICS_Sector	NAICS_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	GEO_ID	estab	emp	payann	estimate
0	11	Fishing	10	1141	1	10001	Kent County	0500000US10001	2.0	0.0	32.666666666666664	1.0
1	11	Fishing	10	1141	1	10001	Kent County, Delaware	0500000US10001	2.0	0.5	2.5	1.0
2	11	Fishing	10	1141	3	10003	New Castle County	0500000US10003	1.0	0.0	16.333333333333332	1.0
3	11	Fishing	10	1141	3	10003	New Castle County, Delaware	0500000US10003	1.0	0.25	1.25	1.0
4	11	Fishing	10	1141	5	10005	Sussex County	0500000US10005	5.0	0.0	99.0	0.0
5	11	Fishing	10	1141	5	10005	Sussex County, Delaware	0500000US10005	4.777777777777778	3.888888888888889	123.0	0.0
6	11	Hunting and trapping	10	1142	1	10001	Kent County	0500000US10001	1.0	0.0	0.0	1.0
7	11	Hunting and trapping	10	1142	1	10001	Kent County, Delaware	0500000US10001	1.0	0.0	0.0	1.0
8	11	Logging	10	1133	1	10001	Kent County	0500000US10001	1.0	16.0	154.0	1.0
9	11	Logging	10	1133	1	10001	Kent County, Delaware	0500000US10001	1.0	0.0	153.0	1.0
10	11	Logging	10	1133	5	10005	Sussex County	0500000US10005	4.0	0.0	562.0	0.0
11	11	Logging	10	1133	5	10005	Sussex County, Delaware	0500000US10005	3.111111111111111	1.2222222222222223	116.55555555555556	0.5555555555555556
12	11	Support activities for animal production	10	1152	1	10001	Kent County	0500000US10001	4.0	0.0	195.0	0.0
13	11	Support activities for animal production	10	1152	1	10001	Kent County, Delaware	0500000US10001	3.6363636363636362	6.909090909090909	175.63636363636363	0.18181818181818182
14	11	Support activities for animal production	10	1152	3	10003	New Castle County	0500000US10003	8.0	29.0	869.0	0.0
15	11	Support activities for animal production	10	1152	3	10003	New Castle County, Delaware	0500000US10003	6.636363636363637	34.0	1360.090909090909	0.18181818181818182
16	11	Support activities for animal production	10	1152	5	10005	Sussex County	0500000US10005	5.0	-29.0	414.0	1.0
17	11	Support activities for animal production	10	1152	5	10005	Sussex County, Delaware	0500000US10005	5.0	22.363636363636363	762.2727272727273	0.36363636363636365
18	11	Support activities for crop production	10	1151	1	10001	Kent County	0500000US10001	4.0	21.0	834.0	0.0
19	11	Support activities for crop production	10	1151	1	10001	Kent County, Delaware	0500000US10001	3.0	18.785714285714285	1093.0238095238094	0.2857142857142857
20	11	Support activities for crop production	10	1151	3	10003	New Castle County	0500000US10003	4.0	8.0	213.0	0.0
21	11	Support activities for crop production	10	1151	3	10003	New Castle County, Delaware	0500000US10003	3.125	16.714285714285715	987.9285714285714	1.0
22	11	Support activities for crop production	10	1151	5	10005	Sussex County	0500000US10005	4.0	6.0	882.0	1.0
23	11	Support activities for crop production	10	1151	5	10005	Sussex County, Delaware	0500000US10005	3.888888888888889	10.976190476190474	527.1560846560847	0.3333333333333333
24	11	Support activities for forestry	10	1153	3	10003	New Castle County	0500000US10003	1.0	0.0	0.0	1.0
25	11	Support activities for forestry	10	1153	3	10003	New Castle County, Delaware	0500000US10003	1.0	0.0	0.0	1.0
26	11	Timber tract operations	10	1131	5	10005	Sussex County, Delaware	0500000US10005	1.0	0.0	0.0	1.0
27	21	Nonmetallic mineral mining and quarrying	10	2123	1	10001	Kent County	0500000US10001	4.0	0.0	0.0	1.0
28	21	Nonmetallic mineral mining and quarrying	10	2123	1	10001	Kent County, Delaware	0500000US10001	4.2	12.4	724.2555555555556	0.8
29	21	Nonmetallic mineral mining and quarrying	10	2123	3	10003	New Castle County	0500000US10003	2.0	0.0	0.0	1.0
30	21	Nonmetallic mineral mining and quarrying	10	2123	3	10003	New Castle County, Delaware	0500000US10003	2.7142857142857144	19.071428571428573	1323.0257936507935	0.7142857142857143
31	21	Nonmetallic mineral mining and quarrying	10	2123	5	10005	Sussex County	0500000US10005	1.0	0.0	0.0	1.0
