	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS_TTL	NAICS_Sector	GEO_ID	estab	emp	payann
10306	41	41	0	Oregon	1131	Timber tract operations	11	0400000US41	31.77777777777778	198.66666666666666	10761.0
10307	41	41	0	Oregon	1132	Forest nurseries and gathering of forest products	11	0400000US41	12.0	131.55555555555554	4636.666666666667
10308	41	41	0	Oregon	1133	Logging	11	0400000US41	656.0	5693.0	272935.77777777775
10309	41	41	0	Oregon	1141	Fishing	11	0400000US41	153.55555555555554	231.11111111111111	12966.111111111111
10310	41	41	0	Oregon	1142	Hunting and trapping	11	0400000US41	5.777777777777778	11.555555555555555	188.77777777777777
10311	41	41	0	Oregon	1151	Support activities for crop production	11	0400000US41	146.11111111111111	2790.222222222222	89316.77777777778
10312	41	41	0	Oregon	1152	Support activities for animal production	11	0400000US41	97.22222222222223	202.44444444444446	4222.222222222223
10313	41	41	0	Oregon	1153	Support activities for forestry	11	0400000US41	239.44444444444446	2920.222222222222	145768.0
10314	41	41	0	Oregon	2111	Oil and gas extraction	21	0400000US41	3.2	2.2	193.6
10315	41	41	0	Oregon	2122	Metal ore mining	21	0400000US41	4.0	7.222222222222222	673.6666666666666
10316	41	41	0	Oregon	2123	Nonmetallic mineral mining and quarrying	21	0400000US41	107.33333333333333	1183.4444444444443	65894.33333333333
10317	41	41	0	Oregon	2131	Support activities for mining	21	0400000US41	19.22222222222222	111.22222222222223	7430.444444444444
10318	41	41	0	Oregon	2211	Electric power generation, transmission and distribution	22	0400000US41	167.44444444444446	4355.111111111111	640568.7777777778
10319	41	41	0	Oregon	2212	Natural gas distribution	22	0400000US41	26.88888888888889	744.4444444444445	72820.11111111111
10320	41	41	0	Oregon	2213	Water, sewage and other systems	22	0400000US41	87.0	279.44444444444446	12222.888888888889
10321	41	41	0	Oregon	2361	Residential building construction	23	0400000US41	3794.4444444444443	12455.444444444445	538463.4444444445
10322	41	41	0	Oregon	2362	Nonresidential building construction	23	0400000US41	534.7777777777778	7341.111111111111	528812.3333333334
10323	41	41	0	Oregon	2371	Utility system construction	23	0400000US41	253.44444444444446	4229.444444444444	280739.3333333333
10324	41	41	0	Oregon	2372	Land subdivision	23	0400000US41	97.77777777777777	264.6666666666667	15372.333333333334
10325	41	41	0	Oregon	2373	Highway, street, and bridge construction	23	0400000US41	194.11111111111111	3064.222222222222	226168.11111111112
10326	41	41	0	Oregon	2379	Other heavy and civil engineering construction	23	0400000US41	65.77777777777777	677.4444444444445	50372.88888888889
10327	41	41	0	Oregon	2381	Foundation, structure, and building exterior contractors	23	0400000US41	1506.888888888889	12181.888888888889	604987.3333333334
10328	41	41	0	Oregon	2382	Building equipment contractors	23	0400000US41	2174.6666666666665	23309.0	1505822.111111111
10329	41	41	0	Oregon	2383	Building finishing contractors	23	0400000US41	2348.8888888888887	12764.0	560404.5555555555
10330	41	41	0	Oregon	2389	Other specialty trade contractors	23	0400000US41	1148.5555555555557	7661.0	424392.0
