"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Rigby","","43.6501639","-111.7958160","Ashland Produce","ID","158 N 4544 E","fresh-fruits fresh-vegetables","","farm","","83442"
"Caldwell","","43.749677","-116.683530","Black Dog Berry Farm and Market Garden","ID","14623 Galloway Rd","cut-flowers eggs herbs fresh-fruits fresh-vegetables","","farm","","83607"
"Downey","","42.5034199","-112.1586133","Bradys Plant Ranch","ID","3525 E. Virginia Road","baked-goods bedding plants canned preserved crafts woodworking dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders nursery-stock prepared-foods red-meat non-poultry-meat","","farm","www.bradysplantranch.com","83234"
"Kuna","https://www.facebook.com/Aplles4uall","43.473453","-116.439328","Cabalo's Orchard & Gardens","ID","2087 West King Rd","eggs fresh-fruits fresh-vegetables honey juices ciders poultry fowl","","farm","cabalosorchard.com","83634"
"POCATELLO","","43.022498","-112.462140","Giving Ground Farm","ID","147 ELLSWORTH RD","cut-flowers dry beans herbs fresh-vegetables nursery-stock","","farm","www.givinggroundseeds.com","83202"
"Kuna","https://www.facebook.com/goshenfarm","43.4918307","-116.4201223","Goshen Farm, LLC","ID","Kuna Rd/cloverdale Area","dairy products","","farm","www.goshenfarm.weebly.com","83634"
"Blackfoot","https://www.facebook.com/GroveCityGardens?ref_type=bookmark","43.225728","-112.345567","Grove City Gardens, LLC","ID","246 Wet 200 North","","https://twitter.com/grovecitygarden","farm","","83221"
"Eagle","","43.7092380","-116.3805630","July Blueberries LLC.","ID","2190 W Burns Street","fresh-fruits","","farm","","83616"
"Weiser","https://www.facebook.com/KelleyOrchards","44.159926","-116.877558","Kelley Orchards","ID","53 Hill Road","canned preserved fresh-fruits fresh-vegetables honey","https://www.twitter.com/KelleyOrchards","farm","www.kelleyorchards.com","83672"
"Soda Springs","https://www.facebook.com/laufamilyfarm/","42.651939","-111.579731","Lau Family Farm, llc","ID","675 east highway 30","red-meat non-poultry-meat","","farm","www.laufamilyfarm.com","83276"
"Carmen","https://www.facebook.com/mountainvalleyfarmstead/","45.258484","-113.892029","Mountain Valley Farmstead","ID","7 Mac Nab Lane","dairy products","","farm","MountainValleyFarmstead.com","83462"
"Salmon","","45.130416","-113.798368","Mundy Farms","ID","2 Scott Lane","crafts woodworking fresh-vegetables","","farm","","83467"
"Buhl ","NORTHVIEW ORCHARD","42.6568320","-114.6870020","NORTHVIEW ORCHARD","ID","1826 E  4500 N","fresh-fruits nuts","","farm","","83316"
"Preston","https://www.facebook.com/pages/Preston-Berry-Farms/282551275111518","42.0842998","-111.8766600","Preston Berry Farms","ID","660 South State Street","canned preserved fresh-fruits fresh-vegetables juices ciders","","farm","Prestonberryfarms@live.com","83263"
"Hauser","https://www.facebook.com/Redcanoefarms","47.739601","-117.036141","Red Canoe Farms","ID","28405 W. Highway 53","","","farm","","83854"
"Emmett","https://www.facebook.com/idahoberry","43.870432","-116.677997","Richardson Farm","ID","4250 Valley View Road","fresh-fruits fresh-vegetables wine spirits beer hard-cider","","farm","http://www.idahoberry.wordpress.com/","83617"
"Emmett","","43.8350104","-116.5663479","Wee Kings Orchard","ID","2955 West South Slope Road","eggs fresh-fruits","","farm","","83617"
"Athol","https://www.facebook.com/Atholfarmersmarket","47.944594","-116.707904","Athol Farmers Market","ID","30355 N 3rd Street","baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat nuts plants poultry prepared-foods soap trees wine coffee fruits pet food","","market","","83801"
"Boise City","BOISE FARMERS MARKET","43.532957","-116.444084","Boise Farmers Market","ID","10TH & GROVE  - SUMMER MARKET","organic baked goods cheese flowers eggs seafood herbs vegetables honey jams meat nuts plants poultry prepared-foods soap wine coffee fruits grains juices mushrooms wild","BOISE FARMERS MARKET","market","http://WWW.THEBOISEFARMERSMARKET.COM","83702"
