	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
11	34	999	Statewide	11	Timber tract operations	34	113110	2.0	1.5
12	34	999	Statewide	21	All other nonmetallic mineral mining	34	212399	3.0	2.6
13	34	999	Statewide	21	Clay and ceramic and refractory minerals mining	34	212325	1.0	1.0
15	34	999	Statewide	21	Crude petroleum and natural gas extraction	34	211111	4.0	2.0
16	34	999	Statewide	21	Crushed and broken granite mining and quarrying	34	212313	5.0	4.2
18	34	999	Statewide	21	Dimension stone mining and quarrying	34	212311	5.0	2.8
20	34	999	Statewide	21	Gold ore mining	34	212221	1.0	1.0
22	34	999	Statewide	21	Other chemical and fertilizer mineral mining	34	212393	2.0	2.0
27	34	999	Statewide	22	Electric bulk power transmission and control	34	221121	1.0	1.0
32	34	999	Statewide	22	Nuclear electric power generation	34	221113	6.0	6.0
75	34	999	Statewide	31	Beet sugar manufacturing	34	311313	1.0	1.0
77	34	999	Statewide	31	Breakfast cereal manufacturing	34	311230	1.0	1.0
87	34	999	Statewide	31	Creamery butter manufacturing	34	311512	2.0	1.2
91	34	999	Statewide	31	Dog and cat food manufacturing	34	311111	8.4	6.2
99	34	999	Statewide	31	Flour milling	34	311211	2.4	2.4
106	34	999	Statewide	31	Hosiery and sock mills	34	315110	2.0	1.3333333333333333
123	34	999	Statewide	31	Rendering and meat byproduct processing	34	311613	2.0	1.2
126	34	999	Statewide	31	Rope, cordage, twine, tire cord, and tire fabric mills	34	314994	3.0	2.8
147	34	999	Statewide	32	Artificial and synthetic fibers and filaments manufacturing	34	325220	1.0	1.0
162	34	999	Statewide	32	Cyclic crude, intermediate, and gum and wood chemical manufacturing	34	325194	1.0	1.0
163	34	999	Statewide	32	Ethyl alcohol manufacturing	34	325193	2.0	1.2
165	34	999	Statewide	32	Flat glass manufacturing	34	327211	3.0	2.6
170	34	999	Statewide	32	Gypsum product manufacturing	34	327420	4.8	4.2
171	34	999	Statewide	32	Hardwood veneer and plywood manufacturing	34	321211	3.0	2.2
175	34	999	Statewide	32	Manufactured home (mobile home) manufacturing	34	321991	2.0	1.8
178	34	999	Statewide	32	Nitrogenous fertilizer manufacturing	34	325311	3.0	2.4
185	34	999	Statewide	32	Paper (except newsprint) mills	34	322121	5.2	4.2
189	34	999	Statewide	32	Petrochemical manufacturing	34	325110	3.0	1.8
193	34	999	Statewide	32	Phosphatic fertilizer manufacturing	34	325312	1.0	1.0
194	34	999	Statewide	32	Photographic film, paper, plate, and chemical manufacturing	34	325992	6.8	5.6
217	34	999	Statewide	32	Synthetic rubber manufacturing	34	325212	7.0	6.4
218	34	999	Statewide	32	Tire manufacturing (except retreading)	34	326211	4.0	2.4
226	34	999	Statewide	32	Wood preservation	34	321114	3.0	3.0
231	34	999	Statewide	33	Aircraft manufacturing	34	336411	3.0	1.4
239	34	999	Statewide	33	Aluminum sheet, plate, and foil manufacturing	34	331315	1.0	1.0
246	34	999	Statewide	33	Blank magnetic and optical recording media manufacturing	34	334613	2.0	1.4
254	34	999	Statewide	33	Computer storage device manufacturing	34	334112	2.0	1.0
278	34	999	Statewide	33	Fluid power pump and motor manufacturing	34	333996	1.0	1.0
282	34	999	Statewide	33	Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing	34	336415	2.0	1.4
285	34	999	Statewide	33	Heavy duty truck manufacturing	34	336120	2.0	1.3333333333333333
286	34	999	Statewide	33	Household cooking appliance manufacturing	34	335221	2.0	1.6
288	34	999	Statewide	33	Household refrigerator and home freezer manufacturing	34	335222	1.0	1.0
300	34	999	Statewide	33	Iron foundries	34	331511	5.0	4.2
