Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
10035,721,3,1,0,3
10035,722,78,1,0,3
10035,722,47,210,0,3
10035,722,15,220,0,3
10035,722,6,230,0,3
10035,722,5,241,0,3
10035,722,3,242,0,3
10035,811,11,1,0,3
10035,811,6,210,0,3
10035,811,3,220,0,3
10035,812,30,1,0,3
10035,812,25,210,0,3
10035,812,4,220,0,3
10035,813,30,1,0,3
10035,813,23,210,0,3
10035,813,3,220,0,3
10035,236,11,1,0,3
10035,236,7,210,0,3
10035,238,18,1,0,3
10035,238,8,210,0,3
10035,238,4,220,0,3
10035,238,4,241,0,3
10035,311,4,1,0,3
10035,423,7,1,0,3
10035,423,4,210,0,3
10035,424,4,1,0,3
10035,424,3,210,0,3
10035,441,3,1,0,3
10035,442,12,1,0,3
10035,442,8,210,0,3
10035,443,6,1,0,3
10035,443,4,210,0,3
10035,444,8,1,0,3
10035,444,4,210,0,3
10035,444,3,220,0,3
10035,445,55,1,0,3
10035,445,45,210,0,3
10035,445,6,220,0,3
10035,446,24,1,0,3
10035,446,13,210,0,3
10035,446,7,220,0,3
10035,447,4,1,0,3
10035,447,3,210,0,3
10035,448,15,1,0,3
10035,448,8,210,0,3
10035,448,3,220,0,3
10035,452,7,1,0,3
10035,453,8,1,0,3
10035,453,4,210,0,3
10035,454,5,1,0,3
10035,454,4,210,0,3
10035,484,7,1,0,3
10035,485,4,1,0,3
10035,512,5,1,0,3
10035,512,5,210,0,3
10035,517,5,1,0,3
10035,517,5,210,0,3
10035,522,11,1,0,3
10035,522,5,220,0,3
10035,522,3,230,0,3
10035,531,79,1,0,3
10035,531,63,210,0,3
10035,531,7,220,0,3
10035,531,6,230,0,3
10035,541,31,1,0,3
10035,541,24,210,0,3
10035,551,7,1,0,3
10035,551,3,230,0,3
10035,561,13,1,0,3
10035,561,9,210,0,3
10035,611,28,1,0,3
10035,611,8,210,0,3
10035,611,4,220,0,3
10035,611,4,230,0,3
10035,611,3,241,0,3
10035,611,5,242,0,3
10035,611,4,251,0,3
10035,621,35,1,0,3
10035,621,16,210,0,3
10035,621,4,220,0,3
10035,621,6,230,0,3
10035,621,5,241,0,3
10035,623,18,1,0,3
10035,623,3,220,0,3
10035,623,3,230,0,3
10035,623,8,241,0,3
10035,623,3,242,0,3
10035,624,12,220,0,3
10035,624,51,1,0,3
10035,624,7,210,0,3
10035,624,12,230,0,3
10035,624,8,241,0,3
10035,624,9,242,0,3
10035,711,9,1,0,3
10035,711,8,210,0,3
10035,713,3,1,0,3
