Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Apr 25th, 2020",default-farmersmarket-4-3.jpg,301086,Adams-Ricci Farmers Market,,,,,https://bit.ly/2xZlt79,https://www.facebook.com/FarmersAtAdamsRicciParkEast/,@adamsriccifm,,,n/a,,"100 East Penn Drive, Enola, Pennsylvania 17025",Pennsylvania,Enola,100 East Penn Drive,17025,-76.937407,40.273997,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Cut flowers, Dairy products., Dry beans, Eggs, Fresh/dried herbs, Honey, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Apr 29th, 2021",default-farmersmarket-4-3.jpg,301498,Greater Washington County Food Bank Farmers' Market,,Jodi Gatts,admin@gwcfb.org,7246322190,www.gwcfb.org,Greater Washington County Food Bank,,,,,,"909 National Pike West, Brownsville, Pennsylvania 15417",Pennsylvania,Brownsville,909 National Pike West,15417,-79.977907,40.041867,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Coffee/tea, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Prepared foods, Soap/body care products"
farmers market,"Aug 10th, 2022",farmersmarket_301551_11046_20220610123717.png,301551,Hollidaysburg Farmers Market,,Melanie Ramsey,mramsey@hollidaysburgpa.org,814-696-0544,,https://www.facebook.com/HollidaysburgFarmersMarket,,,,,,"Montgomery and Allegheny Street (near the Diamond), Hollidaysburg, Pennsylvania 16648",Pennsylvania,Hollidaysburg,Montgomery and Allegheny Street,16648,-78.394591,40.429065,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Eggs, Fresh/dried herbs, Juices/non-alcoholic ciders, Prepared foods, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Aug 18th, 2022",farmersmarket_301760_14273_20220819024846.png,301760,Downtown Sharon Farmers Market,"The Downtown Sharon Farmers Market is set for 8-1 PM Saturdays and 3:30 - 7 PM Wednesdays July through the end of October. Besides our farming community, we'll also have live music, kids activities, pop-up artisans and food trucks - c'mon out and support our farmers and enjoy a little break in your busy week!",Jeanice Britvich,jeanice@ferrisfarm.net,(724) 971-0888,,https://www.facebook.com/SharonFarmersMkt,,https://www.instagram.com/downtownsharonfarmersmarket/,,,,"200 Sterling Avenue, Sharon, PA, USA",Pennsylvania,Sharon,200 Sterling Avenue,16146,-80.5115015,41.22905979999999,07/09/2022 to 10/29/2022,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Maple products, Prepared foods, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Aug 2nd, 2022",farmersmarket_301745_14239_20220802175350.png,301745,Johnstown Farmers' Market,"The Johnstown Farmers' Market is an open air market in the heart of the city. Guests may purchase fresh locally grown produce and flowers as well as a variety of prepared foods, baked goods, and handcrafted items.",Jacob Zerby,jzerby@cojtwn.com,(814) 539-2504,,https://www.facebook.com/Johnstown-Farmers-Market-131268183573123,,,,,,"507 Main Street, Johnstown, PA, USA",Pennsylvania,Johnstown,507 Main Street,15901,-78.9174646,40.3251584,05/13/2022 to 10/28/2022,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Prepared foods"
farmers market,"Aug 4th, 2020",default-farmersmarket-4-3.jpg,300468,City of Pittsburgh Carrick Farmers Market,,,mirella.ranallo@pittsburghpa.gov,412-422-6523,,,,,,,,"1529 Brownsville Road, Pittsburgh , Pennsylvania 15210",Pennsylvania,Pittsburgh,1529 Brownsville Road,15210,-79.988803,40.400201,June to September,"Fresh fruits, Fresh vegetables, Baked goods, Honey, Prepared foods"
farmers market,"Aug 7th, 2020",default-farmersmarket-4-3.jpg,300290,North Square Farmers Market,,Guy Shaul and Jay Eury,northsquareinfo@gmail.com,717-288-7440,www.northsquarefarmersmarket.com,https://www.facebook.com/pages/North-Square-Farmers-Market/114897878526668,,,,,,"100 Spring St, Chambersburg, Pennsylvania 17201",Pennsylvania,Chambersburg,100 Spring St,17201,-77.662435,39.938459,May to November,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Feb 3rd, 2021",default-farmersmarket-4-3.jpg,300430,Bethlehem Farmers' Market,,Deb Martin,bethlehemfarmersmarket@gmail.com,610-758-1220,www.bethlehemfarmersmarket.com,facebook.com/BethlehemFarmersMarketPA,twitter.com/BethFarmMkt,,,,,"Intersection of New and Morton Streets, Bethlehem, Pennsylvania 18015",Pennsylvania,Bethlehem,Intersection of New and Morton Streets,18015,-75.378402,40.6098058,April to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Cut flowers, Eggs, Fresh/dried herbs, Honey, Mushrooms, Nuts, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Jan 20th, 2021",default-farmersmarket-4-3.jpg,300374,Bloomfield Saturday Market,,Abigail Gildea,market@bloomfieldpgh.org,412.681.8800,www.bloomfieldpgh.org,https://www.facebook.com/bloomfieldmarket/,,,,,,"5050 Liberty Ave, Pittsburgh, Pennsylvania 15224",Pennsylvania,Pittsburgh,5050 Liberty Ave,15224,-79.944435,40.459005,May to November,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Maple products, Mushrooms, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Jan 20th, 2021",default-farmersmarket-4-3.jpg,300549,Yardley Farmers Market,,Susan Schneck,YardleyFarmersMarket@gmail.com,215-630-0906,http://yardleyfarmersmarket.com/,https://www.facebook.com/YardleyFarmersMarket/,https://twitter.com/yardleyfarmmart,,,https://www.youtube.com/channel/UCPyEWf4FdNUFUWiVQfiJdIA,,"Buttonwood Drive, Buttonwood Park, Yardley borough, Pennsylvania 19067",Pennsylvania,Yardley borough,Buttonwood Drive,19067,-74.839997,40.240829,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
